rank	username	minecraft:mined/minecraft:mycelium
1	noam464	92682
2	joethahobo	63298
3	Blaiku	39527
4	thewindmillman	32973
5	gcaisawesome	32011
6	PigDab	30242
7	Di_infiri	29474
8	Spacewardharpy7	20717
9	Hyp3rion_	15994
10	OverallConcept	15438
11	MightyWertu	12363
12	jnp_gaming	7474
13	AuroraValkyrie	7189
14	TheShyPig	6127
15	Steelynan	5914
16	WET_WET_WET	5416
17	nocturne78	4251
18	diggydog67	3592
19	eitanzaki	2611
20	500am	2289
21	Eraxa	2207
22	FreakGenius	2124
23	TheSecondLord	2045
24	Jovaphobic	2016
25	MinttyFressh	1659
26	Sral7	1505
27	mwrty	1127
28	m_be9	1024
29	HellsSponge	985
30	lordpipe	966
31	Notta	913
32	Marbz_	731
33	Drewen24	654
34	sxc_	577
35	EngagedGrub41	544
36	GigaSl	403
37	Rumpletaezer	401
38	Wolverine4302	399
39	_Nuf	334
40	Tyrannosplart	318
41	Blu3beast	278
42	MangoTheFish	257
42	Eczbek	257
44	Hoid_the_Roamer	253
45	Xclax101	243
46	kekhon	240
47	claivin	228
48	calamariclam_I	219
49	Muffindrake	190
50	YungMaki	189
51	ediballbearings	178
52	Mythic1130	174
52	Weepingbiel	174
54	Kakolbus	133
55	fluddd	124
56	Jackattack53	122
57	lilsay	117
58	Bandito_Roamer	101
59	pintsizedrogue	99
60	jcool7	98
61	MattieHD	94
61	TechnoNinja64	94
63	Merv__	89
64	xxPipperDipperxx	85
65	crying_wolf_13	84
66	soundad	83
67	beeperbeeper5	78
68	GravitySaint	76
69	livingdaydreams	66
70	Enderxz3	65
71	SmashingPump	64
72	AuroraSkies	62
73	FishisTTV	50
74	Lord_Jord	48
75	ShedJr_	44
76	NatalieTW	42
77	Dusk_95	40
78	ApophisNova	36
78	MyNamaSheff	36
80	Cryptacity	32
81	Mahoose	23
81	SingedBread	23
83	Blazebit	21
84	Zippyzam	20
85	Werbe	19
85	sp00ky_ghost977	19
87	Alteriity	15
87	H_O_M_H	15
89	Crowman1	11
90	mariominejedi	10
90	hanaryheatwave	10
92	gilesmcriles	9
93	CranialBlowout	6
94	Dirtamaster	5
94	Mattesco	5
94	6e519903-6217-4a88-968d-485bf79491f4	5
94	monky_irl	5
94	Jij0	5
94	tartanboy	5
100	that_guy_galeo	4
100	RealGroot	4
100	alderban107	4
103	KomputerDude	3
103	CoffeeNoir	3
103	DarlaMeow	3
103	anbbang	3
107	Mr_Byzantine	2
107	nattybears	2
107	Historical_Sand	2
107	TheRealGameBoy24	2
107	Fullut	2
107	Scathra	2
107	gustarlep	2
107	djancak	2
107	Creeper_ez	2
116	wylify	1
116	Groovy_MoonBird	1
116	diamondgolem35	1
116	Incinere	1
116	Alfred603	1
116	rarrq	1
116	bloodbiter	1
116	pr33tu	1
116	Pelbo	1
116	Zythose	1
116	_Boipl_	1
116	Shiirazu	1
116	Zorander	1
116	lillips	1
116	ItsDeltaMC	1
116	SpacesickPrism	1
116	HesDemonPants	1
116	bladeefan2009	1
