rank	username	minecraft:mined/minecraft:dark_oak_leaves
1	Smoke____	18577
2	gcaisawesome	18554
3	XxCookiequeenxX	10521
4	Di_infiri	8989
5	Blackberry1310	6954
6	pintsizedrogue	6850
7	Skippeh	6378
8	Ezekson	5051
9	burbankbuilder28	4993
10	eitanzaki	4428
11	Blaiku	4064
12	beeperbeeper5	4043
13	m_be9	3650
14	TechnoNinja64	3344
15	Freak_Genius	3086
16	Mahoose	3024
17	500am	2943
18	kekhon	2664
19	TheShyPig	2536
20	joethahobo	2335
21	Awyrlas	2200
22	oxfordschool	2091
23	RatatJuice	1961
24	M_Patata	1638
25	Segotep999	1519
26	Snowflowe	1472
27	ROY4LE	1393
28	CoffeeNoir	1389
29	El_Jalapeno	1386
30	MasterNueve	1370
31	Soplight	1366
32	Arceus1975	1358
33	HesDemonPants	1345
34	Scathra	1236
35	chipklip	1235
36	Merv__	1146
37	Werbe	1144
38	pixelviolin	1110
39	diamondgolem35	1086
40	RebelAndroid	1049
41	Meatlaugh	1003
42	SuperPooch06	995
43	HellsSponge	947
44	Deguns123	933
45	KingMatthew506	873
46	MineMaster0012	857
47	TheDankPlatypus	848
48	Groovy_MoonBird	824
49	CharlieButt	795
50	Leyna3	786
50	Maenara	786
52	lillips	777
53	anbbang	759
54	JayToe	740
55	EveryonesUncle	732
56	SingedBread	691
57	featherflyy	672
58	Russiancat1	667
59	ProfessorBee	660
60	Notta	631
61	Lord_Jord	628
62	Wooptey	624
63	PlasticOtari	621
64	lcvezra	611
65	__hinterland__	602
66	420BreadLizard	599
67	xxPipperDipperxx	588
68	jacxhadow	584
69	Nach0Bear	559
70	Euclidoris	553
71	Blu3beast	544
72	DarlaMeow	513
73	teslawolf38	509
74	TheSecondLord	497
75	Spacewardharpy7	491
76	seramalen	486
77	Fullut	469
78	beeleg	464
79	platinumzero	463
80	EcksDofficial	454
81	gabriels543	447
82	EMC_	445
83	Frozil12	425
84	jaimshae	417
85	eiC_	412
86	noam464	403
87	Ryker	400
88	The_Fulgurator	388
89	Jiminie	376
90	NomadicRobin_	373
90	Barlycorn	373
92	Ch4osDoom64	354
93	SvenskaHugo	350
94	SaucyDark	333
94	YungMaki	333
96	Eraxa	332
97	ImpavidArcher	327
97	set67	327
99	2Stout	318
100	Zaridey	317
101	KnightmareD	314
102	SammiWolfGirl	310
103	LordSpeed37	308
104	JasmineGK	283
105	Enderslayerxz3	282
106	ThePoliteG	273
107	thewindmillman	272
107	RodSerlingCringe	272
109	Zythose	266
109	AnnieBathory	266
111	Lutres_Torane	262
112	SpaceGrenadier	257
113	_NieToksikpl_	256
114	wwwwinnebagoooo	254
115	theofiel	249
116	jnp_gaming	245
117	Nicserso	243
118	LeeMcGee30	240
119	CliffEmAll	235
120	Kowcio_	229
121	AngalexikCZ	224
122	Kubeusz2010	218
123	TheOnlyRake	214
124	Hiryu27	212
125	Bandito_Roamer	211
126	NameGenerat0r	210
127	Marbz_	206
127	stahouo	206
129	Natty	205
130	Typadopoulos	203
131	_3Stump_	202
132	Sleek_Storm_721	198
133	Lowjinx	197
134	TheSeismicDuck	193
135	SoftSix	192
136	Ozixar	190
136	brycepants	190
138	AlazelTheReal	189
139	awesomeoneme	184
140	PeteO1995	182
141	Bumpy419	177
141	Groundler	177
143	thescout7	174
144	maliraspberry	172
145	Karetoko	163
146	Dusk_95	161
146	MusicMe1005	161
148	Shogunite	159
148	CalebDHawk	159
150	Malorn_Aetherius	156
150	ImDisconnected_	156
150	Rexorout	156
153	MyNameIsJobo	151
154	Slinkyy7071	149
154	SellyZ	149
156	Deathkob	148
156	Professor_x8	148
158	00000000-0000-0000-0009-01ff0c3e5e4f	145
159	Smashic	143
159	avalan64	143
159	Th6masss	143
162	Nagasaki_Riku	142
163	Paint	140
164	Touched_Bread	139
165	godipose	137
166	Winklepicker279	134
166	Hisiste	134
166	EcksD	134
169	lordpipe	133
170	Inbefour	132
171	TinMaster	129
171	MyNameIsDakar	129
173	KarlKaek	128
174	claivin	127
