rank	username	minecraft:mined/minecraft:sticky_piston
1	Di_infiri	3864
2	noam464	3710
3	eitanzaki	2678
4	thescout7	2296
5	EcksD	963
6	Jackattack53	841
7	HellsSponge	759
8	eiC_	722
9	thewindmillman	714
10	Spacewardharpy7	711
11	Eczbek	696
12	PigDab	551
13	WyngGoy	544
14	Freak_Genius	445
15	Sky_light_KING	404
16	Smoke____	395
17	Sral7	365
18	beeperbeeper5	350
19	MangoTheFish	333
20	joethahobo	314
21	Historical_Sand	284
22	Hiryu27	242
23	Racengan	232
24	Hyp3rion_	227
25	EMC_	205
26	m_be9	193
27	claivin	192
28	PortlyPete69	191
29	Blu3beast	187
30	Zythose	176
31	Kakolbus	174
31	Werbe	174
33	Lord_Jord	169
34	T045RTY	160
35	ProfessorBee	157
36	gcaisawesome	144
37	Xclax101	142
38	Soplight	136
39	Ezekson	132
40	MightyWertu	131
41	Blaiku	129
42	Warlord324	127
43	FreddyFart	123
44	El_Jalapeno	122
44	SkateboardR6	122
46	Onennon	119
47	Inchef	117
48	eviltunix	116
49	Rebytre	115
50	PlasticOtari	107
51	Bumpy419	103
52	Dedalus36	101
53	Wowful	100
54	Solar_Power	97
54	ediballbearings	97
56	HesDemonPants	95
57	KG1999	91
58	Maenara	90
59	PhantomsGhost_	84
59	SSytex_X	84
61	Enderslayerxz3	82
62	Z3braYTIL	80
62	Arceus1975	80
64	yatsuta	78
64	fffMike	78
66	TechnoNinja64	77
67	TheShyPig	75
68	awesomeoneme	72
68	Mahoose	72
68	Frozil12	72
71	Blackberry1310	71
72	ImpavidArcher	70
73	Nesquiczek	69
74	Groundler	68
74	Kijiki	68
76	pintsizedrogue	64
77	Motsaro	63
78	MyNameIsJobo	61
78	Hisiste	61
80	YungMaki	59
81	obzii	57
81	jcool7	57
83	TheDankPlatypus	56
83	ese_wn_po	56
85	Awyrlas	55
86	tsitrawhy	52
87	StinkyDiplomat	51
88	Swexti	48
89	groofles	47
89	fluddd	47
91	Jovaphobic	46
91	SvenskaHugo	46
93	rarrq	45
93	sp00ky_ghost977	45
95	MilleGrug	44
95	jnp_gaming	44
97	slkiey	42
98	ApophisNova	41
98	Kouridragon	41
98	Vorlice	41
98	MyNamaSheff	41
102	vandmanden	38
103	JESS_THE_RERE	37
104	RebelAndroid	36
104	NotMeanttoChange	36
104	SellyZ	36
104	valkam13	36
104	Soap_Bender	36
104	__tomato	36
104	tartanboy	36
111	loveseeker	35
111	AnnieBathory	35
111	cedric72	35
111	Dusk_95	35
111	EcksDofficial	35
116	Tobinator_007	34
116	Marbz_	34
116	Hermanni__	34
119	_Virify_	33
119	TheSecondLord	33
119	2blox	33
122	Jackster03	32
122	mwrty	32
122	Eraxa	32
125	domagawha	31
125	Zoeyfortnite	31
127	FishyBoy3811	29
128	Kkanot	28
128	egglapras	28
128	Skippeh	28
131	q_wq	27
131	noodlepack	27
131	SharpDev	27
131	xxPipperDipperxx	27
131	wwwwinnebagoooo	27
131	lordpipe	27
137	Factoroni	26
138	jacxhadow	25
138	_Dean_123	25
138	PegLegPete93	25
138	RobotMinion101	25
138	masskedman	25
143	12Magner05	24
143	Syropatathe	24
143	Steelynan	24
146	bigstankyy	23
146	Quotary	23
146	Legendosh	23
146	JayToe	23
150	500am	22
150	LotusProject	22
150	Jimi7hits	22
150	Deathkob	22
150	KingMatthew506	22
155	Fullut	21
155	Spenduh	21
155	OfficerAnvil	21
158	Prismyst	20
158	Cyntrical	20
158	Bloo2406	20
158	kinas45y5	20
162	The_slideV3	19
162	DanTheBuilderino	19
164	bloodbiter	18
164	KlausVonStiglitz	18
164	Fuad_R	18
164	Quincannon	18
164	MustaLoordi	18
164	Fildyr	18
164	stellarjay	18
171	Arteriana	17
171	Ardennes	17
171	Doom_melon	17
171	Inbefour	17
175	kekhon	16
175	Skylord_Luke	16
175	Dreamdbr14	16
178	Merv__	15
178	Sleek_Storm_721	15
178	SaucyDark	15
178	SteveCraftBlocks	15
178	BlueZabu	15
178	Hoid_the_Roamer	15
178	BumbleBeever	15
178	stavgod	15
178	Kubeusz2010	15
187	The_Thund	14
187	Tolhart	14
187	Malorn_Aetherius	14
187	ROY4LE	14
187	Lutres_Torane	14
187	Barlycorn	14
193	NotP0tato	13
193	Da_Boss_Rani	13
193	KGTV	13
193	FishisTTV	13
197	Masssonnn	12
197	NotKaden_	12
197	Snowflowe	12
197	Akoot_	12
197	EveryonesUncle	12
197	EfficientC52	12
197	CSG_Haru	12
197	pixelviolin	12
197	ProbsNotNova	12
206	DepressedCubic	11
206	diamondgolem35	11
206	Xalithia	11
206	gabriels543	11
206	KnightmareD	11
206	MeetTheWollo	11
212	soundad	10
212	ssleepless	10
212	tuckerdoodle	10
212	NieToksikpl	10
212	Rasmanden	10
212	AuroraSkies	10
212	Meatlaugh	10
219	dimondking777	9
219	WWWWMWWWWWWWWWWW	9
219	Rumpletaezer	9
219	Ripleey	9
219	Aerqophs	9
219	_czarny	9
219	TheDumbHuman	9
219	CalebDHawk	9
227	Rich_Kat	8
227	MinttyFressh	8
227	SlayerCrypto	8
227	HolyVenom	8
227	DTwenty	8
227	DemTechAlpha	8
227	djancak	8
227	little_dUki	8
235	rats_life	7
235	Groovy_MoonBird	7
235	I_Am_Mushkin	7
235	TheDiamondCG	7
235	Smashic	7
235	r123moore	7
235	ayqq	7
235	SokaOtaku	7
235	CruncyIsTaken	7
235	balin55	7
235	BigCronkin	7
235	ProfessorDiaper	7
235	oxfordschool	7
248	TheBlackDeth	6
248	Kegradigm	6
248	Alteriity	6
248	ivorico	6
248	MOSS000	6
248	MSK__	6
248	Shazzyling	6
248	Scathra	6
248	Covalents	6
248	CrateOfBoxes	6
248	Aangezet	6
248	_Bguette_	6
248	lillips	6
248	Toiton	6
248	Karbl	6
248	Th6masss	6
248	ItsDeltaMC	6
248	Cocoamallows	6
248	layabout100	6
248	Professor_x8	6
248	anbbang	6
269	SlowMoNinja1994	5
269	Iagoku	5
269	Incinere	5
269	H72l9w	5
269	FirsTimeGamingTV	5
269	Prodiginus	5
269	Notta	5
269	TheThomas69	5
269	hcb238	5
269	mariominejedi	5
269	andy_rex	5
269	Voxin2K	5
269	seramalen	5
269	kyouma777	5
269	FelixPSY375	5
269	Powowowow	5
269	The_SlideV5	5
286	Jackywho	4
286	livingdaydreams	4
286	picardred	4
286	Comma__	4
286	jushykins	4
286	MattieHD	4
286	zorin123	4
286	groggregg42	4
286	Tjhodskins19	4
286	benediktine1	4
286	arcanemagic	4
286	XboxPanda	4
286	WET_WET_WET	4
286	pappaberg	4
286	selectrix	4
