rank	username	minecraft:mined/minecraft:packed_mud
1	SpacesickPrism	155
2	pixelviolin	129
3	j5ylim	105
4	_witch_craft_	85
5	Enderxz3	79
6	pintsizedrogue	72
6	Kowcio_	72
8	Pumpkin_P_Patch	62
9	beeperbeeper5	50
9	Hyp3rion_	50
11	Buuck_	46
12	Merv__	43
13	oscminus	39
14	KarlKaek	33
14	mymayowasgone	33
16	12Magner05	31
16	craaaash	31
18	Steelynan	30
19	Mr_Byzantine	29
20	PlasticOtari	25
21	Juansinmiedo18	22
22	Archsam	21
22	Hoid_the_Roamer	21
24	Secret_Canary	15
25	GooseWithin	13
25	FiguraDei	13
27	Roenfire	12
28	Fullbit_	11
28	Jackattack53	11
28	XxCookiequeenxX	11
31	ECstardust	10
32	PazinGaming	9
33	EMC_	8
33	Aakvaa	8
33	luseis	8
36	thewindmillman	6
36	LuvLuvLove	6
38	Lez_	5
38	Soplight	5
40	Apollo_993	4
41	Manaateee	3
42	Werbe	2
42	Jimb0nat0r	2
42	Yamdalorian	2
45	Mahoose	1
45	catandmoose	1
45	_Mythic____	1
45	FormulaNewt3627	1
