rank	username	minecraft:mined/minecraft:loom
1	PlasticOtari	137
2	EveryonesUncle	84
3	HellsSponge	56
4	Inchef	52
5	pintsizedrogue	48
6	TheShyPig	46
7	Kakolbus	33
8	TheSeismicDuck	32
8	Freak_Genius	32
10	Mahoose	30
11	kekhon	25
12	Luigipunch989	24
13	beeperbeeper5	22
13	ROY4LE	22
15	PigDab	21
16	YungMaki	19
16	oxfordschool	19
18	Merv__	18
18	Eczbek	18
20	Historical_Sand	17
21	titanlax	15
21	Onennon	15
21	Steelynan	15
24	ImpavidArcher	14
24	joethahobo	14
24	TheSecondLord	14
24	M_Patata	14
24	MasterNueve	14
24	stavgod	14
24	pixelviolin	14
31	Legendosh	13
32	Incinere	12
33	Zythose	11
34	500am	9
34	thescout7	9
34	WyngGoy	9
34	Kubeusz2010	9
38	Hiryu27	8
38	Werbe	8
38	Jiminie	8
38	_Karmaa	8
38	Xclax101	8
38	Nicserso	8
44	Bandito_Roamer	7
44	SvenskaHugo	7
44	Soplight	7
47	Drlzyy	6
47	youhjjhhhjj	6
47	Blackberry1310	6
47	AdvertisingMerc	6
47	Hyp3rion_	6
47	Drewen24	6
47	fluddd	6
47	BumbleBeever	6
47	Skippeh	6
56	6king6colt6	5
56	Fullut	5
56	gcaisawesome	5
56	Chromary	5
56	Arceus1975	5
56	Akoot_	5
56	MakeHistory157	5
56	Cocoamallows	5
56	kinas45y5	5
56	Smoke____	5
66	Dedalus36	4
66	H72l9w	4
66	rarrq	4
66	Megarboh	4
66	pappaberg	4
66	ApophisNova	4
66	RobotMinion101	4
66	Kim_Jong_eel	4
66	lordpipe	4
66	Ze_BaronKrigler	4
66	stahouo	4
66	UltraZombie	4
66	Ezekson	4
66	MyNamaSheff	4
80	Jovaphobic	3
80	heysushii	3
80	teslawolf38	3
80	bigstankyy	3
80	hm947	3
80	NinjaKnifeKill	3
80	xxPipperDipperxx	3
80	benediktine1	3
80	Snowflowe	3
80	regulator75	3
80	RodSerlingCringe	3
80	ADEXTV	3
80	420BreadLizard	3
80	Racengan	3
80	Fildyr	3
80	Factoroni	3
80	UCP_TheKingK	3
80	starbits140	3
80	__tomato	3
80	tsitrawhy	3
80	lcvezra	3
80	KingMatthew506	3
80	xorompole	3
103	Louiis123	2
103	Groovy_MoonBird	2
103	PhantomsGhost_	2
103	Cowison	2
103	Tommhh	2
103	EMC_	2
103	SaucyDark	2
103	TooManyDuck	2
103	RebelAndroid	2
103	eitanzaki	2
103	T045RTY	2
103	awesomeoneme	2
103	Euclidoris	2
103	Cryptacity	2
103	Comma__	2
103	jacxhadow	2
103	YungJakobo	2
103	eclipseboi	2
103	Kamflame10	2
103	himak1	2
103	PegLegPete93	2
103	Stiar	2
103	TableTim	2
103	Zorin_Blitz	2
103	CollinMH06	2
103	loveseeker	2
103	SuperPooch06	2
103	killmeiamtraitor	2
103	AnnieBathory	2
103	NarwhalTaco	2
103	Rebytre	2
103	The11thDoctor	2
103	Kynigito	2
103	epiksk8erduck	2
103	victorLIE	2
103	NomadicRobin_	2
103	rotten_mango	2
103	MinuteMira	2
103	The_slideV3	2
103	claivin	2
103	marumochis	2
103	SingedBread	2
103	SkateboardR6	2
103	Spacewardharpy7	2
103	MovingFish7	2
103	SSytex_X	2
103	CalebDHawk	2
103	MilleGrug	2
103	Hermanni__	2
103	Vellu21	2
103	EcksDofficial	2
154	Gary_	1
154	MunkaKris	1
154	diminub	1
154	Paint	1
154	TildaAndrea	1
154	I_Am_Mushkin	1
154	MikeIsSalty	1
154	diamondgolem35	1
154	Tolhart	1
154	ewsophie	1
154	ShedJr_	1
154	Lez_	1
154	Myszoaz	1
154	Ssor69	1
154	dopplexd	1
154	shdesolt	1
154	m_be9	1
154	12Magner05	1
154	MrExplorer	1
154	Ardennes	1
154	ProfessorBee	1
154	_Dean_123	1
154	CarbonatedCola	1
154	slkiey	1
154	Smashic	1
154	mwrty	1
154	egglapras	1
154	Motsaro	1
154	theonlymagikarp	1
154	Marbz_	1
154	MyNameIsJobo	1
154	thewindmillman	1
154	burbankbuilder28	1
154	AlexStrange	1
154	WarMachina	1
154	Rocco_Lane	1
154	Hoid_the_Roamer	1
154	ooga47	1
154	fred870d	1
154	MinerDec	1
154	_naturell	1
154	sammidk	1
154	FishyBoy3811	1
154	thgrocks	1
154	Toasty_Tom	1
154	AuroraSkies	1
154	natajimi	1
154	Inbefour	1
154	fkGrim	1
154	Lutres_Torane	1
154	proxivitoid	1
154	JESS_THE_RERE	1
154	Fuad_R	1
154	El_Jalapeno	1
154	Steven1282598	1
154	Blaiku	1
154	Groundler	1
154	Th6masss	1
154	Vorlice	1
154	NotMeowMix	1
154	CheifJumbo	1
154	ItsDeltaMC	1
154	Razzgriz	1
154	Eraxa	1
154	Kowcio_	1
154	Kyrum2169	1
154	stellarjay	1
154	PortlyPete69	1
154	obzii	1
154	Moetis	1
154	jcool7	1
154	VentiHilton	1
154	ZoomieZoomie	1
154	cichy096	1
154	Enderslayerxz3	1
154	UrbanPlanner1978	1
154	TechnoNinja64	1
154	YoshikageBites	1
154	camando92	1
154	Kateesaur	1
154	00000000-0000-0000-0009-01ff0c3e5e4f	1
