rank	username	minecraft:mined/minecraft:gray_concrete
1	Enderslayerxz3	15478
2	Spacewardharpy7	12860
3	NameGenerat0r	7324
4	noam464	7075
5	ImpavidArcher	6784
6	Hiryu27	6636
7	Inchef	6022
8	eitanzaki	4837
9	Ezekson	4779
10	Quotary	4414
11	thescout7	3569
12	Mahoose	2451
13	Di_infiri	2150
14	oxfordschool	1672
15	LexMakesHistory	1647
16	xxPipperDipperxx	1465
17	Snowflowe	1447
18	_Karmaa	1440
19	YungMaki	1369
20	Blaiku	1269
21	PigDab	1119
22	rarrq	1031
23	TheSecondLord	972
24	Dan_Scha	923
25	Frozil12	878
26	Syropatathe	854
27	EcksD	845
28	Diavri	817
29	oreee	813
30	Merv__	800
31	TheBiggestFeller	734
32	Blu3beast	582
33	Rich_Kat	551
34	Blackberry1310	537
35	Ssor69	525
36	yaboo88	515
36	lillips	515
38	Glumb0	512
39	titanlax	473
40	ApophisNova	441
40	MyNamaSheff	441
42	TeenMomTom	438
43	EcksDofficial	435
44	lordpipe	402
45	JayToe	380
46	ShedJr_	378
47	I_Am_Mushkin	370
47	PortlyPete69	370
49	TechnoNinja64	367
50	Xclax101	262
51	TheShyPig	260
52	AJplaysMC_	245
53	audiocracked	243
54	MunkaKris	215
55	Soplight	207
56	KG1999	206
57	Sky_light_KING	198
58	MakeHistory157	183
59	LordSpeed37	173
60	Sral7	166
61	BlankityMcBlank	157
62	EveryonesUncle	149
63	Smoke____	148
64	Akoot_	147
65	Arceus1975	128
66	Incinere	125
67	The_slideV3	124
68	MattieHD	115
69	beeperbeeper5	106
70	AltnumberF4	95
71	Hoid_the_Roamer	91
72	teslawolf38	90
73	MilleGrug	83
74	Inbefour	81
75	sp00ky_ghost977	73
76	Truckoss	70
77	Jackattack53	68
78	Eraxa	67
79	jnp_gaming	66
80	bigstankyy	64
80	__tomato	64
82	HellsSponge	63
83	stavgod	57
84	pintsizedrogue	54
85	500am	38
85	r123moore	38
87	thewindmillman	33
88	Marbz_	32
89	Skippeh	26
90	Spenduh	25
91	Covalents	22
92	Historical_Sand	19
92	CalebDHawk	19
94	emrekn	14
95	Sheldor097	13
96	jcool7	12
97	NotTrixi	10
97	The11thDoctor	10
97	Onennon	10
97	Deathkob	10
101	Gundam_Steven	9
101	sadvavilloso	9
103	Drlzyy	8
103	joethahobo	8
103	Rumpletaezer	8
103	starbits140	8
107	m_be9	7
107	SuperPooch06	7
109	theonlymagikarp	6
110	PhantomsGhost_	5
110	lcvezra	5
110	Dogcorn69420	5
113	eclipseboi	4
113	k1ngGilgamesh	4
113	The_Quack_Dealer	4
116	Nesquiczek	3
116	Rox_The_Box	3
116	GreedyFern8581	3
116	TheTommyGun63	3
116	little_dUki	3
121	6king6colt6	2
121	Rasplinn	2
121	bloodbiter	2
121	ROY4LE	2
121	_Bguette_	2
121	Babushka0430	2
121	jake314810	2
121	Soap_Bender	2
121	SlinkyPinky	2
121	Deerfoot	2
121	Nycteus_	2
121	fluddd	2
121	stahouo	2
121	Powowowow	2
121	kinas45y5	2
136	Jovaphobic	1
136	Natty	1
136	SteveCraftBlocks	1
136	mwrty	1
136	M_Patata	1
136	CollinMH06	1
136	Skylord_Luke	1
136	Werbe	1
136	CruncyIsTaken	1
136	Leyna3	1
136	Leonidas2k17	1
136	Lord_Jord	1
136	avalan64	1
136	claivin	1
136	Freak_Genius	1
136	El_Jalapeno	1
136	BumbleBeever	1
136	MasterNueve	1
136	Ze_BaronKrigler	1
136	ReyTheLegend	1
136	y0shik	1
