rank	username	minecraft:mined/minecraft:player_head
1	kekhon	108
2	eitanzaki	21
3	lordpipe	17
4	claivin	13
5	EcksD	12
6	Werbe	10
7	Blackberry1310	9
8	Legendosh	6
9	Mahoose	5
9	joethahobo	5
9	beeperbeeper5	5
9	Akoot_	5
9	TheTrueClipse	5
14	Inchef	3
14	noam464	3
14	Chromary	3
14	Blaiku	3
14	Eraxa	3
19	pintsizedrogue	2
19	heckface	2
19	500am	2
19	NameGenerat0r	2
19	Frozil12	2
19	fluddd	2
19	YungMaki	2
19	Soplight	2
27	ImpavidArcher	1
27	Incinere	1
27	Ssor69	1
27	rarrq	1
27	TheSecondLord	1
27	Scathra	1
27	Di_infiri	1
27	Arceus1975	1
27	k1ngGilgamesh	1
27	RobotMinion101	1
27	TheShyPig	1
27	Maenara	1
27	NomadicRobin_	1
27	Quaintster	1
27	Xclax101	1
27	SkateboardR6	1
27	PortlyPete69	1
27	Hermanni__	1
27	Skippeh	1
