rank	username	minecraft:mined/minecraft:stripped_birch_log
1	Legendosh	2453
2	Spacewardharpy7	2240
3	Mahoose	1292
4	PortlyPete69	1116
5	Smoke____	573
6	kekhon	546
7	TheShyPig	539
8	EcksDofficial	491
9	El_Jalapeno	444
10	Ezekson	418
11	ooga47	398
12	pintsizedrogue	388
13	DarkS0L	328
14	Groundler	281
15	Stiar	275
16	regulator75	269
17	Di_infiri	265
17	Soplight	265
19	MyNameIsJobo	238
20	Onennon	230
21	Werbe	225
22	Deerfoot	222
23	Blackberry1310	221
24	sebastiensaborio	209
25	ratglock	191
26	_Karmaa	190
27	eiC_	189
28	_Dean_123	185
29	PlasticOtari	181
30	__Fanda__	175
31	500am	171
32	Sky_light_KING	169
33	EveryonesUncle	144
34	Malorn_Aetherius	135
34	jnp_gaming	135
36	Deathkob	134
37	EMC_	132
37	brofrickcheaters	132
39	ShedJr_	129
40	eitanzaki	124
41	Diavri	121
42	Mr_Byzantine	116
43	Kowcio_	114
44	_naturell	113
45	KarlKaek	112
46	Cowison	105
47	Snowflowe	100
48	Freak_Genius	96
49	Zythose	94
50	_Virify_	90
51	ImpavidArcher	84
52	lcvezra	80
53	EtherealEspresso	78
54	Merv__	72
54	Fullut	72
56	Quotary	71
57	mwrty	65
57	SuperPooch06	65
59	noam464	64
60	CoffeeNoir	63
60	Blu3beast	63
62	NameGenerat0r	59
63	LotusProject	58
63	Jij0	58
65	lordpipe	56
66	Ozixar	54
67	rarrq	52
67	Leyna3	52
69	Enderslayerxz3	46
70	The_Great_Jake	41
70	Eraxa	41
72	Akoot_	35
73	whoaluv	34
74	M_Patata	31
75	_Cloverbelle_	30
76	shyshyannne	29
76	Jiminie	29
78	TheBiggestFeller	28
78	beeperbeeper5	28
80	CollinMH06	26
80	Meatlaugh	26
80	pixelviolin	26
80	oxfordschool	26
84	burbankbuilder28	22
85	Myhym	20
85	OnlyOfficial	20
87	KeruNatsema	18
87	DemTechAlpha	18
87	Luigipunch989	18
87	KingMatthew506	18
91	NotMeanttoChange	17
91	CSG_Haru	17
91	PA_Tech_Gaming	17
94	Kirrow	15
95	Nicky_H225	14
95	blimpeey	14
97	6king6colt6	13
97	fr0stss	13
97	r123moore	13
97	Giannism	13
97	Rebytre	13
97	Dusk_95	13
97	HesDemonPants	13
97	TechnoNinja64	13
105	SteveCraftBlocks	12
105	Typadopoulos	12
105	EcksD	12
108	BlancoFlaco	11
108	PegLegPete93	11
108	The_slideV3	11
108	KG1999	11
