rank	username	minecraft:mined/minecraft:nether_bricks
1	Kakolbus	19288
2	HellsSponge	16803
3	YungMaki	14457
4	BobDeBouwer1337	13535
5	vandmanden	12671
6	Racengan	12129
7	thewindmillman	10681
8	Vorlice	10234
9	XboxPanda	8642
10	PigDab	8137
11	Di_infiri	6876
12	Spacewardharpy7	6021
13	TheShyPig	5764
14	El_Jalapeno	5008
15	eitanzaki	4506
16	Deathkob	4183
17	Frozil20	3696
18	SellyZ	3559
19	Skippeh	3388
20	Bumpy419	3215
21	AstreaTSS	3116
22	ooga47	3042
23	pintsizedrogue	2997
24	PortlyPete69	2972
25	thescout7	2527
26	luseis	2466
27	Saucepeh	2337
28	Xclax101	2113
29	Hyp3rion_	2086
30	Prismyst	2004
31	Lord_Jord	1999
32	_Nuf	1990
33	Blackberry1310	1943
34	Blaiku	1836
35	AdmiralSmoke	1733
36	MAns_44	1670
37	m_be9	1628
38	Blu3beast	1621
39	PlasticOtari	1593
40	ebanana	1572
41	joethahobo	1383
42	Groovy_MoonBird	1338
43	Snowflowe	1277
44	Groundler	1269
45	ImpavidArcher	1261
46	yulgur1	1245
47	burbankbuilder28	1148
48	eiC_	1143
49	legal_tax_evader	1092
50	SmashingPump	1083
51	Enderxz3	1073
52	Elastiq	1069
53	noam464	1044
54	FreakGenius	1034
55	TechnoNinja64	959
56	ShedJr_	916
57	4774	914
58	00000000-0000-0000-0009-01ff0c3e5e4f	891
59	Soplight	865
60	SuperPooch06	844
61	bigstankyy	833
62	Onennon	820
63	kekhon	819
64	Legendosh	817
65	DanTheBuilderino	793
66	MyNameIsJobo	775
67	surfinggiraffejp	736
68	stavgod	725
69	TheDankPlatypus	723
70	Segotep999	682
71	Jovaphobic	669
72	Cowison	640
73	500am	593
74	djancak	549
75	Marbz_	542
76	DermeinUser	537
76	Jimb0nat0r	537
78	The11thDoctor	524
79	Reamdin	518
80	beeperbeeper5	507
81	livingdaydreams	484
82	301851	464
83	dudcreeper	453
83	lizardfightclub	453
85	Barlycorn	428
86	rarrq	407
87	r123moore	399
88	gaziter10	380
89	Rasmanden	374
90	Akoot_	368
91	DarlaMeow	367
92	Zaridey	358
93	Rebytre	353
94	AlphaWolfPlaysMC	350
95	crying_wolf_13	347
96	AssFullaCum	345
97	Vizzoid	341
98	set67	339
99	CaptainDeadBread	336
100	OfficerAnvil	334
101	Druid95	323
102	ROY4LE	316
103	CACTUSLAD	311
104	lcvezra	302
105	diamondgolem35	294
106	TheSecondLord	293
107	censorsheep	287
108	Merv__	286
109	Werbe	269
110	Jindong	255
110	Fullut	255
112	xXTheWolfmanXx	254
113	mimbo1211	246
114	Northernrabbit	244
115	ColeSnyder	243
116	Zythose	242
117	mwrty	237
118	JayToe	236
119	Quincannon	222
120	Steelynan	220
121	fkGrim	215
122	SSytex_X	205
123	wezzzi	196
124	Mahoose	191
125	excelsionprime	185
125	EveryonesUncle	185
127	oscminus	182
127	claivin	182
129	MilleGrug	181
130	RobotMinion101	179
131	epiksk8erduck	172
132	mariominejedi	171
132	Manaateee	171
134	Ezekson	168
135	BreadBacon	165
136	bloodbiter	162
136	groofles	162
138	Kouridragon	161
139	hm947	157
139	lordpipe	157
141	F_Uhre	149
142	Ssor69	148
143	Kynigito	147
144	Nyxiom_	143
145	Nicserso	137
146	Njensen7	136
147	2blox_	135
148	ciemacigans	132
149	xolstoi	131
150	Maenara	129
150	SammiWolfGirl	129
152	M_Patata	128
152	MasterNueve	128
154	calamariclam_I	126
155	Ryan_GEMS	123
155	MrMeisterProper	123
157	pixelviolin	121
158	AnnieBathory	117
159	ECstardust	116
160	Eraxa	115
161	Hiryu27	111
162	BigCronkin	110
162	MightyWertu	110
164	DemTechAlpha	108
165	ThePoliteG	107
166	Drewen24	106
167	JESS_THE_RERE	105
168	Lukeee33	102
169	wwwwinnebagoooo	97
170	PhantomsGhost_	96
171	Tiberonus	95
171	__TheNorseMan__	95
173	k_ce	94
173	Alteriity	94
173	Secret_Canary	94
176	Moofyman	91
177	Tyrannosplart	90
178	Gundam_Steven	89
179	TheBiggestFeller	88
179	Rumpletaezer	88
181	Kubelz	87
182	ITDV	86
183	Nicky19	84
183	WyngGoy	84
185	Winklepicker279	83
185	The_slideV3	83
185	anbbang	83
188	SingedBread	82
189	SwooshBoi	81
190	IAmTheWalrus910	78
191	Arceus1975	77
191	IamCL4SSY	77
193	TooManyDuck	76
193	Zippyzam	76
195	Fuhrer_Teemo	75
196	RyuNeko932000	74
196	mobunni	74
198	Jackster03	73
199	Hpdinosaur	72
199	Warlord324	72
201	CliffEmAll	71
201	Iamthejo	71
203	Mattesco	70
203	_Crimson_Legate	70
205	LazySupport00	69
205	mihimihimihi	69
207	Crowvens	68
207	mawileite	68
209	QueenCamilla	67
210	RebelAndroid	65
211	eviltunix	64
211	diggydog67	64
213	__lizi	63
214	6king6colt6	62
215	Master_Kol	61
216	Kamflame10	60
217	cedric72	59
217	Sheldor097	59
219	Hyugo	57
220	ReSynced	56
220	MustaLoordi	56
222	Strangemonkey71	55
223	TheSeismicDuck	54
224	Krowuss	51
224	KujikawaRisechi	51
224	jnp_gaming	51
227	Moetis	50
228	Paint	48
228	Meepcraft	48
230	The_Cruncy	47
231	teslawolf38	46
231	H72l9w	46
231	lorpus	46
231	ApophisNova	46
231	MyNamaSheff	46
236	EMC_	45
236	zToasty69z	45
236	The_SlideV5	45
239	Awyrlas	44
239	bearlystraight	44
241	MattieHD	43
241	Jackattack53	43
243	FirsTimeGamingTV	42
243	_8man	42
243	selectrix	42
243	Zoeyfortnite	42
247	Base_Tempest	40
247	Windo_licker	40
247	SamZombie	40
247	Nycteus_	40
247	33sudo	40
247	fffMike	40
253	fanofbands101	39
253	Pearlplatinum	39
253	monky_irl	39
256	UltimuShadow	38
256	NotMeanttoChange	38
256	ImDisconnected_	38
256	Kim_Jong_eel	38
256	jcool7	38
261	ougstur	37
262	XeroByMyth	36
262	bloomkieren	36
264	Megarboh	35
264	Corbsman	35
264	Heisenbberrg	35
267	fluddd	34
268	Paleshield	33
