rank	username	minecraft:mined/minecraft:dark_oak_planks
1	TheShyPig	20841
2	Euclidoris	12769
3	burbankbuilder28	12450
4	500am	6421
5	m_be9	4330
6	pintsizedrogue	4180
7	rarrq	2923
8	beeperbeeper5	2491
9	RatatJuice	2307
10	EveryonesUncle	2226
11	Blackberry1310	2145
12	lorywithay	2142
13	FreakGenius	2077
14	Mattesco	1857
15	skitzxo	1839
16	xxPipperDipperxx	1825
17	CattSoup	1742
18	Kowcio_	1707
19	Yamdalorian	1645
20	Inbefour	1594
21	Ezekson	1535
22	fluddd	1516
23	tsitrawhy	1509
24	joethahobo	1475
25	Enderxz3	1336
26	Lez_	1307
27	HellsSponge	1276
28	Arceus1975	1230
29	SkateboardR6	1223
30	Hiryu27	1185
31	Manaateee	1184
32	QuiCreans	1180
33	k_ce	1156
34	AnnieBathory	1147
35	TheDankPlatypus	1140
36	Racengan	1128
37	TheSecondLord	1123
38	RebelAndroid	1086
38	xzvu	1086
40	miramyu	1077
41	NieToksikpl	1022
42	Frozil20	994
43	Russiancat1	991
44	titanlax	980
45	pixelviolin	966
46	Winklepicker279	952
47	SuperPooch06	951
48	Kakolbus	934
49	Malorn_Aetherius	917
50	Kateesaur	905
51	Archsam	865
52	ScootOfBoot	837
53	El_Jalapeno	835
54	Fullut	833
55	Eraxa	820
56	Legendosh	811
57	GingerNeutron	809
58	Di_infiri	776
59	bruh072	772
60	MattieHD	719
61	Hyp3rion_	718
62	ItzYaBoiPicard	713
63	wezzzi	699
64	XboxPanda	691
65	Skippeh	675
66	Awyrlas	667
67	Mahoose	654
68	Merv__	634
69	CliffEmAll	631
70	NameGenerat0r	622
71	Onennon	618
72	CalebDHawk	612
73	kekhon	608
74	KarlKaek	597
75	EMC_	587
76	Lord_Jord	579
77	LexMakesHistory	568
78	GeromeMerris	565
79	Napoleonpancake	553
80	paranoid_plant	544
81	RobotMinion101	542
82	Ssor69	538
83	Spacewardharpy7	527
84	PortlyPete69	523
85	ThePoliteG	516
86	Xclax101	515
87	crashomon	509
87	thewindmillman	509
89	yulgur1	505
90	gcaisawesome	496
91	AngalexikCZ	495
92	ConnorDanky_	494
93	set67	481
94	FishyBoy3811	479
95	MyNameIsJobo	460
96	eitanzaki	451
97	Saucepeh	447
98	audiocracked	443
99	Foof13	442
99	luseis	442
101	Pumpkin_P_Patch	439
101	PlasticOtari	439
103	diamondgolem35	436
104	Dakar_	435
105	Soplight	434
106	dudcreeper	414
106	censorsheep	414
108	Meatlaugh	413
109	Skylord_Luke	411
109	2blox_	411
111	Huwulling	410
112	Optiprimus	408
113	Groovy_MoonBird	406
113	_Razaria	406
115	teslawolf38	400
115	LeauVox4921	400
117	JETrotter	397
117	TheWickedBird	397
119	Zythose	395
120	Druid95	394
121	Jovaphobic	393
122	_witch_craft_	390
123	royal_2	388
124	ChocolatePepsi	387
125	fallingemma	380
126	seramalen	379
126	Blu3beast	379
128	oscminus	374
129	r123moore	370
129	YungMaki	370
131	Nicky_H225	368
131	TechnoNinja64	368
133	Prismyst	364
134	FirsTimeGamingTV	359
135	ROY4LE	350
135	taengoos	350
137	j5ylim	347
138	Ze_BaronKrigler	338
139	Krowuss	336
140	Pineapplesugr	335
141	Biites	331
142	lordpipe	328
