rank	username	minecraft:mined/minecraft:snow
1	thewindmillman	61418
2	Ezekson	52025
3	Spacewardharpy7	44681
4	kekhon	32954
5	PigDab	31616
6	Mahoose	30332
7	Drawgirll	23999
8	Groundler	23980
9	m_be9	21987
10	noam464	20965
11	diamondgolem35	20816
12	Di_infiri	20796
13	PlasticOtari	19854
14	Historical_Sand	19466
15	beeperbeeper5	18965
16	EcksDofficial	17760
17	ProfessorBee	16765
18	rarrq	15524
19	Smoke____	15486
20	SSytex_X	13179
21	SuperPooch06	13032
22	EMC_	12880
23	Cowison	12796
24	xxPipperDipperxx	10857
25	Akoot_	10259
26	Blu3beast	9804
27	WyngGoy	7752
28	El_Jalapeno	7350
29	Thaumatarge	7151
30	TheShyPig	6734
31	eitanzaki	6470
32	Merv__	6459
33	Jiminie	6427
34	12Magner05	6029
35	gcaisawesome	5155
36	Eraxa	5152
37	Toriankel	4753
38	Smiguli_	4564
39	Chromary	4344
40	mwrty	4340
41	HellsSponge	4023
42	alderban107	3944
43	Deathkob	3839
44	ApophisNova	3756
44	MyNamaSheff	3756
46	Mattesco	3589
47	claivin	3553
48	pintsizedrogue	3499
49	_Boipl_	3377
50	Kkanot	3193
51	MinttyFressh	3182
52	Sral7	3175
53	Blaiku	3137
54	PhantomsGhost_	3046
55	Inchef	3037
56	Blackberry1310	2915
57	ooga47	2730
58	jnp_gaming	2592
59	TheSecondLord	2528
60	Fullut	2511
61	Tobinator_007	2430
62	500am	2401
63	jcool7	2384
64	Jimi7hits	2222
65	jacxhadow	2156
66	YungMaki	2152
67	M_Patata	2116
68	Frozil12	2115
69	_Dean_123	2104
70	Razzgriz	2087
71	Sky_light_KING	2075
72	EcksD	1973
73	RedcatVII	1962
73	MeetTheWollo	1962
75	sammidk	1881
76	joethahobo	1743
77	Drlzyy	1697
78	Dusk_95	1626
79	teslawolf38	1623
80	__tomato	1548
81	MasterNueve	1530
82	FishyBoy3811	1482
83	FelixPSY375	1474
84	lillips	1463
85	set67	1460
86	SteveCraftBlocks	1442
87	TheOuterCore	1425
88	Hermanni__	1360
89	JESS_THE_RERE	1323
90	Arceus1975	1231
91	stuy9	1203
92	censorsheep	1197
93	ROY4LE	1177
94	rotten_mango	1122
95	Skylord_Luke	1047
96	Spenduh	1016
97	ShedJr_	1006
98	1442	982
99	DermeinUser	954
100	tramizu	945
101	burbankbuilder28	932
102	SaucyDark	922
103	wezzzi	915
104	Skippeh	910
105	purpolepickle	902
106	Motsaro	860
107	kyouma777	827
108	_8man	780
109	CoffeeNoir	741
110	NotSoJamie	731
111	Enigma0251	718
112	Soplight	711
113	Ze_BaronKrigler	702
114	YoshikageBites	681
115	Nekomin0	679
116	Begformurrcy	678
117	thescout7	677
118	Natty	659
119	jushykins	655
120	TheBiggestFeller	653
121	fr_ser	636
122	Legendosh	624
123	DarlaMeow	621
124	TechnoNinja64	614
125	Cocoamallows	603
126	Winklepicker279	601
127	Groovy_MoonBird	600
128	fluddd	598
129	chipklip	593
130	Kowcio_	571
131	EfficientC52	566
132	speenduhXD	561
132	FlashMigma	561
134	ogoa	548
135	IforgotCS_Source	536
136	SammiWolfGirl	519
137	sp00ky_ghost977	515
138	kinas45y5	506
139	T045RTY	498
140	ItsAki_	470
140	Winston_Ingram	470
142	CaptainAvenger7	446
143	Segotep999	442
144	dabloons	437
145	oxfordschool	419
146	stahouo	412
147	SingedBread	410
148	MustaLoordi	405
149	Jackattack53	398
150	Healthing	396
151	Sqwishy	394
152	loveseeker	392
153	scarletwarrior1	389
154	Warlord324	379
155	momis24	368
156	drumine	366
157	ImDisconnected_	363
158	Nicky_H225	362
159	lcvezra	351
160	RebelAndroid	350
161	heysushii	348
162	trexgb	345
163	Guillemet	341
163	Enderslayerxz3	341
165	DemTechAlpha	329
166	TTNG	327
167	Freak_Genius	321
167	pixelviolin	321
169	fffMike	317
170	PortlyPete69	310
171	Kyrum2169	309
172	Snowflowe	307
173	Miko_Fullbuster	301
174	Ardennes	296
175	Steven1282598	295
176	420BreadLizard	290
177	bloodbiter	284
178	Leyna3	277
179	bigstankyy	266
179	Zlatovlas	266
181	6king6colt6	254
182	the__Reaper4999	252
183	Cartoonmaniac	250
184	ewsophie	246
184	Bumpy419	246
186	MSK__	244
187	ProbsNotNova	240
188	Nicserso	234
189	Valoth	231
190	StanceTB	225
191	Incinere	224
192	Reamdin	217
193	NoxxxxiS	215
194	Sheldor097	213
195	xof_on_microwave	210
196	theonlymagikarp	209
197	Kamflame10	208
198	_Razar	205
199	Hisiste	204
200	LordSpeed37	199
201	Rich_Kat	194
202	KGTV	193
203	surfinggiraffejp	191
204	rats_life	189
205	Crowvens	180
205	2blox	180
207	obtusely	179
208	CruncyIsTaken	178
209	H72l9w	176
210	Nagasaki_Riku	175
211	Laykon	174
212	Kubelz	173
213	Covalents	172
214	MOSS000	171
214	monky_irl	171
216	xyct	170
216	FirsTimeGamingTV	170
216	dartwaffle	170
216	Lowjinx	170
220	Comma__	167
220	UrbanPlanner1978	167
222	Sorins	165
223	ImpavidArcher	158
223	KingMatthew506	158
225	DeeDeeThonk	157
226	RobotMinion101	154
226	Optiprimus	154
228	fallingemma	152
229	Septemb3r	145
230	FennYuzuna	142
230	Strangemonkey71	142
232	Kubeusz2010	138
233	wiqor	137
233	_schi	137
235	NameGenerat0r	135
236	Rumpletaezer	134
237	Harotio	133
238	TableTim	131
239	The11thDoctor	129
239	Onennon	129
241	The_Dark_One_00	125
241	QueenOfDirt	125
243	Xclax101	123
244	gabriels543	122
245	Kateesaur	121
246	Dreamdbr14	118
246	Njensen7	118
248	Ecplosive	117
249	Flapjacker687	116
249	eviltunix	116
251	laron58	115
252	RodSerlingCringe	114
253	lordpipe	112
254	SamZombie	111
254	masskedman	111
256	Nycteus_	110
257	Dedalus36	107
257	himak1	107
257	Peeing	107
260	Hail_the_wombat	105
261	zylanzagreat	104
262	_stets	103
262	anbbang	103
264	lewieinnit	101
264	rosswellcrash	101
264	garrykasparow	101
264	Juh1s	101
268	Deguns123	100
269	Slapface522	96
270	RoskobiOne	94
270	Awyrlas	94
272	HolyVenom	93
272	Luigipunch989	93
274	AlazelTheReal	88
275	Rebytre	86
275	Rasmanden	86
277	Big_Bad_Will	84
277	KeruNatsema	84
279	Maenara	83
280	Erased_Identity	80
281	Matyyy15	79
282	Xalithia	78
282	marumochis	78
282	Steelynan	78
285	lordofthelight95	77
286	Myhym	76
286	the_russell1611	76
288	_Bguette_	75
288	IAmTheWalrus910	75
290	BlueWyvern5170	74
290	TheGameArchitect	74
292	jspwn	73
292	bra1nbrain	73
292	LordAurum	73
295	Jonte0599	71
296	m9_meltdown_	70
296	_Karmaa	70
296	stellarjay	70
299	LexMakesHistory	67
300	brycepants	66
