rank	username	minecraft:mined/minecraft:oak_sign
1	kekhon	262
2	EveryonesUncle	198
3	joethahobo	140
4	HellsSponge	138
5	beeperbeeper5	117
6	_Dean_123	113
7	TheShyPig	109
7	Hermanni__	109
9	eitanzaki	104
10	Di_infiri	94
11	Freak_Genius	91
12	thescout7	84
13	noam464	67
14	SteveCraftBlocks	65
15	Kubeusz2010	62
16	pintsizedrogue	61
16	cichy096	61
18	MovingFish7	58
18	YungMaki	58
20	Fullut	49
21	Smoke____	46
22	Mahoose	44
22	Legendosh	44
24	6king6colt6	43
24	__tomato	43
26	Blaiku	42
26	lcvezra	42
28	_k2x	41
28	BlankityMcBlank	41
30	Groundler	40
31	Blackberry1310	39
32	Historical_Sand	38
32	lordpipe	38
34	El_Jalapeno	36
35	Merv__	34
35	Onennon	34
37	Awyrlas	32
37	Rumpletaezer	32
39	Enderslayerxz3	31
40	TheSecondLord	30
40	NomadicRobin_	30
40	Spacewardharpy7	30
40	EcksD	30
44	ROY4LE	29
44	Arceus1975	29
44	Warlord324	29
47	youhjjhhhjj	28
47	oreee	28
47	Racengan	28
50	m_be9	27
50	jnp_gaming	27
52	DarlaMeow	26
52	Xclax101	26
54	ShedJr_	25
54	mwrty	25
54	Blu3beast	25
57	Bumpy419	24
58	rarrq	23
58	Werbe	23
58	WyngGoy	23
58	Eraxa	23
62	SkateboardR6	22
62	alderban107	22
62	TechnoNinja64	22
65	Ssor69	21
65	MattieHD	21
65	CruncyIsTaken	21
65	stahouo	21
69	LordSpeed37	20
69	Kowcio_	20
71	Ilinca_Io	19
71	ImpavidArcher	19
71	WET_WET_WET	19
71	ApophisNova	19
71	Akoot_	19
71	Frozil12	19
71	MyNamaSheff	19
78	Nicky19	18
79	egglapras	17
79	Hyp3rion_	17
79	The_slideV3	17
79	Sheldor097	17
83	Menthas	16
83	Rebytre	16
83	Inbefour	16
83	RoboTramp7865	16
87	dongli	15
87	ivorico	15
87	xxPipperDipperxx	15
87	Jackattack53	15
