rank	username	minecraft:mined/minecraft:dark_oak_pressure_plate
1	MyNameIsJobo	64
2	Mr_Byzantine	58
3	Prismyst	38
4	Dedalus36	37
5	kekhon	21
6	Mahoose	17
6	Russiancat1	17
8	jnp_gaming	16
9	pintsizedrogue	13
10	stuy9	12
10	Warlord324	12
12	beeperbeeper5	11
13	dudcreeper	8
13	thescout7	8
13	dezxalo	8
13	Eraxa	8
13	brofrickcheaters	8
18	Moofyman	7
18	Ezekson	7
20	jacxhadow	6
20	m_be9	6
20	intropass	6
20	Bl1tzFX	6
20	Dusk_95	6
25	Merv__	5
25	Fullut	5
25	Smashic	5
25	Awyrlas	5
25	TheShyPig	5
25	Blu3beast	5
31	teslawolf38	4
31	SaucyDark	4
31	Khelvoryk	4
31	tsitrawhy	4
31	Nekomin0	4
31	KingMatthew506	4
37	Ozixar	3
37	titanlax	3
37	Cryptacity	3
37	Onennon	3
37	theofiel	3
37	avalan64	3
37	madderfall	3
37	censorsheep	3
37	fluddd	3
37	PortlyPete69	3
37	Skippeh	3
37	EcksDofficial	3
49	ImpavidArcher	2
49	BlancoFlaco	2
49	RatatJuice	2
49	Lez_	2
49	TheSecondLord	2
49	BobDeBouwer1337	2
49	ThePoliteG	2
49	500am	2
49	Paintz	2
49	XboxPanda	2
49	Winklepicker279	2
49	AnnieBathory	2
49	KeruNatsema	2
49	Maenara	2
49	TheTrueClipse	2
49	AlphaWolfPlaysMC	2
49	Jiminie	2
49	YungMaki	2
49	BlankityMcBlank	2
49	djancak	2
49	Soplight	2
49	Hermanni__	2
71	Drlzyy	1
71	hm947	1
71	eitanzaki	1
71	Historical_Sand	1
71	rarrq	1
71	dopplexd	1
71	emrekn	1
71	thewindmillman	1
71	Sky_light_KING	1
71	Akoot_	1
71	audiocracked	1
71	the_russell1611	1
71	lillips	1
71	NameGenerat0r	1
71	Frozil12	1
71	Barlycorn	1
71	Segotep999	1
71	stahouo	1
71	lcvezra	1
71	CalebDHawk	1
71	_3Stump_	1
71	oxfordschool	1
71	WYFYoyo	1
