rank	username	minecraft:mined/minecraft:green_stained_glass
1	Manaateee	1079
2	beeperbeeper5	822
3	Quotary	463
4	stavgod	445
5	2blox_	305
6	pintsizedrogue	262
7	Snowflowe	248
8	Spacewardharpy7	229
9	Werbe	191
10	Steelynan	145
11	Lez_	124
12	Hoshi	120
13	Hyp3rion_	109
14	Mattesco	103
15	Freedrik	97
16	Jackattack53	91
17	NameGenerat0r	86
18	_Nuf	84
19	TheShyPig	81
20	Kowcio_	68
21	AdmiralSmoke	65
22	noam464	55
22	TechnoNinja64	55
24	TastefulBas	52
25	ImpavidArcher	50
26	MikeIsSalty	47
27	fffMike	44
27	jnp_gaming	44
29	Enderxz3	36
30	rarrq	31
30	carbo_bro	31
32	fluddd	29
32	EcksD	29
34	dragonstalker21	24
35	Sral7	23
36	ApophisNova	22
36	El_Jalapeno	22
36	MyNamaSheff	22
39	Maenara	19
40	heckface	18
40	Albertalo	18
40	Touched_Bread	18
40	Druid95	18
44	mwrty	17
45	duelcard	16
45	swimingduck	16
47	Mahoose	15
47	EveryonesUncle	15
49	ShowRegent	12
49	Fullut	12
51	Wooptey	11
51	joethahobo	11
53	_Dean_123	10
54	Blackberry1310	9
54	Panoe	9
56	LionelHutzESQ	8
57	TheSecondLord	7
57	GooseWithin	7
57	halfbakedlasagna	7
60	Merv__	6
60	Isaac70096	6
60	eitanzaki	6
60	lordpipe	6
60	Ezekson	6
60	Jimb0nat0r	6
66	ChiefKeef125	5
66	TheSansMan	5
66	xxPipperDipperxx	5
66	Kakolbus	5
66	Kyrum2169	5
71	AuroraValkyrie	4
71	Hpdinosaur	4
71	Mr_Teddiursa_K	4
74	GarthWiest	3
74	Devintronix	3
74	Comma__	3
74	ROY4LE	3
74	okCrypto	3
74	luseis	3
74	E775	3
74	Nycteus_	3
74	xsewn	3
83	tikitikitik4	2
83	Mr_Byzantine	2
83	BigMaoguai	2
83	RoskobiOne	2
83	Vynser	2
83	Huwulling	2
83	ITDV	2
83	titanlax	2
83	Kazekage	2
83	Yaspresents	2
83	RobotMinion101	2
83	Onennon	2
83	halfwayup	2
83	SolicitedPuma101	2
83	HellsSponge	2
83	Groundler	2
83	Eraxa	2
83	Soplight	2
83	xzvu	2
83	lcvezra	2
83	KingMatthew506	2
83	Kubeusz2010	2
83	Xannon232	2
83	Wanjibon	2
107	k_ce	1
107	Badenbeele	1
107	asian_man_soggy	1
107	6king6colt6	1
107	SaucyDark	1
107	SyntheticSurgeon	1
107	Umbre_19	1
107	MoistMicrowave	1
107	spaece	1
107	ShedJr_	1
107	tsohomie	1
107	Pofen	1
107	m_be9	1
107	T0NYDENALIGAMING	1
107	GhostMechanic	1
107	WWWWMWWWWWWWWWWW	1
107	CryForHelpPT	1
107	trixterrx	1
107	BigMoneyH	1
107	MyNameIsJobo	1
107	Arceus1975	1
107	thewindmillman	1
107	GoodWeed	1
107	WolfthePiggy	1
107	Tetzel55	1
107	shockdocta	1
107	k1ngGilgamesh	1
107	spideywalt	1
107	UltraStorm	1
107	IamCL4SSY	1
107	CraftingWithXav	1
107	Inbefour	1
107	lillips	1
107	RaahLowe	1
107	Blaiku	1
107	KatieBelle04	1
107	Fillapul_ted	1
107	_Tannu_Tuva_	1
107	WiseMasterr	1
107	Celeste_121	1
107	_i_ERROR_i_	1
107	Xaphoid	1
107	LagMass	1
107	Nicserso	1
107	Kiki_Majiki	1
107	The_SlideV5	1
107	xolstoi	1
