rank	username	minecraft:mined/minecraft:white_stained_glass_pane
1	Tolhart	2439
2	beeperbeeper5	831
3	Ezekson	603
4	Smoke____	542
5	Snowflowe	521
6	Eczbek	459
7	noam464	450
8	Groundler	440
9	HellsSponge	439
10	Freak_Genius	395
11	pintsizedrogue	347
12	burbankbuilder28	331
13	EcksDofficial	322
14	kekhon	314
15	jnp_gaming	242
16	Mahoose	240
17	Arceus1975	229
18	Hyp3rion_	213
18	Spacewardharpy7	213
20	Racengan	210
21	Eraxa	202
22	eitanzaki	189
23	_Karmaa	181
24	Blackberry1310	149
25	_stets	146
26	Blaiku	142
27	Babushka0430	141
28	El_Jalapeno	137
29	joethahobo	136
30	lordpipe	133
31	stahouo	126
32	Di_infiri	114
33	XboxPanda	109
34	TheShyPig	108
35	rarrq	102
36	NameGenerat0r	97
37	RobotMinion101	96
38	Merv__	91
39	Sky_light_KING	84
40	Yatitay	69
40	YungMaki	69
40	Hermanni__	69
43	NinjaKnifeKill	68
44	himak1	62
45	TheSecondLord	61
46	titanlax	60
46	Sheldor097	60
48	obzii	55
49	cedric72	50
50	Inchef	48
50	Truckoss	48
52	Akoot_	46
53	Kowcio_	44
53	Winston_Ingram	44
55	MyNameIsDakar	43
56	500am	41
57	CoffeeNoir	39
58	KartivGal	36
59	r123moore	35
59	Winklepicker279	35
61	yaboo88	34
62	thescout7	33
62	Legendosh	33
64	m_be9	31
64	NoxxxxiS	31
64	Werbe	31
64	AssEatrAndLicker	31
68	EMC_	30
68	Mewar	30
68	sebastiensaborio	30
71	6king6colt6	29
72	GoofyBread	27
73	fr0stss	26
74	ImpavidArcher	25
74	Xalithia	25
74	Inbefour	25
77	Tommhh	24
77	Dusk_95	24
79	Waffleman258	23
79	Cocoamallows	23
79	lcvezra	23
82	Decaying_Lotus	22
83	_naturell	21
83	jcool7	21
85	HAIRYCLOUD626	20
86	Deathkob	19
87	ShedJr_	18
87	Motsaro	18
87	Hoid_the_Roamer	18
90	Rumpletaezer	17
91	_Virify_	16
91	jimintyy	16
91	mwrty	16
91	sadvavilloso	16
95	pr33tu	15
95	Septemb3r	15
97	set67	14
97	emrekn	14
97	Blu3beast	14
100	SquadMonster	13
100	TechnoNinja64	13
102	xxPipperDipperxx	12
102	CalebDHawk	12
104	geekbird	11
105	Incinere	10
105	Eerini	10
105	Soplight	10
105	MissCeleste7	10
109	AuroraValkyrie	9
109	Parcc	9
109	WarMachina	9
109	ApophisNova	9
109	MyNamaSheff	9
114	diamondgolem35	8
114	Ch4osDoom64	8
114	Chromary	8
114	bloomkieren	8
114	xorompole	8
119	teslawolf38	7
119	Isaac70096	7
119	Marbz_	7
119	__tomato	7
123	Zlatovlas	6
123	Leyna3	6
123	MakeHistory157	6
123	BlankityMcBlank	6
123	GlitchyPlate810	6
123	RadarHz	6
129	SaucyDark	5
129	NotMeanttoChange	5
129	Tjhodskins19	5
129	gabriels543	5
129	ChillenChiggen	5
129	Earlesstrain4	5
135	Drlzyy	4
135	numbra	4
135	KarlKaek	4
135	cowgirlkasia	4
135	SullyhS	4
135	CrateOfBoxes	4
135	Dan_Scha	4
135	Frozil12	4
135	Optiprimus	4
135	alderban107	4
135	Enderslayerxz3	4
146	Stynxy	3
146	Sloths_Ender	3
146	xXxSebastianLxXx	3
146	wTXop	3
146	Onennon	3
146	xX_Stalin69_Xx	3
152	Ailmast	2
152	RebelAndroid	2
152	Swexti	2
152	Mercadies	2
152	Devintronix	2
152	Fullut	2
152	MotherCricket	2
152	IronyMan69	2
152	WolfthePiggy	2
152	Skylord_Luke	2
152	k1ngGilgamesh	2
152	sammidk	2
152	Lord_Jord	2
152	Wowful	2
152	NomadicRobin_	2
152	Paigefly	2
152	Smiguli_	2
152	deletesaccount	2
152	die_lit_punk	2
152	SammiWolfGirl	2
152	Skippeh	2
152	2blox	2
174	funeralhome	1
174	_NieToksikpl_	1
174	Iagoku	1
174	ColeSnyder	1
174	AES784	1
174	T045RTY	1
174	peach0s	1
174	FS0L0	1
174	Sparky_KT	1
174	Frxnkz	1
174	NasdaqCrash	1
174	shdesolt	1
174	Rich_Kat	1
174	Ardennes	1
174	Enigma0251	1
174	Focat	1
174	willowcherrytree	1
174	TruGuire	1
174	MangoTheFish	1
174	MustardDrinker	1
174	Hiryu27	1
174	CornFlecs	1
174	LilLizardWizard	1
174	lizardfightclub	1
174	Revolutions	1
174	thechoosenone69	1
174	chipklip	1
174	TYCHEz	1
174	501g	1
174	MightyWertu	1
174	cog	1
174	carbo_bro	1
174	SSytex_X	1
174	Vector1209	1
174	Poppy235	1
174	Dreamdbr14	1
174	MilleGrug	1
174	Armetti	1
174	Quotary	1
174	cichy096	1
174	OnlyOfficial	1
174	AltnumberF4	1
174	HesDemonPants	1
174	h2p_emrld	1
174	Faart	1
