rank	username	minecraft:mined/minecraft:wheat
1	TheShyPig	20385
2	Blackberry1310	11683
3	Enderslayerxz3	9852
4	kekhon	9358
5	TechnoNinja64	9136
6	Njensen7	8833
7	Smoke____	8760
8	Groovy_MoonBird	7278
9	Di_infiri	7205
10	Luigipunch989	7186
11	bloodbiter	6867
12	Legendosh	6825
13	Prodiginus	6395
14	Katsuragi0243218	5946
15	MyNameIsDakar	4934
16	himak1	4766
17	lordpipe	4605
18	6king6colt6	4460
19	joethahobo	4323
20	Menthas	4165
21	KarlKaek	3946
22	anbbang	3933
23	HellsSponge	3730
24	xxPipperDipperxx	3631
25	pintsizedrogue	3569
26	livingdaydreams	3423
27	hcb238	3336
28	El_Jalapeno	3331
29	claivin	3316
30	djancak	3272
31	_TCARREIRA_	3246
32	ApophisNova	3232
32	MyNamaSheff	3232
34	The11thDoctor	3230
35	xo_Marren_xo	3174
36	Soplight	3167
37	LeeMcGee30	3138
38	m_be9	3054
39	Comma__	3022
40	Rumpletaezer	2989
41	Bandito_Roamer	2910
42	UncreativeArtist	2865
43	Xclax101	2788
44	Kim_Jong_eel	2748
45	Froste131	2618
46	Akoot_	2555
47	SaucyDark	2530
47	Kateesaur	2530
49	Snowflowe	2498
50	RadarHz	2410
51	Voxin2K	2385
52	ooga47	2361
53	Merv__	2354
54	Omar_Alone	2345
55	Hyp3rion_	2270
56	TooManyDuck	2237
57	500am	2194
58	wobn	2183
59	RyuNeko932000	2182
60	jacxhadow	2141
61	youhjjhhhjj	2095
62	Skippeh	2091
63	Blaiku	2086
64	Airem_Core	2057
65	Razzgriz	2046
66	Onennon	2016
67	Groundler	1971
68	Jovaphobic	1964
69	H72l9w	1959
70	Russiancat1	1958
71	set67	1932
72	Arceus1975	1865
73	ProfessorBee	1835
74	beeperbeeper5	1826
75	Jiminie	1818
76	_Karmaa	1786
77	Tolhart	1784
78	Mr_Byzantine	1758
79	Fullut	1752
80	burbankbuilder28	1744
81	EveryonesUncle	1725
82	monky_irl	1724
83	SuperPooch06	1706
84	Xalithia	1704
85	Malorn_Aetherius	1680
86	Lowjinx	1678
87	Karbl	1633
88	boog4loo	1618
89	TheSecondLord	1603
90	MyNameIsJobo	1593
91	picardred	1584
92	Chromary	1555
93	Racengan	1532
94	starbits140	1508
95	Steven1282598	1506
96	301851	1504
97	RebelAndroid	1475
98	Dedalus36	1461
99	OG_Songsee	1460
100	Zaridey	1453
100	UrbanPlanner1978	1453
102	sufjanlover	1442
103	Wolverine4302	1440
104	bruh072	1430
105	fluddd	1422
106	thescout7	1418
107	smogfrog	1414
108	diggydog67	1375
109	ImDisconnected_	1371
110	Inbefour	1369
111	HesDemonPants	1366
112	Mahoose	1365
