rank	username	minecraft:mined/minecraft:wither_skeleton_wall_skull
1	thescout7	65
2	Di_infiri	48
3	eitanzaki	25
4	Smoke____	18
5	rarrq	15
5	Skippeh	15
7	vandmanden	11
8	PigDab	10
8	YungMaki	10
10	Mahoose	8
10	gcaisawesome	8
10	Mobstr	8
10	claivin	8
14	Frozil12	7
15	zorin123	6
15	Arceus1975	6
15	thewindmillman	6
15	Hyp3rion_	6
15	Spacewardharpy7	6
20	_Nuf	5
20	NomadicRobin_	5
20	Powowowow	5
23	MangoTheFish	4
23	Rasmanden	4
23	chipklip	4
23	HellsSponge	4
23	TheTommyGun63	4
23	guccipucci_	4
23	SWSN	4
30	RebelAndroid	3
30	gabriels543	3
30	King_Pancake1	3
30	MakeHistory157	3
30	PortlyPete69	3
30	alderban107	3
30	diggydog67	3
37	Incinere	2
37	MSK__	2
37	beeperbeeper5	2
37	Euclidoris	2
37	Blackberry1310	2
37	m_be9	2
37	xxPipperDipperxx	2
37	Hiryu27	2
37	ApophisNova	2
37	RobotMinion101	2
37	Onennon	2
37	fred870d	2
37	_Karmaa	2
37	Blu3beast	2
37	SingedBread	2
37	stahouo	2
37	Ezekson	2
37	MyNamaSheff	2
37	TechnoNinja64	2
37	PlasticOtari	2
57	Groovy_MoonBird	1
57	Bandito_Roamer	1
57	soundad	1
57	Merv__	1
57	TooManyDuck	1
57	WarHammer3	1
57	shneed	1
57	ShedJr_	1
57	joethahobo	1
57	H72l9w	1
57	fr0stss	1
57	Shadoko_	1
57	TheSecondLord	1
57	jushykins	1
57	mwrty	1
57	ayqq	1
57	Gorilladam	1
57	noam464	1
57	XboxPanda	1
57	Lil_Breadboy	1
57	SuperPooch06	1
57	xambsam	1
57	Zythose	1
57	RefluxRatio	1
57	_8man	1
57	Corbsman	1
57	Afinnity	1
57	TheShyPig	1
57	CJPerson	1
57	Maenara	1
57	wezzzi	1
57	AlphaWolfPlaysMC	1
57	Deathkob	1
57	lillips	1
57	YungWali	1
57	Blaiku	1
57	lordpipe	1
57	Jackste85	1
57	33sudo	1
57	Spenduh	1
57	_TCARREIRA_	1
57	obzii	1
57	sebastiensaborio	1
57	Kubeusz2010	1
57	oxfordschool	1
57	2blox	1
57	Zoeyfortnite	1
57	EcksDofficial	1
57	trexgb	1
