rank	username	minecraft:mined/minecraft:sculk_catalyst
1	Jackattack53	454
2	TheBananaKat	405
3	Enderxz3	231
4	k_ce	170
5	luseis	156
6	Hyp3rion_	151
7	EMC_	98
8	Apollo_993	71
9	alanbleachdemon	65
10	TheSecondLord	52
11	Archsam	47
12	SvenskaHugo	44
13	thewindmillman	37
14	PaperCanvas	34
15	hanaryheatwave	33
15	Segotep999	33
17	12Magner05	32
18	pintsizedrogue	31
18	Di_infiri	31
20	ImpavidArcher	28
21	Kakolbus	27
22	NATE_the_HALO	24
23	MrKrabOnCoke	23
24	Lez_	21
25	Kowcio_	20
26	beeperbeeper5	19
27	nattybears	17
28	Jimb0nat0r	16
29	MuffinManzz	15
29	Fuad_R	15
31	AlexxO_o	14
32	DinoDoctor_	13
33	Manaateee	12
33	AdmiralSmoke	12
35	Smashic	11
35	Wowful	11
37	corvidpartyfor6	9
37	excelsionprime	9
37	Luminad3	9
40	ECstardust	8
40	Iamthejo	8
42	Hahaa_0	7
42	Avocadogerms	7
42	MAns_44	7
45	Da_Boss_Rani	6
45	Mattesco	6
47	RatatJuice	5
47	Mahoose	5
47	500am	5
47	LeonelSalamanca	5
47	Soplight	5
52	Sleepy_Time_	4
52	Inchef	4
52	noam464	4
52	longappendage	4
52	StinkyDiplomat	4
52	wwwwinnebagoooo	4
52	non089	4
52	KeterComet	4
60	CLG_Kata	3
60	q_wq	3
60	Alteriity	3
60	ITDV	3
60	Marbz_	3
60	oscminus	3
60	iSammael	3
60	YungMaki	3
60	EcksD	3
60	00000000-0000-0000-0009-01ff0c3e5e4f	3
70	j5ylim	2
70	SmashingPump	2
70	SyntheticSurgeon	2
70	_Boipl_	2
70	Krowuss	2
70	Rebytre	2
70	Spacewardharpy7	2
70	StarCookiees_	2
70	Heisenbberrg	2
79	shineh10	1
79	powercas_gamer	1
79	6king6colt6	1
79	jessewegottacook	1
79	Dblikstad	1
79	Secret_Canary	1
79	TheDankPlatypus	1
79	NLKBuilder	1
79	Snowflowe	1
79	ItsDeltaMC	1
79	pixelviolin	1
79	MineMaster0012	1
79	UCP_TheKingK	1
79	AppleJacks	1
79	Steelynan	1
79	Legendosh	1
79	PlasticOtari	1
79	YuenKei	1
