rank	username	minecraft:mined/minecraft:deepslate_iron_ore
1	thewindmillman	11275
2	pintsizedrogue	2474
3	500am	1820
4	EMC_	1011
5	corvidpartyfor6	635
6	calamariclam_I	601
7	luseis	557
8	Dan_Scha	531
9	Enderxz3	506
10	gcaisawesome	498
11	Kowcio_	460
12	PlasticOtari	442
13	00000000-0000-0000-0009-01ff0c3e5e4f	428
14	LeauVox4921	422
15	Iamthejo	407
16	QuiCreans	392
17	fade_emerge78823	390
18	mihimihimihi	389
19	Smoke____	380
20	RebelAndroid	357
21	coobert42	348
22	xPixelRainx	328
23	Mahoose	325
24	SingedBread	316
25	JitteryJared2	293
26	Snowflowe	289
27	MAns_44	265
28	MinttyFressh	261
28	fw3xywashere	261
30	Ryker	256
31	ZaneABrain	242
32	wwwwinnebagoooo	239
33	TheDankPlatypus	232
34	shrimp_flips	214
35	Marbz_	204
36	RoskobiOne	192
37	Touched_Bread	190
38	Huwulling	187
38	The_Fulgurator	187
40	pixelviolin	184
41	Kakolbus	180
42	chrolus	169
42	dartwaffle	169
44	Hyp3rion_	168
45	beeperbeeper5	161
46	non089	159
46	SpacesickPrism	159
48	Prismyst	156
49	masskedman	153
50	tsitrawhy	151
51	Kubelz	150
52	EngagedGrub41	147
53	Moofyman	144
54	TAKrules	140
55	StinkyDiplomat	138
56	RealGroot	137
57	Da_Boss_Rani	135
57	Silvo614	135
59	Lord_Zacler	130
60	PigDab	129
61	Jimi7hits	128
62	ApophisNova	126
62	MyNamaSheff	126
64	ConJaBz	125
65	12Magner05	124
66	Mattesco	123
67	Sleepy_Time_	119
68	ZeroAbyssTTV	115
69	groofles	112
70	_Dri_	109
71	athereall	100
72	Blackberry1310	99
72	AlexxO_o	99
74	Creativebuilder2	92
74	TerraVl	92
76	RatatJuice	90
76	mobunni	90
78	AuroraSkies	89
79	Glowhetic	88
80	Lez_	86
80	weabis	86
82	Steelynan	84
83	WeebleSock	82
83	Fuad_R	82
83	Yahir091	82
86	Flores991	76
86	CowOfTheNile	76
88	Aryamanee	75
89	SvenskaHugo	74
90	ITDV	73
90	Lutres_Torane	73
92	WYFYoyo	71
93	mrnosetackle	69
94	Weepingbiel	66
95	IdeallyGrey	65
96	youarefrench_	64
97	NieToksikpl	63
98	MyNameIsDakar	62
99	PazinGaming	61
99	HoltGrim	61
101	SvenskaAlvar	60
101	radimju	60
101	TheALV	60
104	Megarboh	59
104	GlitchyPlate810	59
106	Valoth	57
106	Crowman1	57
106	hcb238	57
106	Ezekson	57
110	Jeteight	56
110	zToasty69z	56
110	Lord_Doob	56
113	Rexorout	55
114	kidel03	54
115	Mr_Byzantine	52
115	GoofySilly	52
117	Killercatty78	51
117	rarrq	51
117	NLKBuilder	51
120	SuperPooch06	50
121	Alteriity	49
121	crying_wolf_13	49
121	prizm_	49
121	binman420	49
121	FreakGenius	49
126	CuzIm2Kev	47
127	Vicemaniac	45
127	infiniteQuery	45
129	Toriankel	44
130	Rebytre	41
131	Ithaca19	40
131	Ghemmah	40
133	hm947	39
133	BronkerBrum	39
133	TJawesome09	39
136	ShedJr_	38
136	Ossem	38
138	TheSecondLord	37
138	Legendosh	37
140	EcksD	36
141	Methalox1	35
141	underscore_2	35
141	Jimb0nat0r	35
144	Lilinaya17	34
144	ChampPog_	34
144	Smashic	34
144	EricAurum	34
148	PhantomBionic	33
148	floodjon	33
148	ItsDeltaMC	33
148	YungMaki	33
152	MogusBussy69	32
152	iElijah	32
154	Gemstuff	31
154	Hermanni__	31
156	KGTV	30
156	TheWildMateo	30
156	RoofTyler	30
159	Vegvisir	29
159	bagel980	29
159	uDank	29
162	EveryonesUncle	28
163	H_O_M_H	27
163	RoBe__	27
165	tuckerdoodle	26
165	Harobrime	26
167	MilleGrug	25
167	Njensen7	25
169	Myszoaz	24
169	Chickenchaser2	24
169	Sharkbyte0	24
169	NATE_the_HALO	24
169	RadarHz	24
174	smarticuno	23
175	MrKrabOnCoke	22
175	Khelvoryk	22
175	KeruNatsema	22
175	Hail_the_wombat	22
175	iSammael	22
175	Soplight	22
181	ImpavidArcher	21
181	I_Moose	21
181	BINKENSTOCK	21
181	Mookle96	21
185	CarryLine	20
185	ATurtle4936	20
185	AltnumberF4	20
188	Winklepicker279	19
189	Enigma0251	18
189	Human_Resource	18
191	Ev0luti0nz	17
191	SyntheticSurgeon	17
193	joethahobo	16
193	Xalithia	16
193	Wowful	16
193	BiggieDawg	16
197	_Boipl_	15
197	Ryn777	15
199	q_wq	14
199	Skylord_Luke	14
199	EtherealSilveon	14
199	gusstationwerker	14
203	MrQuanQuan	13
203	kyouma777	13
203	Umbreon900	13
206	_Huge_Male_	12
206	SmashingPump	12
206	_themselves	12
206	Leonidas2k17	12
206	Veillax135	12
206	_Karmaa	12
206	CattSoup	12
213	diamondgolem35	11
213	SvenskaSara	11
213	Deathkob	11
216	Awyrlas	10
216	yulgur1	10
216	THEKINGLyric10	10
216	verynothing	10
216	MineMaster0012	10
221	Koffeeinz	9
221	SBean737	9
221	breadbowlgamer	9
221	Jonafrog99	9
221	liquidcheezcake	9
221	ZA07	9
221	Joestra	9
228	MrPenderweed	8
228	shineh10	8
228	VG_RDF	8
228	nut_e	8
228	SpaggeDR	8
228	lordpipe	8
228	BungalowBeet	8
228	Rhysil	8
228	smogfrog	8
228	its_lupus	8
228	00000000-0000-0000-0009-01f073f37a91	8
239	chipklip	7
239	_HoneySlime_	7
239	Lumien_	7
239	bananamix994	7
239	Inchef	7
239	DubDoesGams	7
239	Sheldor097	7
239	satuern	7
239	00000000-0000-0000-0009-01fbab7ea71d	7
248	NoHaHeHa	6
248	ccwildfire1	6
248	fuyyuu_oke	6
248	Jonte0599	6
248	MinuteMira	6
248	Racengan	6
248	tonyth3tiger	6
248	fffMike	6
248	sylvstarr	6
248	Eczbek	6
258	Merv__	5
258	JuuustYeet	5
258	4774	5
258	KaptainKornhole	5
258	Cellcorgi649	5
258	CollinMH06	5
258	BenPenguin	5
258	KowcioJr	5
258	technic_squirrel	5
258	EtherealEspresso	5
268	_stets	4
268	Base_Tempest	4
268	CoffeeNoir	4
268	dimitri0s	4
268	SquadMonster	4
268	catandmoose	4
268	Masssonnn	4
268	LitoDelvito	4
268	noam464	4
268	benediktine1	4
268	noful	4
268	Jackattack53	4
268	Solar_Power	4
268	Zackran	4
268	Luminad3	4
283	MuffinManzz	3
283	T045RTY	3
283	Timfinity4	3
283	The_lost_his_tea	3
283	lorpus	3
283	Otarichi	3
283	critNoxx	3
283	LazySupport00	3
283	LeEricc	3
283	jcool7	3
293	mix9ine_maz	2
293	dimondking777	2
293	Frozil20	2
293	neurotic_a	2
293	eitanzaki	2
293	drunkeeez	2
293	lizardfightclub	2
293	Toasty_Tom	2
