rank	username	minecraft:mined/minecraft:emerald_block
1	pintsizedrogue	7974
2	RealGroot	3347
3	thewindmillman	2843
4	GlitchyPlate810	2751
5	EcksD	2471
6	Kowcio_	2271
7	Smoke____	1224
8	SquadMonster	1153
9	NoChumpChange	939
10	TheSecondLord	926
11	Skylord_Luke	913
12	12Magner05	907
13	diamondgolem35	868
14	fw3xywashere	725
15	RebelAndroid	701
16	Rebytre	668
17	Da_Boss_Rani	661
18	Lutres_Torane	609
19	GoofySilly	596
20	beeperbeeper5	590
20	Steelynan	590
22	luseis	559
23	SpacesickPrism	544
24	Arceus1975	539
25	Secret_Canary	535
26	Flapjacker687	530
27	Sral7	518
28	PlzNoBM	511
29	SvenskaHugo	504
30	FazeObama69	484
31	joethahobo	465
32	Snowflowe	449
33	pixelviolin	432
34	ConnorDanky_	406
35	Groovy_MoonBird	405
36	StinkyDiplomat	403
37	KingEgg1	402
38	ITDV	370
39	mariominejedi	346
40	Mattesco	340
41	EMC_	336
42	500am	312
43	NomadicRobin_	311
44	eitanzaki	277
45	kekhon	268
46	Spacewardharpy7	261
47	MightyWertu	258
48	dimondking777	248
49	Crowman1	239
50	Werbe	231
51	Fullut	225
52	ItsDeltaMC	219
53	SmashingPump	213
54	Mahoose	189
55	MinttyFressh	177
56	Ryker	176
57	TheOuterCore	172
58	MissCeleste7	171
59	Dogcorn69420	168
60	NieToksikpl	167
61	Alteriity	166
62	Hoid_the_Roamer	161
63	TheDumbHuman	153
64	IamCL4SSY	143
65	noam464	141
65	Lord_Jord	141
67	ImpavidArcher	140
68	Hyp3rion_	130
68	MilleGrug	130
70	fffMike	120
71	ROY4LE	119
72	Comma__	113
73	Enderxz3	110
74	CalebDHawk	106
75	501g	103
76	Ezekson	101
77	Incinere	100
78	TheMilkerOfCats	99
79	ThiccExotic	96
80	Di_infiri	92
81	p4lp	89
82	Fuad_R	86
82	TheEnderMan548	86
84	Lez_	81
85	fluddd	76
86	SpaceGrenadier	75
87	nattybears	69
88	xolstoi	65
89	Smashic	63
90	ShedJr_	60
91	Nycteus_	56
92	Rich_Kat	55
93	KarlKaek	54
93	xzvu	54
95	little_dUki	52
96	Flores991	49
97	561cool	48
98	fkGrim	47
99	Frozil20	43
99	FishisTTV	43
101	YungMaki	42
102	Soplight	40
103	Rumpletaezer	39
103	the_russell1611	39
105	TheShyPig	38
105	LexMakesHistory	38
107	PigDab	37
107	TJawesome09	37
107	Sheldor097	37
110	FishyBoy3811	36
111	paranoid_plant	34
111	RobotMinion101	34
113	stavgod	32
114	jessewegottacook	31
114	4774	31
116	lorpus	30
117	Inchef	29
117	legal_tax_evader	29
117	88Hazza88	29
120	Racengan	26
121	BartekB19	24
121	SammiWolfGirl	24
121	Quotary	24
124	fr_ser	23
124	Ze_BaronKrigler	23
126	h2p_emrld	22
127	EveryonesUncle	21
127	FreakGenius	21
129	SaintJosie	19
129	Godspirit249	19
129	Skippeh	19
129	Legendosh	19
133	Elastiq	18
133	HellsSponge	18
135	Merv__	17
135	Kubeusz2010	17
137	AlexxO_o	16
137	djancak	16
137	MirielThePastor	16
140	Ironmine12	15
140	mwrty	15
140	Hiryu27	15
140	Inbefour	15
140	lillips	15
140	Blu3beast	15
140	_TCARREIRA_	15
147	Blackberry1310	14
147	binman420	14
147	sp00ky_ghost977	14
150	Historical_Sand	13
150	Jackattack53	13
152	Jindong	12
152	cichy096	12
154	Marbz_	11
154	claivin	11
154	wwwwinnebagoooo	11
157	GreedyFern8581	10
157	Tyrannosplart	10
157	Zcolt69	10
160	PhantomsGhost_	9
160	I_Am_Mushkin	9
160	Awyrlas	9
160	Bumpy419	9
160	Eraxa	9
165	xvphmura	8
165	Hpdinosaur	8
165	Rocco_Lane	8
165	Kim_Jong_eel	8
165	_Karmaa	8
165	NameGenerat0r	8
165	MakeHistory157	8
165	ThisUserIsStump	8
165	_Dri_	8
174	Wooptey	7
174	set67	7
174	NotMeanttoChange	7
174	Gryglu583	7
174	DemTechAlpha	7
179	thescout7	6
179	Agent108	6
179	Xclax101	6
179	Blaiku	6
179	lordpipe	6
184	Huwulling	5
184	ClemenPine	5
184	Maenara	5
184	_Bguette_	5
184	Groundler	5
184	Njensen7	5
184	AltnumberF4	5
191	T045RTY	4
191	Dragonfest	4
191	TheWildMateo	4
191	monky_irl	4
191	Dusk_95	4
196	MattieHD	3
196	ProfessorBee	3
196	Kamflame10	3
196	Cambo5000	3
196	BlueZabu	3
196	gabriels543	3
196	HAPPYfaceO1	3
196	IvarEXE	3
196	JayToe	3
205	AuroraValkyrie	2
205	TooManyDuck	2
205	ZaneABrain	2
205	FirsTimeGamingTV	2
205	Euclidoris	2
205	arcanemagic	2
205	Chromary	2
205	0Vyp_	2
205	Akoot_	2
205	MAns_44	2
205	ProfessorDiaper	2
205	mihimihimihi	2
205	Nicserso	2
205	FelixPSY375	2
219	Bandito_Roamer	1
219	fanofbands101	1
219	CadenSteele	1
219	q_wq	1
219	SaucyDark	1
219	Reamdin	1
219	oreee	1
219	Stynxy	1
219	emrekn	1
219	corpsecity	1
219	tobinwilliams	1
219	Mr_Sun15	1
219	lizardfightclub	1
219	wezzzi	1
219	Wowful	1
219	SkateboardR6	1
219	WyngGoy	1
219	ElectricDragon81	1
219	Pundehoo	1
219	jcool7	1
219	KingMatthew506	1
219	jnp_gaming	1
219	TechnoNinja64	1
219	PlasticOtari	1
