rank	username	minecraft:mined/minecraft:deepslate_lapis_ore
1	thewindmillman	1680
2	Hyp3rion_	1273
3	500am	829
4	pintsizedrogue	725
5	MrKrabOnCoke	722
6	luseis	712
7	RealGroot	520
8	EMC_	471
9	Enderxz3	455
10	Smashic	362
11	mihimihimihi	314
12	fade_emerge78823	275
13	Kowcio_	267
14	non089	259
15	beeperbeeper5	256
16	RoofTyler	249
17	Iamthejo	212
18	corvidpartyfor6	179
19	LeauVox4921	174
20	Snowflowe	166
21	Apollo_993	155
22	gcaisawesome	152
22	Marbz_	152
24	xPixelRainx	150
25	MAns_44	128
26	Jimb0nat0r	124
27	hanaryheatwave	119
28	12Magner05	111
29	Lez_	110
30	fw3xywashere	108
30	00000000-0000-0000-0009-01ff0c3e5e4f	108
32	groofles	106
33	Secret_Canary	102
34	bearlystraight	100
35	calamariclam_I	99
36	PlasticOtari	98
37	Huwulling	94
38	TheDankPlatypus	92
38	Lutres_Torane	92
38	SingedBread	92
41	q_wq	87
41	Wowful	87
41	Njensen7	87
44	RoskobiOne	85
45	Cellcorgi649	82
46	AuroraSkies	80
47	Killercatty78	79
47	Alteriity	79
47	tsitrawhy	79
50	Dan_Scha	78
51	Mahoose	77
51	dartwaffle	77
53	H0UNDFRMH3LL	76
54	Crowman1	75
55	Sleepy_Time_	74
56	PazinGaming	71
56	Ryker	71
58	RebelAndroid	70
58	lordpipe	70
60	joethahobo	68
60	prizm_	68
60	YungMaki	68
60	coobert42	68
64	zToasty69z	67
65	Elastiq	66
66	iSammael	65
67	Touched_Bread	60
67	KujikawaRisechi	60
69	JitteryJared2	58
69	GoofySilly	58
71	shyshyannne	57
71	SvenskaHugo	57
73	TAKrules	56
74	Megarboh	54
74	00000000-0000-0000-0009-01f073f37a91	54
76	AlexxO_o	53
76	Heisenbberrg	53
78	Moofyman	50
79	Soplight	49
80	SmashingPump	46
80	Kakolbus	46
80	Jimi7hits	46
80	binman420	46
84	k_ce	45
84	gusstationwerker	45
86	Smoke____	44
87	Sharkbyte0	43
88	MinttyFressh	41
88	mobunni	41
90	Mattesco	40
90	pixelviolin	40
92	LeEricc	39
93	Prismyst	38
93	AltnumberF4	38
95	EtherealSilveon	37
96	EtherealEspresso	36
96	ZoomieZoomie	36
98	ShedJr_	35
99	Da_Boss_Rani	34
100	ZaneABrain	33
100	Rebytre	33
100	ItsDeltaMC	33
103	NLKBuilder	32
103	ApophisNova	32
103	wwwwinnebagoooo	32
103	SpacesickPrism	32
103	MyNamaSheff	32
108	QuiCreans	31
108	TheSecondLord	31
108	masskedman	31
108	EveryonesUncle	31
112	ARandomHedge	30
112	Jeteight	30
112	MyNameIsDakar	30
112	CattSoup	30
116	jessewegottacook	29
116	bananamix994	29
