rank	username	minecraft:mined/minecraft:diorite_wall
1	Legendosh	556
2	Mahoose	429
3	HellsSponge	379
4	PlasticOtari	378
5	himak1	373
6	Meatlaugh	235
7	Ezekson	230
8	Mr_Byzantine	199
9	Lord_Jord	170
10	Marbz_	124
11	joethahobo	119
12	Stiar	109
13	FreakGenius	98
14	TheShyPig	90
15	xolstoi	85
16	Froste131	80
17	Xalithia	77
18	Doom_melon	72
19	RedcatVII	66
20	Arceus1975	55
21	Di_infiri	54
22	ImpavidArcher	53
23	Winston_Ingram	46
24	KarlKaek	38
25	Inbefour	32
26	Kowcio_	29
27	pintsizedrogue	27
28	MrExplorer	25
29	ShedJr_	18
29	Fuhrer_Teemo	18
31	bearlystraight	16
31	ReflexCode	16
31	Soplight	16
34	Huwulling	15
35	pixelviolin	14
35	_i_ERROR_i_	14
35	DkansK	14
38	Dakar_	13
39	bloodbiter	12
39	MadmanRaven	12
41	EMC_	11
41	Zythose	11
43	DemTechAlpha	10
43	JESS_THE_RERE	10
45	Studyhallsaver	9
46	Steelynan	8
47	orxngejuice	7
47	noam464	7
49	Groovy_MoonBird	6
49	Frozil20	6
49	Snowflowe	6
49	Deathkob	6
49	The_slideV3	6
49	Barlycorn	6
49	CattSoup	6
56	Werbe	5
56	MineMaster0012	5
58	PazinGaming	4
58	Merv__	4
58	eitanzaki	4
58	Guillemet	4
58	Onennon	4
58	_Mythic____	4
58	mobunni	4
65	Napoleonpancake	3
65	AuroraValkyrie	3
65	SteveCraftBlocks	3
65	benediktine1	3
65	Manaateee	3
70	Cowison	2
70	shineh10	2
70	Alteriity	2
70	titanlax	2
70	Cryptacity	2
70	poopybh	2
70	500am	2
70	UMosDiesIrae	2
70	Skylord_Luke	2
70	Maenara	2
70	Darkgon	2
70	Deerfoot	2
70	SpacesickPrism	2
70	jnp_gaming	2
84	Lukeee33	1
84	QuiCreans	1
84	kekhon	1
84	GLLogan2	1
84	Inchef	1
84	Hyp3rion_	1
84	Mattesco	1
84	Kim_Jong_eel	1
84	Fuad_R	1
84	MAns_44	1
84	Spacewardharpy7	1
84	mihimihimihi	1
84	Optiprimus	1
84	07shiny	1
