rank	username	minecraft:mined/minecraft:redstone_wire
1	thescout7	5646
2	HellsSponge	4434
3	eitanzaki	3973
4	Di_infiri	1923
5	Smoke____	1773
6	thewindmillman	1699
7	beeperbeeper5	1654
8	m_be9	1501
9	Jackattack53	1454
10	noam464	1441
11	TechnoNinja64	1422
12	Zythose	1404
13	ProfessorBee	1345
14	Soplight	1107
15	Freak_Genius	1034
16	sp00ky_ghost977	1033
17	Akoot_	1032
18	starbits140	860
19	T045RTY	850
20	kekhon	843
21	MyNameIsJobo	809
22	slkiey	788
23	PigDab	784
24	El_Jalapeno	752
25	Hiryu27	749
26	Arceus1975	718
27	Warlord324	706
28	Onennon	670
29	Snowflowe	616
30	Ezekson	586
31	Spacewardharpy7	572
32	Blu3beast	564
33	Miko_Fullbuster	555
34	YungMaki	522
35	PhantomsGhost_	518
36	EcksD	514
37	EMC_	497
38	Werbe	460
39	Zoeyfortnite	454
40	MightyWertu	446
41	Historical_Sand	439
42	Blackberry1310	431
43	Racengan	411
44	Hyp3rion_	396
45	Rumpletaezer	391
46	cedric72	381
47	Frozil12	379
47	GravitySaint	379
49	Powowowow	375
50	fffMike	364
51	SSytex_X	363
52	Kakolbus	355
53	Inbefour	341
54	ese_wn_po	336
55	MilleGrug	334
56	Awyrlas	331
56	Maenara	331
58	lordpipe	329
59	BumbleBeever	327
60	mimbo1211	321
61	Hermanni__	318
62	WyngGoy	311
63	Fullut	301
64	oxfordschool	295
65	ssleepless	284
65	masskedman	284
67	__tomato	280
67	Enderslayerxz3	280
69	12Magner05	272
69	Kouridragon	272
71	FreddyFart	262
72	Steelynan	261
73	PortlyPete69	259
74	TheSecondLord	257
75	cichy096	251
76	Swexti	250
76	Xclax101	250
78	lcvezra	248
78	EcksDofficial	248
80	pixelviolin	247
81	Bumpy419	244
82	Spenduh	241
83	Mahoose	234
84	anbbang	232
85	jcool7	231
86	joethahobo	224
87	Euclidoris	223
88	eviltunix	219
89	TheShyPig	215
89	Blaiku	215
89	HesDemonPants	215
92	Groovy_MoonBird	213
93	Deathkob	209
94	Kubeusz2010	203
95	ImpavidArcher	194
96	MangoTheFish	187
97	Soap_Bender	179
98	Wowful	177
99	Covalents	176
100	_Bguette_	173
101	Lord_Jord	165
102	soundad	163
103	seramalen	161
103	Eraxa	161
105	Legendosh	158
106	Dusk_95	157
107	SokaOtaku	156
107	Groundler	156
109	fluddd	153
109	Sheldor097	153
111	pintsizedrogue	151
112	Dedalus36	149
113	Hisiste	148
114	q_wq	143
114	domagawha	143
116	RebelAndroid	141
117	__Fanda__	140
118	ApophisNova	137
118	MyNamaSheff	137
120	abramgray	136
121	Skippeh	133
122	jnp_gaming	132
123	diamondgolem35	129
123	Rainaldus	129
123	Quotary	129
126	Ssor69	128
126	_Nuf	128
128	MattieHD	126
128	BlankityMcBlank	126
128	kinas45y5	126
131	mwrty	125
131	egglapras	125
133	Jimi7hits	123
134	awesomeoneme	120
135	FishyBoy3811	119
135	07shiny	119
135	obzii	119
138	bigstankyy	118
139	youhjjhhhjj	117
140	valkam13	112
141	KingMatthew506	111
142	Prodiginus	110
142	xxPipperDipperxx	110
142	alderban107	110
145	CrateOfBoxes	108
145	RobotMinion101	108
147	Inchef	107
148	Sleek_Storm_721	106
149	CarltheCuck	104
149	Dreamdbr14	104
151	SteveCraftBlocks	103
152	Bloo2406	102
153	gcaisawesome	100
154	Gryglu583	96
154	claivin	96
154	Luigipunch989	96
157	Syropatathe	95
158	gabriels543	94
158	AnnieBathory	94
160	KGTV	92
160	erkada	92
162	Jovaphobic	91
162	NotMeanttoChange	91
162	Factoroni	91
165	Xalithia	90
165	SlayerCrypto	90
165	NoChumpChange	90
165	Conrad139	90
169	jacxhadow	89
170	burbankbuilder28	88
171	picardred	87
171	_Dean_123	87
171	loveseeker	87
171	Sky_light_KING	87
175	eiC_	86
175	OfficerAnvil	86
177	heckface	85
177	bloodbiter	85
179	teslawolf38	84
180	Jackster03	82
181	Nach0Bear	81
181	Skylord_Luke	81
183	ROY4LE	80
183	The_slideV3	80
185	MovingFish7	79
186	lillips	78
187	UltraZombie	74
188	Purplehere	73
189	H72l9w	72
189	Doom_melon	72
189	Nicserso	72
192	DepressedCubic	71
192	Typadopoulos	71
194	Paintz	69
195	KG1999	68
196	DanTheBuilderino	67
197	Merv__	65
197	Rebytre	65
197	stellarjay	65
200	ivorico	64
201	SlowMoNinja1994	63
201	Kegradigm	63
201	CharlieButt	63
201	Quincannon	63
205	vandmanden	62
205	Sral7	62
205	Jordan_R	62
208	SaucyDark	61
208	mariominejedi	61
208	Barlycorn	61
211	Nicky19	60
211	Kyrum2169	60
213	SharpDev	59
213	r123moore	59
213	SkateboardR6	59
213	Logain42	59
217	CruncyIsTaken	58
217	JayToe	58
219	Rich_Kat	57
219	Scathra	57
219	tartanboy	57
222	MOSS000	56
222	DarlaMeow	56
222	CalebDHawk	56
225	tuckerdoodle	55
225	PlzNoBM	55
225	smogfrog	55
228	Winston_Ingram	54
229	Motsaro	53
229	NameGenerat0r	53
229	Quaintster	53
232	_Virify_	52
232	The_Thund	52
232	TheDankPlatypus	52
235	bndo	51
236	CaptainAvenger7	50
237	zorin123	49
