rank	username	minecraft:mined/minecraft:light_gray_shulker_box
1	Mahoose	1438
2	Zythose	1029
3	kekhon	837
4	pintsizedrogue	733
5	Hyp3rion_	727
6	joethahobo	654
7	Skylord_Luke	637
8	Awyrlas	593
9	beeperbeeper5	505
10	Enderslayerxz3	387
11	PlasticOtari	386
12	m_be9	382
13	Frozil12	272
14	TheSecondLord	255
15	Blackberry1310	234
16	Megarboh	226
17	YungMaki	221
18	500am	208
19	Historical_Sand	207
20	Eraxa	180
21	Blaiku	179
22	Hermanni__	163
23	HellsSponge	147
24	Hiryu27	139
25	Kakolbus	137
26	r123moore	118
27	thescout7	117
27	pixelviolin	117
29	noam464	108
30	Jiminie	102
31	Chromary	99
32	PhantomsGhost_	96
32	yulgur1	96
32	oxfordschool	96
35	Inchef	91
36	prizm_	90
37	Bumpy419	87
38	Alteriity	85
38	Spenduh	85
40	Eczbek	79
41	Rumpletaezer	76
42	gcaisawesome	67
43	Lord_Jord	66
44	EcksD	65
45	Jackattack53	63
46	Marbz_	62
47	Akoot_	60
47	Nicserso	60
49	SingedBread	55
50	Cryptacity	51
51	Steelynan	49
52	mwrty	47
53	Hisiste	46
54	Groundler	45
55	set67	43
56	lordpipe	41
56	sp00ky_ghost977	41
56	Miko_Fullbuster	41
59	_Karmaa	40
59	SammiWolfGirl	40
61	Xalithia	39
62	Deathkob	38
63	cedric72	34
64	fade_emerge78823	33
64	jnp_gaming	33
66	Hoid_the_Roamer	32
66	Inbefour	32
68	StinkyDiplomat	31
68	ProfessorDiaper	31
70	ImpavidArcher	30
71	NameGenerat0r	29
72	ogoa	28
72	claivin	28
72	Spacewardharpy7	28
72	Njensen7	28
76	h2p_emrld	27
77	_Virify_	25
78	Myszoaz	24
78	TheShyPig	24
78	Ender_Souls	24
78	Sheldor097	24
82	himak1	23
82	Fuad_R	23
82	IdeallyGrey	23
82	Dogcorn69420	23
82	fffMike	23
87	6king6colt6	22
87	AlexxO_o	22
89	rarrq	21
89	Freak_Genius	21
91	Da_Boss_Rani	20
91	Snowflowe	20
91	chipklip	20
91	Dreamdbr14	20
91	EcksDofficial	20
96	Euclidoris	19
96	Covalents	19
98	egglapras	18
98	MangoTheFish	18
98	fluddd	18
98	kinas45y5	18
102	xxPipperDipperxx	17
102	CollinMH06	17
102	MightyWertu	17
105	vandmanden	16
106	0nly_sn1per	15
106	SvenskaAlvar	15
106	ClemenPine	15
106	YungWali	15
106	Segotep999	15
111	Ailmast	14
111	PigDab	14
111	ZeroKraken	14
111	little_dUki	14
115	MSK__	13
115	Xclax101	13
117	gabriels543	12
117	Rebytre	12
117	Nycteus_	12
120	jushykins	11
120	Fullut	11
120	Blu3beast	11
120	TechnoNinja64	11
124	XboxPanda	10
124	fr_ser	10
124	Jimi7hits	10
124	lillips	10
124	MAns_44	10
124	TheEnderman548	10
130	Merv__	9
130	eitanzaki	9
130	Arceus1975	9
130	thewindmillman	9
130	groofles	9
130	audiocracked	9
130	Warlord324	9
137	ProbablyNick	8
137	titanlax	8
137	MinttyFressh	8
137	emrekn	8
137	LeauVox4921	8
137	Werbe	8
137	wezzzi	8
137	iSammael	8
145	teslawolf38	7
145	diamondgolem35	7
145	Di_infiri	7
145	DTwenty	7
145	1442	7
145	Racengan	7
145	WyngGoy	7
145	OG_Songsee	7
145	obzii	7
154	TooManyDuck	6
154	H72l9w	6
154	fred870d	6
154	LeGold	6
154	Smoke____	6
159	nataliecool	5
159	Skippeh	5
161	nitram49b	4
161	k1ngGilgamesh	4
161	fkGrim	4
161	TheTommyGun63	4
161	Xovalt_	4
161	Optiprimus	4
161	Soplight	4
168	bigstankyy	3
168	Zippyzam	3
168	SDMNAEK	3
168	bloodbiter	3
168	SteveCraftBlocks	3
168	mariominejedi	3
168	moonman169	3
168	DanielMmm	3
168	HolyVenom	3
168	Sky_light_KING	3
168	XxCookiequeenxX	3
168	LexMakesHistory	3
168	KingMatthew506	3
181	susbakaimpostor	2
181	jessemgaming	2
181	Octatrack	2
181	Huwulling	2
181	_HoneySlime_	2
181	Nach0Bear	2
181	ROY4LE	2
181	M_Patata	2
181	eli_tschki	2
181	WET_WET_WET	2
181	CheesyToess	2
181	pappaberg	2
181	Bl1tzFX	2
181	EveryonesUncle	2
181	Lutres_Torane	2
181	El_Jalapeno	2
181	sadvavilloso	2
181	Legendosh	2
199	AuroraValkyrie	1
199	EMC_	1
199	Lez_	1
199	MrExplorer	1
199	Kkanot	1
199	Jeteight	1
199	shockdocta	1
199	RobotMinion101	1
199	Onennon	1
199	KliBeast21	1
199	fw3xywashere	1
199	_Bguette_	1
199	KSI	1
199	DarlaMeow	1
199	Jamstroxian	1
199	geekbird	1
199	SvenskaHugo	1
199	AssFullaCum	1
199	UCP_TheKingK	1
199	Kekoo	1
199	Vellu21	1
199	VentiHilton	1
199	SWSN	1
199	Ezekson	1
199	AltnumberF4	1
199	Rexorout	1
199	MeetTheWollo	1
