rank	username	minecraft:mined/minecraft:red_banner
1	Lez_	47
2	Mahoose	38
3	TechnoNinja64	30
4	Soplight	27
5	Merv__	26
6	Da_Boss_Rani	24
6	beeperbeeper5	24
8	Blackberry1310	23
9	Huwulling	15
9	TheSecondLord	15
9	h2p_emrld	15
12	PlasticOtari	13
13	jnp_gaming	12
14	pappaberg	11
15	EveryonesUncle	10
16	_Virify_	9
16	Euclidoris	9
16	Lord_Jord	9
16	xzvu	9
16	Enderxz3	9
21	eitanzaki	7
21	kekhon	7
21	YungMaki	7
21	Steelynan	7
21	FelixPSY375	7
26	Creativebuilder2	6
26	rarrq	6
26	Fuad_R	6
26	Kowcio_	6
30	Jovaphobic	5
30	pintsizedrogue	5
30	nattybears	5
30	thgrocks	5
30	_Bguette_	5
30	MilleGrug	5
36	SaucyDark	4
36	Hpdinosaur	4
36	ApophisNova	4
36	Werbe	4
36	TheShyPig	4
36	IamCL4SSY	4
36	Blaiku	4
36	RealGroot	4
36	MyNamaSheff	4
45	Sleek_Storm_721	3
45	ImpavidArcher	3
45	hm947	3
45	lorpus	3
45	Inchef	3
45	corpsecity	3
45	Snowflowe	3
45	FreakGenius	3
45	lordpipe	3
45	moolerbooler	3
45	__tomato	3
45	SammiWolfGirl	3
45	Legendosh	3
45	Sral7	3
45	xolstoi	3
60	Mr_Byzantine	2
60	MixerDixer	2
60	I_Am_Mushkin	2
60	youhjjhhhjj	2
60	ShedJr_	2
60	SteveCraftBlocks	2
60	Smashic	2
60	mwrty	2
60	thescout7	2
60	2Stout	2
60	Doom_melon	2
60	Norrhede	2
60	Kondzik2008	2
60	F_Uhre	2
60	Mattesco	2
60	binman420	2
60	CheifJumbo	2
60	Eraxa	2
60	ThisUserIsStump	2
60	ConnorDanky_	2
80	Frozil20	1
80	KarlKaek	1
80	Esme_1	1
80	Gundam_Steven	1
80	joethahobo	1
80	Crowman1	1
80	noodlepack	1
80	CyrusIsTired	1
80	Fullut	1
80	Karetoko	1
80	Jackattack53	1
80	0Vyp_	1
80	epiksk8erduck	1
80	CarryLine	1
80	Akoot_	1
80	NomadicRobin_	1
80	duqboy	1
80	Veillax135	1
80	DarlaMeow	1
80	NameGenerat0r	1
80	claivin	1
80	Blu3beast	1
80	fluddd	1
80	cog	1
80	noahlemonman	1
80	SexcMf	1
80	Kyrum2169	1
80	Sheldor097	1
80	The_SlideV5	1
80	Smoke____	1
