rank	username	minecraft:mined/minecraft:blue_ice
1	Eraxa	5976
2	beeperbeeper5	4648
3	EcksD	3607
4	_naturell	2960
5	ROY4LE	2952
6	audiocracked	2502
7	TheSecondLord	2281
8	YungMaki	2144
9	500am	1940
10	m_be9	1427
11	livingdaydreams	1363
12	lizardfightclub	1324
13	Ezekson	1055
14	HellsSponge	1047
15	thewindmillman	997
16	pixelviolin	971
17	Zaridey	849
18	Donutt	846
19	obzii	843
20	pintsizedrogue	719
21	Soplight	524
22	Tolhart	496
23	stahouo	478
24	joethahobo	447
25	Njensen7	438
26	AltnumberF4	409
27	layabout100	393
28	Legendosh	392
29	jnp_gaming	364
30	Di_infiri	363
31	CrateOfBoxes	359
32	TheShyPig	345
33	yulgur1	342
34	mwrty	336
35	noam464	310
36	Groundler	294
37	Fullut	271
38	thescout7	251
39	Mewar	244
40	fred870d	237
41	TechnoNinja64	227
42	TheSeismicDuck	222
43	RodSerlingCringe	213
44	Jorrdi	204
45	Sral7	199
46	Paintz	194
47	Historical_Sand	178
47	Jij0	178
49	I_Am_Mushkin	177
50	Enderslayerxz3	175
51	M_Patata	169
51	MasterNueve	169
53	Frozil12	165
54	TooManyDuck	157
55	Merv__	149
56	Hermanni__	143
57	Skippeh	141
58	EMC_	140
59	Hisiste	137
60	Barlycorn	127
61	Hiryu27	122
62	Awyrlas	112
63	6king6colt6	108
63	Ssor69	108
65	Incinere	101
66	diggydog67	94
67	andy_rex	93
67	Freak_Genius	93
69	Hyp3rion_	91
70	Blackberry1310	82
71	eitanzaki	80
72	Sky_light_KING	78
73	Leyna3	76
74	RosaDoesMC	72
74	Bumpy419	72
76	Kubeusz2010	71
77	Kakolbus	68
78	fkGrim	67
78	jcool7	67
80	Spenduh	66
81	sp00ky_ghost977	64
82	Steelynan	63
83	Onennon	58
83	h2p_emrld	58
85	Chromary	57
86	eiC_	54
87	Maenara	53
88	XeroByMyth	51
89	Deathkob	48
90	claivin	47
91	fluddd	46
92	rarrq	44
92	kekhon	44
94	stellarjay	42
95	Alexanderjac	41
95	emrekn	41
95	MightyWertu	41
95	Blaiku	41
99	MattieHD	40
99	lordpipe	40
101	r123moore	39
102	gcaisawesome	38
102	sxc_	38
102	IdeallyGrey	38
105	Smoke____	35
106	_Virify_	34
106	Euclidoris	34
108	Sleek_Storm_721	33
108	SokaOtaku	33
110	MyNameIsJobo	31
111	valiSW	30
112	KarlKaek	29
113	Hoid_the_Roamer	28
113	Werbe	28
115	AngalexikCZ	27
116	_Nuf	25
