rank	username	minecraft:mined/minecraft:stripped_oak_wood
1	rarrq	859
2	Merv__	495
3	noam464	324
4	Manaateee	311
5	Mahoose	234
6	PlasticOtari	217
7	Yamdalorian	193
8	Kowcio_	158
9	Reneedium	153
10	Werbe	134
11	RebytreGT	119
12	CalebDHawk	96
13	oscminus	71
14	EveryonesUncle	67
15	Zythose	43
16	TheShyPig	40
16	Inbefour	40
18	PigDab	36
19	pintsizedrogue	35
20	PazinGaming	34
21	Jimb0nat0r	29
22	Steelynan	24
22	ConnorDanky_	24
24	MattieHD	16
25	Mr_Byzantine	15
25	Dakar_	15
27	TheSecondLord	13
28	Enderxz3	12
29	OreTheBear	11
29	SpacesickPrism	11
31	EMC_	10
31	Spenduh	10
33	500am	9
33	El_Jalapeno	9
35	xxPipperDipperxx	8
35	Bumpy419	8
35	little_dUki	8
38	lorywithay	7
38	skroobiez	7
38	Felenov	7
38	MightyWertu	7
38	FormulaNewt3627	7
43	M_Patata	6
43	crashomon	6
43	FreakGenius	6
43	Gus2005	6
43	MasterNueve	6
43	Oxygen16	6
49	Huwulling	5
49	excelsionprime	5
49	luseis	5
52	j5ylim	4
52	ImpavidArcher	4
52	joethahobo	4
52	ougstur	4
52	NameGenerat0r	4
52	lordpipe	4
52	pixelviolin	4
52	Ezekson	4
60	Secret_Canary	3
60	emrekn	3
60	Stiar	3
60	Lord_Jord	3
60	handsome_strong	3
60	DanTheBuilderino	3
60	Groundler	3
60	Luigipunch989	3
60	zOnlyKroks	3
69	WinterSepp	2
69	Alteriity	2
69	oreee	2
69	cheerytomato	2
69	Frxnkz	2
69	shadowthemonkey	2
69	ImDisconnected_	2
69	MyNameIsJobo	2
69	Onennon	2
69	Dan_Scha	2
69	IamCL4SSY	2
69	Akoot_	2
69	Soplight	2
69	Kubeusz2010	2
69	00000000-0000-0000-0009-01ff0c3e5e4f	2
84	Louiis123	1
84	NatalieTW	1
84	soundad	1
84	Yatitay	1
84	Crowman1	1
84	m_be9	1
84	12Magner05	1
84	Fullut	1
84	Smashic	1
84	Nach0Bear	1
84	ARandomHedge	1
84	CaptainBadKid	1
84	Jonafrog99	1
84	Skylord_Luke	1
84	AlexxO_o	1
84	Leyna3	1
84	GooseWithin	1
84	master9067	1
84	Spacewardharpy7	1
84	iSammael	1
84	NiveauSubmarine	1
84	SvenskaHugo	1
84	Pumpkin_P_Patch	1
84	Celeste_121	1
84	KamFurnace	1
84	2blox_	1
