rank	username	minecraft:mined/minecraft:infested_cracked_stone_bricks
1	luseis	29
2	HellsSponge	25
3	mihimihimihi	18
4	Iamthejo	11
5	MyNameIsJobo	10
6	AssFullaCum	8
7	pintsizedrogue	7
8	Manaateee	5
9	Crowman1	4
9	Tyrannosplart	4
11	doublemaki	3
11	Ezekson	3
13	diamondgolem35	2
13	thewindmillman	2
13	Elastiq	2
13	iSammael	2
13	plato2066	2
18	Merv__	1
18	ECstardust	1
18	livingdaydreams	1
18	abdomera	1
18	Mahoose	1
18	Lez_	1
18	TheSecondLord	1
18	Di_infiri	1
18	ChrisKyleST3	1
18	FreakGenius	1
18	Racengan	1
18	Eraxa	1
