rank	username	minecraft:mined/minecraft:black_stained_glass_pane
1	burbankbuilder28	739
2	pintsizedrogue	671
3	Eczbek	536
4	Mahoose	453
5	Lez_	441
6	500am	254
7	Arceus1975	245
8	RoskobiOne	208
9	titanlax	194
10	beeperbeeper5	161
11	Eraxa	148
12	kekhon	137
13	SingedBread	130
14	Franco093	129
15	RebelAndroid	123
16	MakeHistory157	120
17	_Karmaa	115
18	YungMaki	112
19	Rich_Kat	110
20	cedric72	99
21	fffMike	96
22	Spacewardharpy7	85
23	BobDeBouwer1337	80
24	Eczbox	79
25	livingdaydreams	76
26	valkam13	74
27	k_ce	73
28	yaboo88	68
29	FreakGenius	64
30	rarrq	61
31	DTwenty	57
32	Ssor69	55
33	ROY4LE	53
33	tsitrawhy	53
35	ImpavidArcher	45
35	Winklepicker279	45
35	sammidk	45
38	I_Am_Mushkin	44
39	Blackberry1310	43
40	lcvezra	42
41	joethahobo	41
41	mihimihimihi	41
43	12Magner05	40
43	noam464	40
43	Di_infiri	40
46	Xalithia	39
46	Snowflowe	39
46	JoCoLi	39
46	Steelynan	39
50	pixelviolin	38
51	Jackattack53	37
51	EveryonesUncle	37
53	Nycteus_	34
53	jnp_gaming	34
55	SaucyDark	33
55	ShedJr_	33
55	thescout7	33
58	TheShyPig	32
59	Merv__	27
59	NameGenerat0r	27
61	6king6colt6	25
61	Jonafrog99	25
61	AnnieBathory	25
61	IvarEXE	25
65	Myszoaz	24
65	Matyyy15	24
65	Groundler	24
65	iTheRaiden	24
69	Akoot_	23
69	MightyWertu	23
71	TechnoNinja64	20
72	Historical_Sand	17
73	Werbe	16
73	KliBeast21	16
73	Syropatathe	16
73	iSammael	16
73	sp00ky_ghost977	16
78	Mr_Teddiursa_K	15
79	AJplaysMC_	14
80	AuroraValkyrie	13
80	ChocolatePepsi	13
80	Enderxz3	13
83	Bazongoman	12
83	lillips	12
83	Ezekson	12
86	_Huge_Male_	11
86	teslawolf38	11
86	Mattesco	11
89	Hyp3rion_	10
89	LexMakesHistory	10
91	olliebollie48	9
91	WolfthePiggy	9
91	audiocracked	9
91	luseis	9
91	mobunni	9
96	Inbefour	8
96	ConnorDanky_	8
98	EcksD	7
99	fr_ser	6
99	ReflexCode	6
99	UCP_TheKingK	6
99	skrongus	6
99	do_the_disco	6
104	TildaAndrea	5
104	UncreativeArtist	5
104	Onennon	5
104	fluddd	5
108	MunkaKris	4
108	SmashingPump	4
108	EMC_	4
108	Frozil20	4
108	diamondgolem35	4
108	TinMaster	4
108	benediktine1	4
108	drunkeeez	4
108	Maenara	4
108	LeonelSalamanca	4
108	NomadicRobin_	4
108	Fuad_R	4
108	AssFullaCum	4
121	Apollo_993	3
121	starBURST_alt	3
121	Fullut	3
121	Motsaro	3
121	PegLegPete93	3
121	Marbz_	3
121	Yaspresents	3
121	Hiryu27	3
121	ApophisNova	3
121	Blaiku	3
121	THEKINGLyric10	3
121	ImWhiteJesus	3
121	anbbang	3
121	cichy096	3
121	MyNamaSheff	3
121	AltnumberF4	3
137	JohnnyFyes	2
137	CLG_Kata	2
137	KarlKaek	2
137	Incinere	2
137	eitanzaki	2
137	agolet	2
137	NinjaKnifeKill	2
137	nbbt	2
137	TheSecondLord	2
137	hxdjxd	2
137	noodlepack	2
137	Smashic	2
137	Kkanot	2
137	Avrelion	2
137	ImDisconnected_	2
137	xambsam	2
137	Solar_Power	2
137	Rebytre	2
137	oscminus	2
137	pastishas	2
137	CJPerson	2
137	Wowful	2
137	StarkAmberwell	2
137	YungWali	2
137	claivin	2
137	MAns_44	2
137	marumochis	2
137	lordpipe	2
137	_Mythic____	2
137	xzvu	2
137	LeEricc	2
137	PortlyPete69	2
137	SpacesickPrism	2
137	Kubeusz2010	2
137	xolstoi	2
172	UnusualTryhard	1
172	Foof13	1
172	q_wq	1
172	ssleepless	1
172	Huwulling	1
172	Kuragari_	1
172	NieToksikpl	1
172	CliffEmAll	1
172	c1ttyk4t	1
172	jushykins	1
172	MattieHD	1
172	Secret_Canary	1
172	SteveCraftBlocks	1
172	Inchef	1
172	xxPipperDipperxx	1
172	theonlymagikarp	1
172	2_young_2_die	1
172	_Paddydoo_	1
172	AuBanana	1
172	gotes	1
172	LeGold	1
172	CaptainAvenger7	1
172	groofles	1
172	aldplaysmc	1
172	fkGrim	1
172	Revolutions	1
172	Deathkob	1
172	_Bguette_	1
172	expanses	1
172	Shogunite	1
172	Avocadogerms	1
172	wwwwinnebagoooo	1
172	SvenskaHugo	1
172	starbits140	1
172	MilleGrug	1
172	Hermanni__	1
172	TheOuterCore	1
172	scarletwarrior1	1
172	Nicserso	1
172	camando92	1
