rank	username	minecraft:mined/minecraft:cyan_stained_glass
1	Ezekson	993
2	Frozil20	784
3	beeperbeeper5	671
4	ImpavidArcher	635
5	EngagedGrub41	569
6	NameGenerat0r	401
7	Fullut	298
8	Mahoose	248
9	Quotary	237
10	thescout7	229
11	PhantomsGhost_	206
12	Smoke____	176
13	Inbefour	162
14	pintsizedrogue	153
15	Hyp3rion_	146
16	Jiminie	136
17	joethahobo	134
18	rarrq	132
19	Jackattack53	114
20	Enderslayerxz3	110
21	DC_XII	99
22	TheSecondLord	80
23	Iagoku	56
23	fw3xywashere	56
25	r123moore	52
26	Zythose	46
27	TechnoNinja64	41
28	fluddd	38
29	ROY4LE	30
30	lordpipe	28
31	Ssor69	24
32	Di_infiri	22
32	Eraxa	22
34	Rumpletaezer	20
35	kekhon	16
36	6king6colt6	12
36	noam464	12
36	KingMatthew506	12
39	NotMeanttoChange	11
39	Werbe	11
41	AuroraValkyrie	10
41	eitanzaki	10
41	Xalithia	10
41	Chrisdeadeye	10
41	Groundler	10
46	CoffeeNoir	9
46	heckface	9
46	The_slideV3	9
46	Legendosh	9
50	Sky_light_KING	8
50	WyngGoy	8
50	stahouo	8
53	mwrty	6
53	Skylord_Luke	6
53	TheShyPig	6
53	jnp_gaming	6
57	Arceus1975	5
58	abramgray	4
58	Merv__	4
58	Jiminbub	4
61	xxPipperDipperxx	3
61	EcksD	3
63	H72l9w	2
63	Blackberry1310	2
63	m_be9	2
63	Truckoss	2
63	Akoot_	2
63	carpet4_69	2
63	Blaiku	2
63	jcool7	2
63	Hermanni__	2
63	oxfordschool	2
63	FelixPSY375	2
74	ZoeyBrookesPCA2k	1
74	Hyugo	1
74	MrKrabOnCoke	1
74	mimbo1211	1
74	Marbz_	1
74	S4tox	1
74	RobotMinion101	1
74	Mattesco	1
74	binman420	1
74	masskedman	1
74	claivin	1
74	Xclax101	1
74	Racengan	1
74	Spacewardharpy7	1
74	Kowcio_	1
74	__tomato	1
74	Dr0xzy	1
74	Miko_Fullbuster	1
74	kinas45y5	1
74	Earlesstrain4	1
