rank	username	minecraft:mined/minecraft:podzol
1	thewindmillman	21610
2	MyNameIsJobo	7467
3	500am	5700
4	mihimihimihi	4768
5	TheShyPig	4196
6	Enderxz3	4093
7	Jovaphobic	3945
8	surfinggiraffejp	3759
9	lcvezra	3542
10	ApophisNova	3393
10	MyNamaSheff	3393
12	IamCL4SSY	2681
13	xxPipperDipperxx	2460
14	FreakGenius	2437
15	rarrq	2272
16	EcksD	2231
17	pintsizedrogue	2115
18	joethahobo	1880
19	SaintJosie	1866
20	Kowcio_	1680
21	RoskobiOne	1652
22	__Fanda__	1450
22	lordpipe	1450
24	Ezekson	1233
25	Meatlaugh	1161
26	beeperbeeper5	1096
27	Onennon	1052
28	TooManyDuck	1039
29	Smoke____	1011
30	OfficerAnvil	1000
31	Eraxa	988
32	TheMilkerOfCats	947
33	Chromary	923
34	EveryonesUncle	905
35	Fizznut909	811
36	Blackberry1310	786
37	Akoot_	756
38	Cowison	746
39	Mr_Byzantine	705
40	El_Jalapeno	703
41	chrolus	694
42	Merv__	688
43	PlasticOtari	687
44	RoofTyler	680
45	luseis	674
46	Werbe	595
47	Burge_r	544
48	Hoid_the_Roamer	537
49	thebaddruid	533
50	Marbz_	523
51	diggydog67	496
52	MovingFish7	493
53	Tommhh	490
54	EMC_	472
55	Ssor69	465
56	Prodiginus	459
57	Touched_Bread	449
58	Mahoose	444
59	Mr_Sun15	443
60	andy_rex	441
61	Frozil20	425
61	Luigipunch989	425
63	Soplight	407
64	HesDemonPants	400
65	obzii	394
66	Di_infiri	392
67	Steelynan	369
68	Quotary	365
69	NameGenerat0r	356
70	WyngGoy	352
71	H0UNDFRMH3LL	350
72	Cryptacity	339
73	NebulousBadger	337
74	DarlaMeow	336
75	EngagedGrub41	332
76	stellarjay	327
77	_Bguette_	325
78	rotten_mango	301
79	Zythose	300
80	BlancoFlaco	292
81	m_be9	289
82	pappaberg	285
83	Windo_licker	282
83	burbankbuilder28	282
85	SpicyMeatballs	280
86	Elastiq	279
87	SvenskaHugo	275
88	Legendosh	268
89	Fullut	265
90	CaptainDeadBread	260
91	jacxhadow	254
92	SpacesickPrism	252
93	livingdaydreams	248
94	ItsMrRamen	246
95	Bumpy419	239
96	Comma__	233
96	SammiWolfGirl	233
98	Dusk_95	230
99	Airem_Core	229
100	TheBiggestFeller	226
101	KarlKaek	224
102	nattybears	220
103	Xclax101	216
104	ThiccExotic	213
105	fw3xywashere	203
105	Biites	203
107	NatalieTW	194
108	kekhon	192
109	Hyp3rion_	191
110	John_Acacia	190
111	SaltineDream	189
112	_Karmaa	181
113	HellsSponge	174
114	Rumpletaezer	170
114	Skippeh	170
116	Fuhrer_Teemo	169
117	wiqor	160
118	Historical_Sand	157
119	XxCookiequeenxX	154
120	wezzzi	150
121	Kakolbus	148
122	benediktine1	139
123	r123moore	133
123	starbits140	133
125	Arceus1975	130
126	ProfessorBee	129
127	ExtraDumb	128
128	Jackattack53	127
129	fkGrim	125
130	Alteriity	122
130	LordSpeed37	122
130	Mythic1130	122
133	slkiey	117
134	Lutres_Torane	113
134	laron58	113
136	set67	112
136	MonitorLizards	112
138	privatemeekly	111
139	SquadMonster	110
139	Soap_Bender	110
141	Paint	105
142	ooga47	103
142	Serval2000	103
144	xolstoi	99
145	ewsophie	98
145	JayToe	98
147	RobotMinion101	96
148	Stiar	95
148	c0la_c0ca	95
148	coobert42	95
151	CoffeeNoir	94
152	Bandito_Roamer	93
152	titanlax	93
154	yatsuta	89
155	RealGroot	88
156	hanaryheatwave	87
157	groofles	85
158	Smaldo	84
159	SyntheticSurgeon	83
159	Kijiki	83
161	q_wq	81
161	Mistruth	81
163	Deodorante	77
163	CornOnTheCobalt	77
165	gilesmcriles	75
165	MAns_44	75
167	noam464	72
168	PigDab	71
169	SaucyDark	69
169	thescout7	69
171	Hpdinosaur	68
171	Pelbo	68
171	Shiirazu	68
174	Roikdean	66
175	Groovy_MoonBird	64
175	Tolhart	64
175	RoseLilyTV	64
175	Maenara	64
175	Optiprimus	64
180	claivin	63
181	TechnoNinja64	62
182	nocturne78	61
183	potato292	60
184	Inchef	58
184	Wowful	58
184	avalan64	58
184	07shiny	58
188	AuroraValkyrie	57
188	Skylord_Luke	57
190	F_Uhre	56
191	Tiktola01	54
191	Shogunite	54
193	CalebDHawk	53
194	Mattesco	52
195	FlashMigma	50
196	PegLegPete93	47
197	impossibleteapot	46
197	Deathkob	46
199	himak1	44
200	msJabberwock	42
201	JohnnyMines	41
201	nut_e	41
203	ImpavidArcher	39
204	ShedJr_	38
205	Koffeeinz	37
206	MyNameIsDakar	34
206	Racengan	34
208	DinoDoctor_	33
208	Lez_	33
208	_Dean_123	33
211	Natty	31
211	mennorovers	31
213	YungMaki	30
214	CaptainSteve345	29
214	MandenR1	29
216	gcaisawesome	25
217	Ryker	24
217	GoofyBread	24
219	Typadopoulos	22
220	pixelviolin	21
221	bladeefan2009	20
222	PhantomsGhost_	18
222	Will_Bee	18
222	The_SlideV5	18
225	FazeObama69	17
225	ayamefag	17
227	TheEnderMan548	16
227	youarefrench_	16
229	ROY4LE	15
229	Juk3b0x	15
229	Spacewardharpy7	15
232	Harotio	14
232	Yellowpowr	14
232	Crowman1	14
235	lizardfightclub	13
235	SkateboardR6	13
235	Kura2218	13
238	KomputerDude	12
238	redikul	12
238	Groundler	12
241	T045RTY	11
241	ibarker21	11
243	freya__b	10
243	ConnorDanky_	10
245	Kynigito	9
245	Barlycorn	9
245	Ze_BaronKrigler	9
245	LordBlaze11	9
249	SmashingPump	8
249	w3nd3lbo3	8
249	Malorn_Aetherius	8
249	bloodbiter	8
249	ARandomHedge	8
249	SonicRainBow_	8
249	Sheldor097	8
249	ZoomieZoomie	8
249	UrbanPlanningEx	8
258	_stets	7
258	TheSecondLord	7
258	Guillemet	7
258	breadbowlgamer	7
258	Lord_Jord	7
263	Rorrofighter	6
263	12Magner05	6
263	SuperPooch06	6
263	War_Time_Leader	6
267	MattieHD	5
267	gabriels543	5
267	jewbacaman	5
267	NomadicRobin_	5
267	BartekB19	5
267	jcool7	5
267	Sral7	5
274	Lukeee33	4
274	Base_Tempest	4
274	PhantomBionic	4
274	Da_Boss_Rani	4
274	emrekn	4
274	noful	4
274	John6970	4
274	Nyxiom_	4
274	BronkerBrum	4
274	AlexxO_o	4
274	LexMakesHistory	4
274	The_slideV3	4
274	SexcMf	4
274	KingMatthew506	4
274	brianwaynemay	4
274	Jimb0nat0r	4
290	Sheepwarder	3
290	Crowvens	3
290	_Huge_Male_	3
290	Vollkommenheit	3
290	6king6colt6	3
290	Esme_1	3
290	_Razaria	3
290	eitanzaki	3
290	Euclidoris	3
290	BlueZabu	3
290	vampgey	3
