rank	username	minecraft:mined/minecraft:soul_torch
1	Enderslayerxz3	567
2	noam464	59
3	ShedJr_	57
4	MrExplorer	46
5	Historical_Sand	43
6	Blaiku	42
7	Skylord_Luke	37
7	kinas45y5	37
9	Akoot_	32
10	Freak_Genius	29
11	cichy096	28
12	kekhon	26
13	bloodbiter	23
14	SammiWolfGirl	22
15	Werbe	16
15	FishyBoy3811	16
15	AssEatrAndLicker	16
18	oxfordschool	14
18	Legendosh	14
20	teslawolf38	13
20	CliffEmAll	13
20	Billious	13
23	AuroraValkyrie	12
23	Hermanni__	12
25	_AceOfSpace_	11
25	beeperbeeper5	11
25	Blackberry1310	11
28	pipejob	8
29	EcksDofficial	7
30	pintsizedrogue	6
30	r123moore	6
32	seramalen	5
32	Kowcio_	5
32	Kubeusz2010	5
35	_Virify_	4
35	finbob5	4
35	CarltheCuck	4
35	thewindmillman	4
35	Shogunite	4
40	eitanzaki	3
40	Dowitos	3
40	diggydog67	3
43	Groovy_MoonBird	2
43	Mahoose	2
43	rarrq	2
43	mwrty	2
43	Yuvl	2
43	0nly_sn1per	2
43	Chromary	2
43	NomadicRobin_	2
43	gustarbite	2
43	Eraxa	2
43	Ezekson	2
54	MixerDixer	1
54	homeofmew	1
54	KarlKaek	1
54	RebelAndroid	1
54	joethahobo	1
54	EliteTrashPanda_	1
54	orlana	1
54	titanlax	1
54	Fullut	1
54	paranoid_plant	1
54	Awyrlas	1
54	LordDiabolos	1
54	_Boipl_	1
54	BRRRN179	1
54	masskedman	1
54	Gryglu583	1
54	chipklip	1
54	Cyntrical	1
54	sadvavilloso	1
54	skonos	1
54	ChazzaHodge13	1
54	KingMatthew506	1
54	Smoke____	1
