rank	username	minecraft:mined/minecraft:crafting_table
1	royal_2	1695
2	Frozil20	1488
3	ROY4LE	1245
4	pintsizedrogue	1006
5	noam464	962
6	k_ce	823
7	Yamdalorian	794
8	beeperbeeper5	648
9	Lez_	598
10	FreakGenius	588
11	Mahoose	546
12	500am	484
13	Blackberry1310	440
14	skitzxo	438
15	rarrq	422
16	Cocoamallows	365
16	Soplight	365
18	kekhon	362
19	Hyp3rion_	355
19	Werbe	355
21	HellsSponge	353
22	TheShyPig	345
23	Kowcio_	344
23	MilleGrug	344
25	Eraxa	335
26	EMC_	308
26	joethahobo	308
28	CoffeeNoir	293
28	Skippeh	293
30	MattieHD	292
30	PlasticOtari	292
32	Legendosh	287
33	hermmm_	275
34	livingdaydreams	274
35	m_be9	271
36	burbankbuilder28	267
37	thewindmillman	256
37	luseis	256
39	miramyu	254
40	thescout7	253
41	Arceus1975	252
42	Mr_Byzantine	248
42	Alteriity	248
42	Fullut	248
45	Di_infiri	234
46	pixelviolin	228
47	Merv__	223
48	EveryonesUncle	221
49	12Magner05	216
50	Onennon	214
51	mwrty	207
51	Jackattack53	207
53	lordpipe	205
54	RadarHz	204
55	eitanzaki	201
56	Mattesco	200
56	El_Jalapeno	200
58	Groundler	194
59	Steelynan	183
60	Enderxz3	180
61	Snowflowe	174
62	TheSecondLord	168
63	Spacewardharpy7	165
64	Avocadogerms	163
65	SvenskaHugo	162
66	PazinGaming	156
66	ImpavidArcher	156
68	ApophisNova	155
68	Deathkob	155
68	Ezekson	155
68	MyNamaSheff	155
72	Blaiku	154
73	RatatJuice	153
74	ConnorDanky_	150
75	Racengan	148
76	xzvu	142
77	oscminus	135
78	TheBananaKat	133
79	MightyWertu	130
80	Xalithia	128
80	vandmanden	128
82	Skylord_Luke	127
82	Xclax101	127
84	Rumpletaezer	126
85	Gzrdy	123
85	_Mythic____	123
87	MAns_44	122
88	Kakolbus	121
88	PortlyPete69	121
90	YungMaki	120
90	EcksD	120
90	jnp_gaming	120
93	pretty_pink_reno	118
94	Krowuss	115
95	U_Mos_	111
95	ogoa	111
97	Hisiste	109
98	RebytreGT	105
99	MyNameIsJobo	103
100	diamondgolem35	102
100	Segotep999	102
100	Jimb0nat0r	102
103	PigDab	101
104	KarlKaek	100
104	Winklepicker279	100
106	Lorcout	98
106	Akoot_	98
106	TechnoNinja64	98
109	tuckerdoodle	97
109	Smiguli_	97
111	SpacesickPrism	96
112	fluddd	95
113	Niklas20114552	94
114	Groovy_MoonBird	93
114	Gregward_Smith	93
114	xxPipperDipperxx	93
114	Marbz_	93
118	epiksk8erduck	91
119	Paint	90
119	Eczbek	90
121	yulgur1	88
