rank	username	minecraft:mined/minecraft:yellow_stained_glass_pane
1	pintsizedrogue	236
2	Groundler	128
3	joethahobo	116
4	Kubelz	45
5	TheShyPig	40
6	Spacewardharpy7	24
7	pappaberg	20
8	redikul	16
9	PeteO1995	15
10	Merv__	14
10	beeperbeeper5	14
12	Freak_Genius	13
12	lcvezra	13
14	EMC_	12
15	Onennon	11
16	emrekn	10
16	Sky_light_KING	10
16	MissCeleste7	10
16	jnp_gaming	10
20	TheSecondLord	9
20	WarMachina	9
22	fred870d	8
22	BlankityMcBlank	8
24	eitanzaki	7
24	Snowflowe	7
24	ApophisNova	7
24	MyNamaSheff	7
24	PlasticOtari	7
29	Groovy_MoonBird	6
29	noam464	6
29	Rumpletaezer	6
29	Chuvacevedo	6
29	YahooScreen9000	6
34	set67	5
34	UncreativeArtist	5
34	Dan_Scha	5
34	NomadicRobin_	5
34	TechnoNinja64	5
39	SaturnnnX	4
39	LordSpeed37	4
39	Spenduh	4
42	gabriels543	3
42	Blaiku	3
42	SSytex_X	3
42	Legendosh	3
46	Dedalus36	2
46	Fullut	2
46	thescout7	2
46	ROY4LE	2
46	BlueZabu	2
46	masskedman	2
46	fffMike	2
46	HesDemonPants	2
54	Apex_Lobster	1
54	Incinere	1
54	Arteriana	1
54	rarrq	1
54	titanlax	1
54	kekhon	1
54	500am	1
54	Ristebraaten	1
54	Arceus1975	1
54	RobotMinion101	1
54	lizardfightclub	1
54	chipklip	1
54	YungMaki	1
54	sebastiensaborio	1
54	blackmage426	1
54	OnlyOfficial	1
