rank	username	minecraft:mined/minecraft:stone_bricks
1	HellsSponge	81433
2	burbankbuilder28	23211
3	Ezekson	20543
4	Smoke____	19408
5	beeperbeeper5	19232
6	EveryonesUncle	18140
7	Skylord_Luke	15330
8	TheShyPig	13665
9	Frozil12	11988
10	_Virify_	9730
11	PigDab	9651
12	Jackattack53	9514
13	pintsizedrogue	8973
14	WyngGoy	8286
15	Freak_Genius	7208
16	obzii	7114
17	Arceus1975	6988
18	MyNameIsJobo	6812
19	ApophisNova	6572
19	MyNamaSheff	6572
21	Kakolbus	6552
22	YungMaki	6168
23	EcksDofficial	6140
24	500am	5811
25	Chromary	5518
26	joethahobo	5516
27	Euclidoris	5462
28	thescout7	5177
29	Skippeh	5070
30	TheSecondLord	4862
31	Di_infiri	4683
32	Incinere	4574
33	_Nuf	4494
34	TheSeismicDuck	4395
35	NoChumpChange	4156
36	Onennon	4136
37	_Dean_123	3937
38	Xalithia	3895
39	Legendosh	3814
40	H72l9w	3744
40	chipklip	3744
42	Zoeyfortnite	3735
43	Akoot_	3734
44	Rumpletaezer	3674
45	Xclax101	3665
46	Zythose	3627
47	awesomeoneme	3608
48	kekhon	3582
49	Werbe	3556
50	Cowison	3511
51	_Karmaa	3477
52	Bumpy419	3437
53	rarrq	3349
54	Mahoose	3331
55	Warlord324	3174
56	Racengan	3146
57	jcool7	3124
58	Eraxa	3100
59	Inchef	3079
60	Jovaphobic	2987
61	Blu3beast	2935
62	PlasticOtari	2932
63	eitanzaki	2931
64	Lord_Jord	2917
65	Groundler	2882
66	m_be9	2874
67	Maenara	2823
68	fffMike	2754
69	noam464	2748
70	ROY4LE	2555
71	ImpavidArcher	2490
72	ShedJr_	2444
73	Dedalus36	2356
74	MissCeleste7	2328
75	selectrix	2314
76	impossibleteapot	2256
77	El_Jalapeno	2181
78	Snowflowe	2171
79	Historical_Sand	2165
80	Quaintster	2077
81	loveseeker	1998
82	hcb238	1991
83	CrateOfBoxes	1982
84	fr0stss	1953
85	Megarboh	1928
86	Hiryu27	1923
87	RobotMinion101	1849
88	AssFullaCum	1848
89	Fullut	1765
90	Zaridey	1763
91	TheDankPlatypus	1761
92	gcaisawesome	1691
93	Toiton	1671
94	SammiWolfGirl	1648
95	The_slideV3	1642
96	MightyWertu	1630
97	Ze_BaronKrigler	1621
98	Shogunite	1610
99	lcvezra	1598
100	_stets	1583
101	mwrty	1566
102	benediktine1	1555
103	h2p_emrld	1526
104	Quotary	1498
105	Blackberry1310	1475
