rank	username	minecraft:mined/minecraft:dead_fire_coral_fan
1	joethahobo	58
2	Di_infiri	41
3	noam464	35
4	Mahoose	26
5	HellsSponge	25
6	fffMike	21
7	Jackattack53	15
7	Blaiku	15
9	Blackberry1310	10
10	Lez_	8
11	Apollo_993	7
11	Kowcio_	7
13	pintsizedrogue	5
14	TheSecondLord	4
14	RobotMinion101	4
16	luseis	3
16	AstreaTSS	3
16	Factoroni	3
16	Soplight	3
16	PortlyPete69	3
21	domagawha	2
21	groofles	2
21	fkGrim	2
21	Spacewardharpy7	2
21	pixelviolin	2
26	beeperbeeper5	1
26	rarrq	1
26	titanlax	1
26	Winklepicker279	1
26	SuperPooch06	1
26	thewindmillman	1
26	Rebytre	1
26	Onennon	1
26	Quaintster	1
26	Druid95	1
