rank	username	minecraft:mined/minecraft:dead_fire_coral_fan
1	joethahobo	58
2	Di_infiri	41
3	noam464	35
4	Mahoose	26
5	HellsSponge	25
6	fffMike	21
7	Jackattack53	15
7	Blaiku	15
9	Blackberry1310	10
10	Lez_	8
11	Apollo_993	7
11	Kowcio_	7
13	pintsizedrogue	5
14	TheSecondLord	4
14	RobotMinion101	4
16	luseis	3
16	Factoroni	3
16	Soplight	3
16	PortlyPete69	3
20	domagawha	2
20	groofles	2
20	fkGrim	2
20	Spacewardharpy7	2
24	beeperbeeper5	1
24	rarrq	1
24	titanlax	1
24	Winklepicker279	1
24	SuperPooch06	1
24	thewindmillman	1
24	Rebytre	1
24	Onennon	1
24	Quaintster	1
24	Druid95	1
