rank	username	minecraft:mined/minecraft:blue_glazed_terracotta
1	thescout7	887
2	Di_infiri	315
3	Hermanni__	79
4	Merv__	62
5	KarlKaek	42
6	Bandito_Roamer	32
7	Lez_	31
7	Steelynan	31
9	QuiCreans	24
10	YungMaki	22
11	kekhon	21
12	Blu3beast	19
13	PaperCanvas	16
13	Akoot_	16
13	jnp_gaming	16
16	Inbefour	15
17	lordpipe	12
18	Barlycorn	11
19	Prismyst	10
19	noam464	10
19	Soplight	10
22	PlasticOtari	9
23	excelsionprime	8
23	EcksD	8
25	titanlax	7
25	Bumpy419	7
27	eitanzaki	6
27	2Stout	6
27	MakeHistory157	6
27	_Mythic____	6
31	Kubelz	5
31	Kim_Jong_eel	5
31	Elastiq	5
31	StinkyDiplomat	5
31	ConnorDanky_	5
36	_Virify_	4
36	Inchef	4
38	mobunni	3
39	GLLogan2	2
39	Hiryu27	2
39	Kowcio_	2
42	r123moore	1
42	Blaiku	1
42	Jimb0nat0r	1
42	AdmiralSmoke	1
