rank	username	minecraft:mined/minecraft:light_gray_terracotta
1	Barlycorn	31752
2	MilleGrug	23349
3	Spacewardharpy7	17657
4	TheShyPig	7222
5	Skylord_Luke	5766
6	joethahobo	4969
7	Inbefour	4631
8	Snowflowe	3995
9	Karbl	3901
10	RebelAndroid	3882
11	EcksD	3823
12	Rumpletaezer	3252
13	EveryonesUncle	2960
14	lordpipe	2803
15	DarlaMeow	2775
16	Hoid_the_Roamer	2698
17	RatatJuice	2168
18	oxfordschool	2007
19	kekhon	1942
20	The_SlideV5	1914
21	Steelynan	1713
22	Soplight	1425
23	Steven1282598	1397
24	Dusk_95	1295
25	Mahoose	1194
26	The_slideV3	1179
27	YungMaki	1037
28	PlasticOtari	968
29	Freak_Genius	904
30	CoffeeNoir	865
31	EMC_	855
32	_Karmaa	839
33	Werbe	832
34	mwrty	743
35	gcaisawesome	737
36	mariominejedi	697
37	SellyZ	694
38	KingMatthew506	679
39	diggydog67	668
40	Hyp3rion_	663
41	audiocracked	642
42	Hermanni__	628
43	QueenShuvi	606
44	UrbanPlanner1978	601
45	titanlax	537
46	Di_infiri	532
47	Sral7	520
48	groofles	507
49	Onennon	472
50	EcksDofficial	454
51	fanofbands101	450
52	RodSerlingCringe	418
53	AuroraValkyrie	417
54	pintsizedrogue	366
55	TechnoNinja64	353
56	Akoot_	348
57	thescout7	331
58	rarrq	328
58	_Bguette_	328
60	500am	327
61	Kamflame10	322
62	gabriels543	321
63	Kakolbus	296
64	TooManyDuck	293
65	iHuBlack	274
66	RoskobiOne	251
67	djancak	243
68	set67	238
69	MAns_44	226
70	SpouHn	221
71	Swexti	217
72	Maenara	211
73	xxPipperDipperxx	205
74	PhantomsGhost_	203
75	NomadicRobin_	202
76	Enderslayerxz3	186
77	Nycteus_	184
78	Parcc	176
79	TheSecondLord	173
80	MunkaKris	154
80	ProfessorBee	154
82	Marbz_	146
83	El_Jalapeno	142
84	livingdaydreams	135
85	Fullut	132
86	NATE_the_HALO	128
87	_8man	119
88	cog	116
89	PegLegPete93	108
90	noam464	104
91	RobotMinion101	102
92	fkGrim	101
93	m_be9	93
94	Powowowow	86
95	Nyxiom_	84
96	MeetTheWollo	77
97	Kowcio_	74
98	eitanzaki	71
98	theonlymagikarp	71
100	Juk3b0x	67
101	Nicserso	64
102	MangoTheFish	60
102	Eczbek	60
104	Smoke____	58
105	SkateboardR6	56
106	Lord_Jord	55
107	Hiryu27	54
108	Blu3beast	53
109	UncleDanDan	50
110	Moofyman	49
111	SDMNAEK	47
112	Chrisdeadeye	44
113	Ozixar	43
113	thewindmillman	43
115	beeperbeeper5	40
115	the_russell1611	40
117	2Stout	39
117	_naturell	39
119	Awyrlas	38
120	Omar_Alone	37
121	Noah_Bez	35
122	Mookle96	33
123	Myszoaz	32
124	eviltunix	30
124	Xalithia	30
126	ROY4LE	29
126	Blaiku	29
128	DepressedCubic	27
129	_Virify_	25
130	Thaumatarge	24
131	lillips	23
132	Zaridey	22
133	ImDisconnected_	20
134	Rebytre	19
134	Legendosh	19
136	seanitoo	17
136	PortlyPete69	17
138	Frozil12	16
139	Merv__	15
140	chipklip	13
140	SammiWolfGirl	13
140	Ezekson	13
140	YoshikageBites	13
144	ImpavidArcher	12
145	ShedJr_	11
145	LotusProject	11
145	MightyWertu	11
145	Lowjinx	11
149	Wooptey	9
149	301851	9
149	CarltheCuck	9
149	AnnieBathory	9
149	sxc_	9
154	loveseeker	8
155	Optiprimus	7
155	Pickel_Lord	7
155	Deliriohm	7
158	Jovaphobic	6
158	fade_emerge78823	6
158	himak1	6
158	wfk7	6
158	MyNameIsDakar	6
158	WinterYoke	6
164	Whiterooster001	5
164	SuperPooch06	5
164	fxiryglitch	5
164	duqboy	5
164	fluddd	5
169	Mr_Byzantine	4
169	tuckerdoodle	4
169	ItsDeltaMC	4
169	SpaceTurtleOX	4
173	Euclidoris	3
173	HyperCave	3
173	natajimi	3
173	Deathkob	3
173	Quincannon	3
173	ElKaySVK	3
179	bigstankyy	2
179	Sabby65	2
179	MyNameIsJobo	2
179	_Boipl_	2
179	ApophisNova	2
179	claivin	2
179	MovingFish7	2
179	Nagasaki_Riku	2
179	pixelviolin	2
179	MyNamaSheff	2
179	AltnumberF4	2
190	MinttyFressh	1
190	zMarciano	1
190	XboxPanda	1
190	calajimi	1
190	PigDab	1
190	KG1999	1
190	SvenskaHugo	1
190	BreadBacon	1
190	remmisrat	1
