rank	username	minecraft:mined/minecraft:warped_wall_sign
1	Hyp3rion_	665
2	Di_infiri	119
3	noam464	98
4	gcaisawesome	78
5	eitanzaki	71
6	mihimihimihi	40
7	12Magner05	38
8	thewindmillman	34
9	teslawolf38	32
10	beeperbeeper5	30
10	Marbz_	30
12	Mahoose	29
13	EMC_	26
14	Jackattack53	23
15	r123moore	21
16	Merv__	17
16	SammiWolfGirl	17
18	PlasticOtari	15
19	Fullut	13
20	lordpipe	12
21	EcksD	10
22	kekhon	9
23	CliffEmAll	7
23	fluddd	7
23	Enderxz3	7
26	TheSecondLord	6
26	set67	6
26	PigDab	6
26	djancak	6
26	cichy096	6
31	Fuad_R	5
32	ChosenBruh	4
32	lorpus	4
32	Lutres_Torane	4
32	RealGroot	4
32	Soplight	4
32	Smoke____	4
38	pintsizedrogue	3
38	xfemboyx	3
38	Wooptey	3
38	Whiterooster001	3
38	smokindix	3
38	Xalithia	3
38	xxPipperDipperxx	3
38	Mythic1130	3
38	Kowcio_	3
38	ZeroKraken	3
48	Spacewardharpy7	2
48	Optiprimus	2
50	BlancoFlaco	1
50	Alteriity	1
50	Huwulling	1
50	rarrq	1
50	Blackberry1310	1
50	MattieHD	1
50	_Dean_123	1
50	500am	1
50	_Kadian_	1
50	SuperPooch06	1
50	AmbroseForLife	1
50	iElijah	1
50	Reytoad	1
50	FishyBoy3811	1
50	NomadicRobin_	1
50	FreakGenius	1
50	Blaiku	1
50	Decaying_Lotus	1
50	IdeallyGrey	1
50	YungMaki	1
50	UCP_TheKingK	1
50	Ezekson	1
50	Earlesstrain4	1
50	00000000-0000-0000-0009-01ff0c3e5e4f	1
