rank	username	minecraft:mined/minecraft:white_concrete
1	Zythose	110437
2	Lez_	53070
3	skitzxo	36713
4	Spacewardharpy7	27055
5	eitanzaki	25581
6	Swexti	24675
7	noam464	21150
8	Franco093	18322
9	beeperbeeper5	17174
10	Di_infiri	16419
11	xxPipperDipperxx	15925
12	Jackattack53	14399
13	Hyp3rion_	13663
14	Ezekson	12801
15	Saucepeh	11882
16	Blaiku	11772
17	YungMaki	10816
18	NameGenerat0r	10736
19	Inchef	10612
20	_Karmaa	9217
21	SnowyAvi	9167
22	Mahoose	8860
23	royal_2	8817
24	ROY4LE	8791
25	crashomon	8354
26	Hoid_the_Roamer	8224
27	kekhon	7813
28	catandmoose	7608
29	HellsSponge	7124
30	Groundler	7032
31	titanlax	6894
32	lordpipe	6863
33	__Fanda__	6780
34	Xalithia	6511
35	Iamthejo	6450
36	thescout7	6164
37	__tomato	5731
38	pretty_pink_reno	5324
39	Blazebit	5272
40	Ssor69	5211
41	TheSecondLord	5187
42	myaccountwasgone	4900
43	QuiCreans	4822
44	Hyugo	4791
45	Merv__	4629
46	I_Am_Mushkin	4434
47	Hiryu27	4223
48	Enderxz3	4200
49	Yamdalorian	3734
50	Snowflowe	3657
51	Onennon	3564
52	LeauVox4921	3484
53	Mewar	3426
54	Smashic	3287
55	diamondgolem35	3252
56	Kyrum2169	3162
57	jushykins	3107
58	ImpavidArcher	3002
59	Frozil20	2841
60	_Mythic____	2797
61	El_Jalapeno	2762
62	EcksD	2651
63	Krowuss	2613
64	Quotary	2549
65	CoffeeNoir	2226
66	TheShyPig	2224
67	teslawolf38	2210
68	Rich_Kat	2126
69	himak1	1998
70	StinkyDiplomat	1833
71	emreknugrlu	1824
72	SvenskaHugo	1776
73	Kowcio_	1771
74	annebolyn	1751
75	Da_Boss_Rani	1727
76	Mikael_Kuningas	1717
77	PazinGaming	1684
78	audiocracked	1658
79	ProfessorBee	1639
80	LexMakesHistory	1610
81	PigDab	1568
82	oreee	1529
83	_Huge_Male_	1528
84	joethahobo	1514
85	BeardBois	1482
86	emrekn	1479
87	Segotep999	1443
88	RobotMinion101	1392
89	Mr_Byzantine	1356
90	FreakGenius	1351
91	xzvu	1349
92	Syropatathe	1332
93	KarlKaek	1328
94	TheRealAndrin	1318
95	SammiWolfGirl	1272
96	sp00ky_ghost977	1238
97	Iagoku	1213
98	Jimb0nat0r	1200
99	MakeHistory157	1135
100	SkateboardR6	1134
101	Blu3beast	1126
102	ConnorDanky_	1120
103	stellarjay	1098
104	EveryonesUncle	1062
105	Manaateee	1051
105	Zoeyfortnite	1051
107	QuesoCrusaderIII	999
108	MousePlays	967
109	1442	955
110	rarrq	949
111	SpacesickPrism	926
112	r123moore	883
113	IamCL4SSY	880
114	ApophisNova	861
114	MyNamaSheff	861
116	MunkaKris	829
117	Paintz	824
118	Arceus1975	791
119	NoChumpChange	783
120	Tyrannosplart	753
121	Alteriity	732
122	ssleepless	711
123	theonlymagikarp	710
124	m_be9	707
125	pintsizedrogue	698
126	thewindmillman	655
127	Powowowow	652
128	John6970	629
129	Inbefour	611
130	Eerini	605
131	nocturne78	601
132	ShedJr_	591
133	Jovaphobic	586
133	SuperPooch06	586
135	IAmTheWalrus910	580
136	TechnoNinja64	577
137	500am	570
138	burbankbuilder28	561
139	MattieHD	558
140	ibarker21	549
141	True_Clipse	536
142	Sheldor097	530
143	Eraxa	526
144	groofles	520
145	Enigma0251	513
146	Secret_Canary	509
147	CalebDHawk	507
148	GLLogan2	501
149	F_Uhre	496
150	_Dean_123	494
151	Reneedium	479
151	Leyna3	479
153	Blackberry1310	465
154	TeenMomTom	461
155	WyngGoy	457
156	epiksk8erduck	452
157	domagawha	449
157	BumbleBeever	449
159	Legendosh	439
160	SaphLaseer	438
161	Winklepicker279	434
161	PlasticOtari	434
163	NatalieTW	433
164	Darkgon	428
164	AltnumberF4	428
166	h2p_emrld	419
167	SmashingPump	415
168	JayToe	413
169	Gus2005	405
170	Flex_Tape_Phil	403
170	jnp_gaming	403
172	bigstankyy	394
172	hanaryheatwave	394
174	Fuad_R	386
175	stavgod	370
176	Slapface522	367
177	Skippeh	366
178	Sral7	364
179	HeraclesOGU	329
180	StarCookiees_	309
181	oscminus	298
182	AssFullaCum	292
183	Fullut	289
184	Elprone266	288
185	Werbe	282
185	PortlyPete69	282
187	EngagedGrub41	281
188	jimintyy	280
189	PlzNoBM	278
190	starbits140	271
191	4774	269
192	set67	263
193	LordSpeed37	262
194	T045RTY	258
195	Majonezzon	256
196	CornOnTheCobalt	255
197	ChillenChiggen	253
198	IKeepDying	250
198	RadarHz	250
200	AJplaysMC_	246
201	Niklas20114552	244
201	Buuck_	244
203	Soplight	243
204	EMC_	242
205	ItsGrayWolf	241
206	Steelynan	233
207	Dakar_	231
208	remmisrat	230
209	Diavri	229
210	thebaddruid	225
211	NotP0tato	218
211	mihimihimihi	218
213	GoofyBread	213
214	Biites	206
215	surfinggiraffejp	195
216	Incinere	191
217	j5ylim	189
218	Blamphe	188
218	FishisTTV	188
220	Cyntrical	183
220	tartanboy	183
222	CollinMH06	182
223	Mattesco	181
224	Kronos42	180
224	Quaintster	180
226	M_Patata	175
226	MasterNueve	175
228	Azmodan_246	172
228	Cache3	172
230	Chromary	154
231	IgnoredBee	149
232	TheRomanNoodles1	145
232	TheKingK_	145
234	ExtraDumb	142
235	EKUG	140
236	The11thDoctor	139
237	Winston_Ingram	134
238	claivin	131
239	Crowman1	129
239	fluddd	129
239	miramyu	129
242	HyperCave	128
243	Lutres_	125
244	NotKaden_	124
245	MissCeleste7	120
246	StanceTB	119
247	Whiterooster001	115
248	Akoot_	109
249	BlueZabu	107
250	PaperCanvas	106
251	CLG_Kata	104
252	MrExplorer	103
252	Avocadogerms	103
254	yheece	102
255	_Nuf	95
256	shineh10	90
257	fragrantmonke444	87
258	Queen_Jalapeno	85
259	CaptainDeadBread	83
260	NieToksikpl	82
260	CattSoup	82
262	ReflexCode	74
262	Spenduh	74
264	Soap_Bender	73
265	WET_WET_WET	69
266	Nicserso	64
267	Jackster03	62
268	bloomkieren	61
269	skroobiez	59
269	Mr_Sun15	59
271	tuckerdoodle	56
272	hermmm_	54
273	MuffinManzz	51
274	obzii	50
275	ECstardust	48
276	FiguraDei	43
277	TheSandwhich_	40
278	OreTheBear	38
279	Lord_Jord	35
280	luseis	34
281	bloodbiter	29
281	GooseWithin	29
283	Archsam	26
283	RedcatVII	26
285	KingEgg1	25
286	erkada	24
287	ooga47	23
288	prizm_	22
289	Bl1tzFX	21
289	MrShojo	21
291	Crafter45	20
292	JETrotter	19
292	mountaingirl311	19
294	Gundam_Steven	18
294	RoboTramp7865	18
296	PhantomsGhost_	16
296	SteveCraftBlocks	16
296	Kkanot	16
296	pappaberg	16
296	Kim_Jong_eel	16
