rank	username	minecraft:mined/minecraft:bubble_coral_fan
1	thewindmillman	309
2	Kouridragon	138
3	Di_infiri	125
4	Legendosh	74
5	Hyp3rion_	41
6	ImpavidArcher	37
7	pintsizedrogue	33
8	TheShyPig	28
9	500am	27
10	_Dean_123	26
11	12Magner05	22
12	Mahoose	21
13	Vetral1	19
14	RoskobiOne	18
15	Merv__	15
16	Fullut	14
16	YungMaki	14
18	Blackberry1310	13
19	lordpipe	12
20	livingdaydreams	11
20	Mewar	11
22	AuroraValkyrie	10
22	eitanzaki	10
22	ApophisNova	10
22	Inbefour	10
22	HellsSponge	10
22	MyNamaSheff	10
28	beeperbeeper5	9
28	Onennon	9
30	Marbz_	8
31	Rumpletaezer	7
31	Enderslayerxz3	7
31	TechnoNinja64	7
34	Bumpy419	6
34	KingMatthew506	6
36	kekhon	5
36	surfinggiraffejp	5
36	noam464	5
36	burbankbuilder28	5
36	SkateboardR6	5
36	IdeallyGrey	5
36	Powowowow	5
43	Prismyst	4
43	urbeans	4
43	Xalithia	4
43	Noah_Bez	4
43	Nagasaki_Riku	4
43	Sral7	4
43	h2p_emrld	4
50	Iagoku	3
50	joethahobo	3
50	Historical_Sand	3
50	TheSecondLord	3
50	Kakolbus	3
50	MyNameIsJobo	3
50	Arceus1975	3
50	Hiryu27	3
50	Maenara	3
50	Jiminbub	3
50	Jiminie	3
50	Typadopoulos	3
50	Spacewardharpy7	3
50	djancak	3
50	lcvezra	3
50	PortlyPete69	3
66	Jovaphobic	2
66	Bandito_Roamer	2
66	SaucyDark	2
66	BodaciousCake	2
66	T045RTY	2
66	ShedJr_	2
66	Stynxy	2
66	Ozixar	2
66	Inchef	2
66	Paintz	2
66	eiC_	2
66	CollinMH06	2
66	loveseeker	2
66	Rebytre	2
66	groofles	2
66	TheSeismicDuck	2
66	FreddyFart	2
66	KlausVonStiglitz	2
66	NameGenerat0r	2
66	Blu3beast	2
66	Xclax101	2
66	Blaiku	2
66	ZoharGoldMine	2
66	stellarjay	2
66	Luigipunch989	2
66	GlitchyPlate810	2
66	fffMike	2
66	EcksD	2
66	HesDemonPants	2
66	PlasticOtari	2
66	Smoke____	2
97	KarlKaek	1
97	Alteriity	1
97	fr0stss	1
97	Ssor69	1
97	titanlax	1
97	ratglock	1
97	bloodbiter	1
97	UncreativeArtist	1
97	thescout7	1
97	emrekn	1
97	r123moore	1
97	TheDankPlatypus	1
97	NotoriousNina	1
97	Jackattack53	1
97	SuperPooch06	1
97	Studyhallsaver	1
97	domagawha	1
97	kars0n	1
97	Voxin2K	1
97	RobotMinion101	1
97	Kynigito	1
97	Eerini	1
97	HolyVenom	1
97	Nicky19	1
97	SpookyDraggin	1
97	audiocracked	1
97	XxCookiequeenxX	1
97	Deathkob	1
97	Karbl	1
97	1442	1
97	The_slideV3	1
97	queenalina123	1
97	claivin	1
97	Quaintster	1
97	Frozil12	1
97	cytotoxaint	1
97	Factoroni	1
97	Dusk_95	1
97	AvaRosey	1
97	sp00ky_ghost977	1
97	__tomato	1
97	Steelynan	1
97	laron58	1
97	Skippeh	1
97	Nicserso	1
97	YoshikageBites	1
97	diggydog67	1
