rank	username	minecraft:mined/minecraft:jungle_leaves
1	Marbz_	13125
2	Blackberry1310	10124
3	EveryonesUncle	10088
4	beeperbeeper5	8173
5	Jackattack53	6555
6	Historical_Sand	5646
7	Hyp3rion_	5085
8	cedric72	4539
9	HellsSponge	4357
10	DemTechAlpha	4247
11	Nycteus_	4114
12	Smoke____	4101
13	TechnoNinja64	3264
14	Soplight	3135
15	Kubelz	2929
16	PigDab	2838
17	luseis	2740
18	Steelynan	2734
19	MineMaster0012	2376
20	TheShyPig	2249
21	Merv__	2081
22	ROY4LE	1989
23	lordpipe	1946
24	WET_WET_WET	1880
25	Lez_	1875
26	_Dean_123	1869
27	Xclax101	1842
28	Windo_licker	1726
29	noam464	1702
30	CoffeeNoir	1611
31	Blaiku	1497
32	Snowflowe	1452
33	mwrty	1394
34	PlasticOtari	1336
35	MyNameIsJobo	1332
36	RoofTyler	1331
37	BronkerBrum	1260
38	hanaryheatwave	1249
39	ImpavidArcher	1206
39	500am	1206
41	Prodiginus	1193
42	Xalithia	1180
43	Fullut	1171
44	YungMaki	1164
45	TheSecondLord	1102
46	titanlax	1075
47	Winklepicker279	1073
48	PeteO1995	1035
49	Arceus1975	1027
50	FreakGenius	947
51	ConnorDanky_	945
52	Onennon	943
53	H72l9w	899
54	Factoroni	883
55	KingMatthew506	881
56	Mahoose	826
57	pintsizedrogue	821
58	Hoid_the_Roamer	810
59	Comma__	790
60	Frozil20	669
61	Kamflame10	625
62	SvenskaHugo	609
63	ShedJr_	606
64	kekhon	593
65	ese_wn_po	586
66	lillips	581
67	Cryptacity	550
68	IWorkAtIkea	532
69	CollinMH06	501
70	KarlKaek	487
71	Lord_Jord	482
72	eitanzaki	471
73	bladeefan2009	466
74	Jonte0599	463
75	El_Jalapeno	453
76	SaucyDark	443
77	Sna_Ke	436
78	Deerfoot	427
79	Bandito_Roamer	425
80	MilleGrug	417
81	joethahobo	411
82	Pelbo	375
83	Werbe	371
84	peachfuzz1267	370
85	Notta	362
85	Deathkob	362
87	Ezekson	360
88	RefluxRatio	342
89	Swexti	327
90	__tomato	322
91	PegLegPete93	319
92	himak1	318
93	HesDemonPants	315
94	T045RTY	314
95	SmashingPump	312
95	SpacesickPrism	312
97	Kferno	310
98	_Virify_	303
99	calamariclam_I	302
100	Airem_Core	293
101	Drawgirl	279
102	EngagedGrub41	270
103	Incinere	267
104	OfficerAnvil	266
105	KlausVonStiglitz	260
106	Akoot_	259
106	MightyWertu	259
108	Lekol	249
109	RadarHz	233
110	Barlycorn	232
111	RebelAndroid	227
112	AlphaWolfPlaysMC	226
113	gabriels543	220
113	fluddd	220
115	Toiton	215
116	Spacewardharpy7	205
117	CryoInferno_	204
118	Kowcio_	196
118	Jimb0nat0r	196
120	Vicemaniac	190
121	dudcreeper	189
122	Nicserso	187
123	Blu3beast	183
124	epiksk8erduck	181
125	Cats_Fly	176
126	breadbowlgamer	171
127	BlancoFlaco	170
128	Fuad_R	166
129	AuroraValkyrie	164
130	eviltunix	163
130	Bumpy419	163
132	ThePurpleFire	159
132	HELLO_I_AM_BEAR	159
134	Lukeee33	157
135	123louis456	152
135	eiC_	152
135	SaintJosie	152
138	livingdaydreams	151
138	benediktine1	151
140	NomadicRobin_	148
141	natajimi	142
141	WhyTho_1	142
143	diamondgolem35	139
144	LeeMcGee30	137
145	Zaridey	135
146	Meatlaugh	133
147	I_Am_Mushkin	128
148	Thaumatarge	124
149	M_Patata	123
149	MasterNueve	123
151	openatheclose	121
152	MAns_44	120
152	Chayula	120
154	pixelviolin	114
155	Killercatty78	113
155	moonman169	113
157	07shiny	112
158	MelodyGaysharks	110
159	Soul_Atreus	106
160	Enderxz3	105
161	Groovy_MoonBird	103
162	Tyrannosplart	97
163	Cocoamallows	96
163	coobert42	96
165	TylerDupree	93
166	TableTim	91
167	InfernalMound	89
168	Da_Boss_Rani	88
168	JESS_THE_RERE	88
168	NotMeowMix	88
171	thewindmillman	87
172	m_be9	86
172	LordSpeed37	86
174	Mr_Byzantine	84
174	KASAN420	84
176	Touched_Bread	83
176	Aezekial	83
178	MixerDixer	79
178	Dabatha	79
180	jessemgaming	78
181	Yirtle	74
182	Groundler	73
183	QuiCreans	71
183	LexMakesHistory	71
185	KingFaenor	70
185	Moofyman	70
187	burbankbuilder28	67
188	MattieHD	66
189	sp00ky_ghost977	64
190	Yahir091	63
191	MovingFish7	62
192	thescout7	59
192	wwwwinnebagoooo	59
194	Bazongoman	58
194	IronicUwU1	58
196	set67	57
196	SuperPooch06	57
196	Kim_Jong_eel	57
199	bloodbiter	55
199	gcaisawesome	55
201	RoskobiOne	54
201	Ryker	54
201	Corbsman	54
201	stavgod	54
201	RealGroot	54
206	DSYisDizzy	52
206	ItsDeltaMC	52
208	TAKrules	51
208	ProfessorBee	51
208	Awyrlas	51
211	Di_infiri	50
211	babycamm	50
213	chrolus	49
213	tuckerdoodle	49
215	Jakobo1337	48
216	SteveCraftBlocks	47
216	Rumpletaezer	47
216	Dusk_95	47
219	_Nuf	46
219	LargeCarl	46
221	Scattman_	45
222	CarltheCuck	43
222	King_Pancake1	43
222	SammiWolfGirl	43
225	EcksD	42
226	Prismyst	41
227	Scathra	40
228	Creativebuilder2	38
228	DAD_1996	38
230	Stiar	37
231	mihimihimihi	36
232	Vizzoid	35
232	Zythose	35
232	_Boipl_	35
235	JMK208	34
235	Rebytre	34
237	Toriankel	33
238	Harotio	32
238	jnp_gaming	32
240	Skylord_Luke	31
241	12Magner05	30
241	Russiancat1	30
241	anbbang	30
244	boog4loo	29
244	zemey	29
244	_Bguette_	29
247	ooga47	28
248	DarlaMeow	27
249	ApophisNova	26
249	MyNamaSheff	26
251	MrKrabOnCoke	25
251	_Hayt	25
253	mofojojo	23
253	MakeHistory157	23
253	NiveauSubmarine	23
256	301851	22
256	Smashic	22
258	MLG_Kirby69	21
259	TooManyDuck	20
259	legal_tax_evader	20
259	splatterhawk	20
259	WytchKraft	20
263	ARandomHedge	19
263	TheSeismicDuck	19
263	monky_irl	19
266	hollowww	18
266	spellmre	18
266	Jimi7hits	18
266	yulgur1	18
270	2Stout	17
270	GOOBERGABE04	17
270	CarryLine	17
270	Inbefour	17
274	Valoth	16
274	LitoDelvito	16
274	groofles	16
277	Azmodan_246	15
277	lcvezra	15
279	jacxhadow	14
279	Kakolbus	14
279	Racengan	14
279	Razzgriz	14
283	HyperCave	13
284	Azorathum	12
284	RobotMinion101	12
284	Vetral1	12
284	GoofySilly	12
284	mobunni	12
284	Legendosh	12
290	intropass	11
290	Skippeh	11
292	corvidpartyfor6	10
292	NameGenerat0r	10
292	Eraxa	10
292	sadvavilloso	10
292	_TCARREIRA_	10
297	Hpdinosaur	9
297	NatrixxddxYT	9
297	Sleepy_Time_	9
297	Ssor69	9
