rank	username	minecraft:picked_up/minecraft:crimson_planks
1	noam464	326072
2	thewindmillman	109624
3	Di_infiri	56252
4	eitanzaki	19685
5	Blaiku	1604
6	Smoke____	1574
7	Legendosh	1415
8	beeperbeeper5	1249
9	Werbe	425
9	AssEatrAndLicker	425
11	joethahobo	362
12	RebelAndroid	322
13	ShedJr_	246
14	Freak_Genius	225
15	HellsSponge	181
16	_Razar	164
17	Skylord_Luke	160
18	SammiWolfGirl	138
19	PigDab	135
20	RadarHz	111
21	Mahoose	108
22	rarrq	97
23	Spacewardharpy7	78
24	CliffEmAll	77
24	Eraxa	77
26	Snowflowe	72
27	Luigipunch989	57
27	Enderslayerxz3	57
29	anbbang	54
30	12Magner05	49
31	Optiprimus	46
32	set67	39
33	kekhon	34
34	Hpdinosaur	28
35	OtariCharlie	27
36	MyNameIsDakar	26
37	Mr_Byzantine	24
38	r123moore	22
38	TheShyPig	22
40	Chromary	20
40	fffMike	20
42	Zythose	18
42	YungMaki	18
44	Billious	17
44	NomadicRobin_	17
46	_NieToksikpl_	16
47	jnp_gaming	12
47	TechnoNinja64	12
49	djancak	11
49	Kubeusz2010	11
51	MSK__	9
51	KG1999	9
51	sebastiensaborio	9
54	Fractured_	8
54	Blackberry1310	8
54	Lord_Jord	8
54	Eon_57	8
54	Spenduh	8
54	diggydog67	8
60	500am	7
60	mobunni	7
62	Deathkob	6
63	cwartzo	5
63	lillips	5
63	CalebDHawk	5
66	6king6colt6	4
66	BobDeBouwer1337	4
66	Awyrlas	4
66	Winklepicker279	4
66	MightyWertu	4
66	oxfordschool	4
66	kinas45y5	4
73	SteveCraftBlocks	3
73	King_Pancake1	3
73	gustarbite	3
73	Kowcio_	3
73	Soplight	3
78	_Virify_	2
78	T045RTY	2
78	mwrty	2
78	himak1	2
78	Syropatathe	2
78	lordpipe	2
78	monky_irl	2
78	_Ruzeeq_	2
86	ActivelyLogicalt	1
86	Yatitay	1
86	livingdaydreams	1
86	MrExplorer	1
86	whoaluv	1
86	EveryonesUncle	1
86	Hermanni__	1
86	MissCeleste7	1
