rank	username	minecraft:picked_up/minecraft:white_concrete
1	noam464	99864
2	eitanzaki	20203
3	Di_infiri	18881
4	Lez_	15791
5	Hyp3rion_	15216
6	Blaiku	14347
7	Ezekson	13229
8	beeperbeeper5	12725
9	EcksD	12451
10	Spacewardharpy7	11027
11	YungMaki	10656
12	Inchef	10324
13	_Karmaa	9886
14	NameGenerat0r	9858
15	Jackattack53	8925
16	ROY4LE	8822
17	Swexti	8671
18	Franco093	8320
19	xxPipperDipperxx	8288
20	thescout7	7014
21	Mahoose	6937
22	titanlax	6896
23	lordpipe	6504
24	HellsSponge	6221
25	kekhon	6120
26	__Fanda__	5749
27	Ssor69	5475
28	TheSecondLord	5260
29	Blazebit	5133
30	Groundler	4902
31	Xalithia	4671
32	__tomato	4642
33	Hoid_the_Roamer	4588
34	I_Am_Mushkin	4429
35	Iamthejo	4416
36	Smoke____	3861
37	Snowflowe	3852
38	Enderxz3	3806
39	Onennon	3629
40	xolstoi	3616
41	Kyrum2169	3472
42	Mewar	3409
43	SaintJosie	3251
44	Merv__	3082
45	Hiryu27	2957
46	Zythose	2891
47	Quotary	2659
48	CoffeeNoir	2341
49	LeauVox4921	2316
50	jushykins	2179
51	lillips	2165
52	El_Jalapeno	2155
53	Rich_Kat	2054
54	Hyugo	1950
55	TheShyPig	1850
56	Mythic1130	1840
57	Mr_Byzantine	1812
58	MattieHD	1807
59	ImpavidArcher	1795
60	diamondgolem35	1745
61	bladeefan2009	1723
62	Frozil20	1711
63	ProfessorBee	1682
64	audiocracked	1665
65	RobotMinion101	1554
66	PigDab	1544
67	FreakGenius	1539
68	r123moore	1512
69	MakeHistory157	1493
70	emrekn	1492
71	LexMakesHistory	1472
72	StinkyDiplomat	1355
73	Syropatathe	1332
74	Blu3beast	1275
75	xzvu	1229
76	IamCL4SSY	1226
77	Iagoku	1208
78	thewindmillman	1206
79	sp00ky_ghost977	1130
80	Legendosh	1123
81	teslawolf38	1114
82	ApophisNova	1112
82	MyNamaSheff	1112
84	stellarjay	1092
85	joethahobo	1090
