rank	username	minecraft:picked_up/minecraft:oak_fence_gate
1	thewindmillman	15845
2	rarrq	412
3	The_slideV3	411
4	Myntsys	300
5	FreakGenius	252
6	PhantomsGhost_	238
7	HellsSponge	213
8	noam464	208
9	eitanzaki	201
10	Smashic	148
11	thescout7	100
12	El_Jalapeno	99
13	Lez_	82
14	jnp_gaming	80
15	Yamdalorian	78
16	m_be9	74
17	EveryonesUncle	68
18	Dakar_	66
19	ooga47	64
20	AlphaWolfPlaysMC	61
21	pintsizedrogue	59
22	MyNameIsJobo	51
23	_Dean_123	47
24	Mahoose	44
25	Mr_Byzantine	42
25	shineh10	42
27	Di_infiri	38
27	Enderxz3	38
29	EMC_	34
29	joethahobo	34
29	titanlax	34
29	Legendosh	34
33	Ryan_GEMS	33
33	TechnoNinja64	33
35	MightyWertu	30
35	jcool7	30
37	Pumpkin_P_Patch	29
38	ApophisNova	28
38	MyNamaSheff	28
40	tsitrawhy	26
41	slkiey	25
42	WET_WET_WET	24
42	Sral7	24
44	mariominejedi	23
45	lotarp	22
45	xxPipperDipperxx	22
47	beeperbeeper5	21
48	Merv__	20
48	Jackattack53	20
48	Skylord_Luke	20
48	Kowcio_	20
48	YungMaki	20
53	Frxnkz	19
53	bloodbiter	19
53	Eczbox	19
53	The11thDoctor	19
53	Eczbek	19
53	PlasticOtari	19
59	I_Am_Mushkin	18
59	Reneedium	18
59	_3Stump_	18
62	seramalen	17
63	Wooptey	16
63	T045RTY	16
63	SlayerCrypto	16
63	AstreaTSS	16
63	Spacewardharpy7	16
68	dopplexd	15
68	Saucepeh	15
68	jewbacaman	15
71	Hyp3rion_	14
71	_Karmaa	14
71	TheKingK_	14
71	QueenOfDirt	14
75	jacxhadow	13
75	SuperPooch06	13
75	AuroraSkies	13
75	Racengan	13
79	luseis	12
79	MovingFish7	12
79	EngagedGrub41	12
79	EcksD	12
83	AuroraValkyrie	11
83	4774	11
83	fade_emerge78823	11
83	Mattesco	11
87	SmashingPump	10
87	Winklepicker279	10
87	U_Mos_	10
87	fkGrim	10
87	CalebDHawk	10
92	KingFaenor	9
92	RebelAndroid	9
92	GingerNeutron	9
92	crashomon	9
92	TastefulBas	9
92	Bumpy419	9
92	Manaateee	9
92	Blu3beast	9
92	Luigipunch989	9
92	Quotary	9
102	Alteriity	8
102	crying_wolf_13	8
102	TheDankPlatypus	8
102	Inbefour	8
102	NoChumpChange	8
102	StinkyDiplomat	8
102	AvaRosey	8
102	Kura2218	8
102	cichy096	8
111	AshleeCW	7
111	HollieDaNugget	7
111	Blackberry1310	7
111	TheSecondLord	7
111	Raspberry_Sodas	7
111	excelsionprime	7
