rank	username	minecraft:picked_up/minecraft:redstone_block
1	thewindmillman	780609
2	noam464	24894
3	EcksD	21418
4	eitanzaki	6074
5	Di_infiri	5887
6	HellsSponge	3270
7	pintsizedrogue	2910
8	Spacewardharpy7	2146
9	Hyp3rion_	1911
10	_Nuf	1835
11	Smoke____	1529
12	thescout7	1489
13	Blu3beast	1456
14	YungMaki	1412
15	Blaiku	1375
16	EMC_	1277
17	Jackattack53	1197
18	Eczbek	1154
19	Inbefour	1051
20	Invisie	1044
21	Rasmanden	1038
21	Akoot_	1038
23	Werbe	960
24	El_Jalapeno	935
25	fffMike	911
26	mwrty	864
27	PigDab	843
28	TildaAndrea	832
28	joethahobo	832
30	ROY4LE	827
31	Freak_Genius	800
32	Kakolbus	791
33	G1ldor	776
34	Zythose	656
35	Groundler	644
36	WyngGoy	611
37	Awyrlas	597
38	Nicserso	594
39	oxfordschool	587
40	kekhon	579
41	PlzNoBM	557
42	SteveCraftBlocks	547
43	Legendosh	546
44	beeperbeeper5	531
45	TheShyPig	512
46	rarrq	504
47	jnp_gaming	503
48	TechnoNinja64	496
49	Enderslayerxz3	486
50	diamondgolem35	480
51	Comma__	450
52	GoofyBread	419
53	picardred	418
54	Shogunite	399
55	Soap_Bender	386
56	set67	384
57	Snowflowe	378
58	jewbacaman	363
59	MyNameIsJobo	335
60	LotusProject	334
61	lillips	328
62	m_be9	320
63	MilleGrug	311
64	Motsaro	308
65	ooga47	303
66	MightyWertu	301
67	Sral7	293
68	Soplight	291
69	_Virify_	287
70	PortlyPete69	283
71	_Karmaa	280
72	starbits140	278
73	The_slideV3	277
74	RoboTramp7865	275
75	T045RTY	270
76	ShedJr_	258
77	lordpipe	257
77	SvenskaHugo	257
79	Hiryu27	251
80	SammiWolfGirl	249
81	ApophisNova	248
81	NoChumpChange	248
81	MyNamaSheff	248
84	500am	245
84	ediballbearings	245
86	gabriels543	232
86	Sky_light_KING	232
88	Rebytre	231
88	Xclax101	231
90	SlayerCrypto	230
91	JMK208	220
92	Fullut	218
93	Ezekson	216
94	Mahoose	215
95	Spenduh	205
96	wezzzi	200
97	hcb238	195
98	cedric72	194
98	Lord_Jord	194
100	Kubelz	189
101	AlphaWolfPlaysMC	187
102	Skomo	186
102	RadarHz	186
104	Ssor69	183
105	Euclidoris	180
106	KG1999	179
107	TeenMomTom	177
108	Dogcorn69420	174
109	anbbang	173
110	MangoTheFish	171
111	emrekn	165
111	obzii	165
113	Cocoamallows	164
114	Blackberry1310	163
114	PlasticOtari	163
116	Historical_Sand	159
117	eviltunix	152
118	xxPipperDipperxx	151
119	ProbablyNick	150
120	geekbird	148
121	the_russell1611	147
122	CoryJJ	145
123	EcksDofficial	144
124	r123moore	139
125	EveryonesUncle	138
126	AvaRosey	135
127	whoaluv	131
127	_Bguette_	131
129	soundad	129
129	BlueZabu	129
129	OfficerAnvil	129
132	Nesquiczek	128
132	Kubeusz2010	128
134	fr0stss	123
134	jcool7	123
136	TooManyDuck	119
136	groofles	119
138	claivin	116
139	BumbleBeever	113
140	mihimihimihi	112
140	Njensen7	112
142	NotMeanttoChange	110
143	airbkane	109
144	seramalen	108
145	Skylord_Luke	106
146	LeeMcGee30	105
147	Flores991	104
148	Winston_Ingram	103
149	Mr_Byzantine	102
149	Hisiste	102
149	Lord_Doob	102
149	FallenCorps	102
153	Dedalus36	98
154	surfinggiraffejp	96
154	Miko_Fullbuster	96
156	Kkanot	93
157	Myszoaz	92
158	Marbz_	91
159	sp00ky_ghost977	89
159	EngagedGrub41	89
161	audiocracked	88
161	Fuad_R	88
161	fluddd	88
164	WYFYoyo	87
165	awesomeoneme	85
166	teslawolf38	84
167	h2p_emrld	83
168	Jovaphobic	82
168	PhantomsGhost_	82
170	12Magner05	81
170	Xalithia	81
170	Solar_Power	81
170	Powowowow	81
170	The_SlideV5	81
175	Deathkob	80
176	Drewen24	79
177	07shiny	77
178	censorsheep	76
178	vandmanden	76
180	CaptainDeadBread	75
181	CoffeeNoir	74
181	Quotary	74
183	mariominejedi	73
183	Quincannon	73
183	Racengan	73
186	Sleepy_Time_	71
186	DarlaMeow	71
188	Frozil20	68
189	jushykins	67
190	peachfuzz1267	64
190	JEWISHBadenBeele	64
190	Kirrow	64
190	roxycherry	64
190	TheThomas69	64
190	himak1	64
190	k1ngGilgamesh	64
190	Fuhrer_Teemo	64
190	SkateboardR6	64
190	Kowcio_	64
190	JayToe	64
201	fxiryglitch	63
201	Quaintster	63
203	bigstankyy	62
203	1442	62
205	q_wq	60
205	pr33tu	60
207	MattieHD	59
207	loveseeker	59
209	Sleek_Storm_721	57
209	lotarp	57
209	gaziter10	57
209	Dusk_95	57
213	FishyBoy3811	56
214	Maenara	55
214	KingMatthew506	55
216	Ozixar	54
217	Winklepicker279	53
218	lizardfightclub	52
219	ImpavidArcher	51
219	benediktine1	51
221	Jimi7hits	50
221	Leyna3	50
223	BlancoFlaco	49
223	DirtyDalle	49
223	_Dean_123	49
223	Steelynan	49
227	MyNameIsDakar	48
228	monky_irl	47
228	__tomato	47
230	CliffEmAll	46
230	gcaisawesome	46
230	wTXop	46
230	xyfrs	46
234	yulgur1	44
234	sufjanlover	44
236	Prismyst	43
237	Mariopreeet	42
237	ayamefag	42
239	301851	41
239	Donutt	41
239	MonitorLizards	41
239	radioactv_jelly	41
243	Mewar	40
243	NomadicRobin_	40
243	NameGenerat0r	40
243	Rainaldus	40
247	ProfessorBee	39
247	egglapras	39
247	TheSeismicDuck	39
250	DemTechAlpha	38
250	00000000-0000-0000-0009-01f80c5e9346	38
