rank	username	minecraft:picked_up/minecraft:redstone_block
1	thewindmillman	780609
2	noam464	22939
3	EcksD	21298
4	eitanzaki	6074
5	Di_infiri	5887
6	HellsSponge	3270
7	pintsizedrogue	2910
8	Spacewardharpy7	2146
9	Hyp3rion_	1841
10	_Nuf	1835
11	Smoke____	1522
12	thescout7	1489
13	Blu3beast	1456
14	YungMaki	1412
15	Blaiku	1375
16	EMC_	1276
17	Eczbek	1154
18	Inbefour	1051
19	Invisie	1044
20	Rasmanden	1038
20	Akoot_	1038
22	Jackattack53	996
23	Werbe	960
24	El_Jalapeno	935
25	mwrty	864
26	fffMike	859
27	PigDab	843
28	TildaAndrea	832
28	joethahobo	832
30	ROY4LE	827
31	Freak_Genius	800
32	Kakolbus	791
33	G1ldor	776
34	Zythose	656
35	Groundler	644
36	WyngGoy	611
37	Awyrlas	597
38	Nicserso	594
39	oxfordschool	587
40	kekhon	579
41	PlzNoBM	557
42	SteveCraftBlocks	547
43	Legendosh	546
44	beeperbeeper5	531
45	TheShyPig	512
46	rarrq	504
47	jnp_gaming	503
48	TechnoNinja64	496
49	diamondgolem35	480
50	Comma__	450
51	Enderslayerxz3	430
52	GoofyBread	419
53	picardred	418
54	Shogunite	399
55	Soap_Bender	386
56	set67	384
57	jewbacaman	363
58	MyNameIsJobo	335
59	LotusProject	334
60	Snowflowe	330
61	lillips	328
62	m_be9	320
63	MilleGrug	311
64	Motsaro	308
65	ooga47	303
66	MightyWertu	301
67	Sral7	293
68	Soplight	291
69	_Virify_	287
70	PortlyPete69	283
71	_Karmaa	280
72	starbits140	278
73	The_slideV3	277
74	RoboTramp7865	275
75	T045RTY	270
76	ShedJr_	258
77	lordpipe	257
77	SvenskaHugo	257
79	Hiryu27	251
80	SammiWolfGirl	249
81	ApophisNova	248
81	NoChumpChange	248
81	MyNamaSheff	248
84	500am	245
84	ediballbearings	245
86	gabriels543	232
86	Sky_light_KING	232
88	Rebytre	231
88	Xclax101	231
90	SlayerCrypto	230
91	JMK208	220
92	Fullut	218
93	Ezekson	216
94	Mahoose	215
95	Spenduh	202
96	wezzzi	200
97	hcb238	195
98	cedric72	194
98	Lord_Jord	194
100	Kubelz	189
101	AlphaWolfPlaysMC	187
102	Skomo	186
102	RadarHz	186
104	Ssor69	183
105	Euclidoris	180
106	KG1999	179
107	TeenMomTom	177
108	Dogcorn69420	174
109	anbbang	173
110	MangoTheFish	171
111	emrekn	165
111	obzii	165
113	Cocoamallows	164
114	Blackberry1310	163
114	PlasticOtari	163
116	Historical_Sand	159
117	eviltunix	152
118	xxPipperDipperxx	151
119	ProbablyNick	150
120	geekbird	148
121	the_russell1611	147
122	CoryJJ	145
123	EcksDofficial	144
124	r123moore	139
125	EveryonesUncle	138
126	AvaRosey	135
127	whoaluv	131
127	_Bguette_	131
129	soundad	129
129	BlueZabu	129
129	OfficerAnvil	129
132	Nesquiczek	128
132	Kubeusz2010	128
134	fr0stss	123
134	jcool7	123
136	TooManyDuck	119
136	groofles	119
138	claivin	116
139	BumbleBeever	113
140	Njensen7	112
141	NotMeanttoChange	110
142	airbkane	109
143	seramalen	108
144	Skylord_Luke	106
145	LeeMcGee30	105
146	Flores991	104
147	Winston_Ingram	103
148	Mr_Byzantine	102
148	Hisiste	102
148	Lord_Doob	102
148	FallenCorps	102
152	Dedalus36	98
153	surfinggiraffejp	96
153	Miko_Fullbuster	96
155	Kkanot	93
156	Myszoaz	92
157	Marbz_	91
158	sp00ky_ghost977	89
159	audiocracked	88
159	Fuad_R	88
159	fluddd	88
162	WYFYoyo	87
163	awesomeoneme	85
