rank	username	minecraft:picked_up/minecraft:lightning_rod
1	thewindmillman	162
2	PlasticOtari	129
3	Mahoose	34
4	sebastiensaborio	32
5	500am	25
6	ImpavidArcher	20
7	CoffeeNoir	16
8	noam464	13
9	CharlieButt	7
10	Enigma0251	5
10	Hyp3rion_	5
10	Eraxa	5
13	Winklepicker279	3
13	EcksD	3
13	2blox	3
16	pintsizedrogue	2
16	Jackattack53	2
16	SuperPooch06	2
16	AuroraSkies	2
16	Freak_Genius	2
21	Bk2Lumby4You	1
21	eitanzaki	1
21	beeperbeeper5	1
21	regulator75	1
21	Toasty_Tom	1
21	MAns_44	1
21	fluddd	1
21	Spacewardharpy7	1
21	CheifJumbo	1
21	pixelviolin	1
21	MeetTheWollo	1
