rank	username	minecraft:picked_up/minecraft:white_banner
1	Werbe	3727
2	NameGenerat0r	1665
3	Vizzoid	768
4	thewindmillman	726
5	Legendosh	675
6	beeperbeeper5	652
7	kekhon	593
8	noam464	496
9	Soplight	454
10	Sral7	433
11	Mahoose	415
12	Spacewardharpy7	341
13	ROY4LE	305
14	12Magner05	254
15	eitanzaki	244
16	Freak_Genius	242
17	YungMaki	220
18	Lord_Jord	214
19	FelixPSY375	191
20	pintsizedrogue	183
21	Historical_Sand	171
22	ImpavidArcher	164
23	Merv__	163
24	Enderslayerxz3	162
25	HellsSponge	149
26	500am	134
26	claivin	134
28	TheShyPig	128
29	Onennon	126
30	rarrq	124
31	TechnoNinja64	122
32	Blu3beast	117
33	MattieHD	110
33	Maenara	110
35	EcksDofficial	108
36	Smoke____	102
37	Blackberry1310	98
38	KarlKaek	96
39	jacxhadow	92
39	Akoot_	92
39	PlasticOtari	92
42	burbankbuilder28	90
43	jnp_gaming	80
44	Blaiku	78
45	FirsTimeGamingTV	73
46	PigDab	69
46	sp00ky_ghost977	69
48	Fullut	68
49	xxPipperDipperxx	62
49	Bumpy419	62
51	MovingFish7	60
52	chipklip	57
52	Eraxa	57
52	Skippeh	57
55	fluddd	53
56	ShedJr_	52
56	SuperPooch06	52
58	lordpipe	51
59	PhantomsGhost_	49
60	oxfordschool	48
61	Arceus1975	46
62	Di_infiri	45
63	thescout7	44
63	_naturell	44
63	_Karmaa	44
63	EcksD	44
67	Kakolbus	42
68	audiocracked	41
69	kinas45y5	40
70	Jiminie	38
71	teslawolf38	37
71	TheSecondLord	37
73	numbra	36
73	ApophisNova	36
73	fred870d	36
73	MyNamaSheff	36
77	RodSerlingCringe	35
78	joethahobo	34
78	Hermanni__	34
80	stahouo	33
81	SteveWithClout	32
81	m_be9	32
81	Winklepicker279	32
84	Hyp3rion_	31
84	Dusk_95	31
86	Ssor69	30
87	sebastiensaborio	29
88	hm947	28
88	EveryonesUncle	28
90	mwrty	27
90	420BreadLizard	27
92	The11thDoctor	26
93	_Dean_123	25
94	Bandito_Roamer	24
94	Quaintster	24
94	Kubeusz2010	24
97	6king6colt6	23
97	Warlord324	23
99	ooga47	22
