rank	username	minecraft:picked_up/minecraft:cobblestone
1	noam464	1226180
2	Iamthejo	1107685
3	Frozil20	876667
4	PigDab	516174
5	m_be9	360832
6	Di_infiri	355631
7	Smoke____	348549
8	joethahobo	290147
9	pintsizedrogue	243327
10	TheShyPig	241053
11	thewindmillman	240542
12	HellsSponge	217216
13	Legendosh	210137
14	MyNameIsJobo	176171
15	El_Jalapeno	162062
16	lordpipe	153968
17	NatalieTW	144572
18	EMC_	142233
19	Hyp3rion_	128213
20	Xclax101	122288
21	beeperbeeper5	118286
22	Spacewardharpy7	118024
23	kekhon	117769
24	Enderxz3	112524
25	MirielThePastor	111361
26	YungMaki	109209
27	Mr_Byzantine	103818
28	eitanzaki	98994
29	rarrq	95214
30	Steelynan	91679
31	Njensen7	90591
32	thescout7	88721
33	gusstationwerker	87253
34	q_wq	85292
35	obzii	84953
36	Inbefour	84752
37	_Nuf	84368
38	Bumpy419	83363
39	BobDeBouwer1337	81065
40	cedric72	80173
41	xzvu	78820
42	Werbe	78818
43	FallenCorps	78623
44	mwrty	76037
45	Jackattack53	74282
46	Snowflowe	74247
47	audiocracked	74062
48	eviltunix	74052
49	Blackberry1310	72443
50	vandmanden	71451
51	ProfessorBee	71241
52	LordSpeed37	70376
53	TechnoNinja64	69476
54	Ezekson	68704
55	Esme_1	67554
56	Akoot_	67422
57	gcaisawesome	66600
58	ApophisNova	66457
58	MyNamaSheff	66457
60	censorsheep	65809
61	fffMike	65739
62	Blaiku	63054
63	Prodiginus	62589
64	Franco093	62131
65	Quincannon	62017
66	PlzNoBM	59647
67	The11thDoctor	58769
68	luseis	58479
69	CollinMH06	58353
70	EcksD	57895
71	h2p_emrld	56529
72	SuperPooch06	55773
73	mihimihimihi	53757
74	Deodorante	53737
75	Lord_Jord	53613
76	teslawolf38	52286
77	Airem_Core	50590
78	Kakolbus	49803
79	SaucyDark	48638
80	Groovy_MoonBird	47674
81	Malorn_Aetherius	47607
82	__tomato	47606
83	Onennon	46885
84	12Magner05	46703
85	Rumpletaezer	46147
86	alderban107	45410
87	burbankbuilder28	45190
88	_Karmaa	44055
89	Jovaphobic	43005
90	soundad	42744
91	Chromary	42126
92	Strangemonkey71	42038
93	Kowcio_	41904
94	FreakGenius	41728
95	Gab4101	41512
96	anbbang	41238
97	ROY4LE	41121
98	Fullut	40768
99	Kubelz	40429
100	wezzzi	40235
101	EveryonesUncle	40178
102	gabriels543	40061
103	6king6colt6	40042
104	Shogunite	39650
105	NameGenerat0r	39071
106	Awyrlas	38897
107	XboxPanda	38683
108	TheDankPlatypus	38619
109	Warlord324	38487
110	Inchef	37998
111	Mewar	37890
112	xolstoi	37571
113	Hiryu27	36855
114	500am	36347
115	mariominejedi	36302
116	_TCARREIRA_	36246
117	Tyrannosplart	35909
118	ThisUserIsStump	35896
119	Groundler	35334
120	Corbsman	35092
121	livingdaydreams	34602
122	Comma__	34318
123	Nicserso	34216
124	KarlKaek	34037
125	BlankityMcBlank	33955
126	SkateboardR6	33681
127	TooManyDuck	33569
128	Skippeh	33055
129	Fildyr	32585
130	Ecplosive	32222
131	MightyWertu	32205
132	Mahoose	31853
133	RebelAndroid	31789
134	ThiccExotic	31707
135	fluddd	31568
136	Rasmanden	31430
137	RoofTyler	31193
138	theonlymagikarp	31077
139	Maenara	31068
140	ConnorDanky_	30906
141	Windo_licker	30720
142	bigstankyy	30698
