rank	username	minecraft:picked_up/minecraft:birch_slab
1	FreakGenius	4984
2	Eczbek	3681
3	Rasmanden	1622
4	pintsizedrogue	1382
5	Smoke____	1030
6	SyntheticSurgeon	998
7	TheShyPig	942
8	thescout7	865
9	MangoTheFish	747
10	El_Jalapeno	713
11	Elastiq	696
12	Mahoose	683
13	diggydog67	666
14	KarlKaek	627
15	kekhon	578
16	Simon_Lowell	531
17	Blu3beast	495
18	Legendosh	482
19	mwrty	459
20	teslawolf38	457
21	beeperbeeper5	453
22	F_Uhre	448
23	SuperPooch06	437
24	lordpipe	431
25	Steelynan	398
26	NoChumpChange	373
27	MyNameIsJobo	348
28	MonitorLizards	332
29	EveryonesUncle	309
29	Fuad_R	309
31	Hoid_the_Roamer	303
32	Arceus1975	276
33	fffMike	236
34	SvenskaHugo	235
35	Blackberry1310	232
36	2Stout	220
37	TinMaster	219
38	Lez_	217
39	fanofbands101	213
39	_Cloverbelle_	213
41	Ailmast	209
42	rarrq	196
43	parodypatient	195
44	Diavri	188
45	binman420	184
46	bigstankyy	183
47	Stiar	174
48	eitanzaki	172
49	PortlyPete69	169
50	Nicserso	166
51	Killercatty78	164
52	Ezekson	161
53	Akoot_	158
54	DkansK	156
55	Spacewardharpy7	152
56	12Magner05	151
56	MinttyFressh	151
56	Shin69	151
59	stellarjay	150
60	bndo	146
61	ImpavidArcher	141
62	InfernalMound	140
63	Onennon	139
64	ccormacs	137
64	Groundler	137
66	EMC_	136
67	The_slideV3	135
68	KlausVonStiglitz	134
69	Blaiku	132
70	titanlax	129
71	Hyp3rion_	128
72	Eraxa	124
73	KeruNatsema	123
74	sxc_	116
74	Inbefour	116
76	xxPipperDipperxx	113
77	SkateboardR6	112
77	djancak	112
79	h2p_emrld	109
80	Hermanni__	106
81	hcb238	101
82	Motsaro	97
82	luseis	97
84	Di_infiri	96
84	bluefragmentt	96
86	CalebDHawk	94
87	dezxalo	93
88	Jackattack53	90
89	Tyrannosplart	89
90	DermeinUser	88
91	Bumpy419	87
92	_Dean_123	86
93	Optiprimus	85
93	YungMaki	85
95	LeauVox4921	84
95	NameGenerat0r	84
95	anbbang	84
98	_Karmaa	82
99	valkam13	80
99	Sheldor097	80
101	500am	79
102	joethahobo	77
102	Ssor69	77
104	fr0stss	76
104	ooga47	76
104	Kokeech	76
107	spellmre	73
107	Kowcio_	73
109	SammiWolfGirl	71
110	felincaus	70
111	eclipseboi	69
112	ReverendSmith	66
112	Luminad3	66
114	Truckoss	65
115	noam464	64
116	TechnoNinja64	62
117	6king6colt6	61
118	thewindmillman	60
119	picardred	59
119	NotTrixi	59
121	Rebytre	58
122	AvaRosey	57
123	pumpfonzo	56
124	elicobnoah	55
125	Blazebit	54
125	Lord_Jord	54
127	Meatlaugh	53
127	ProfessorDiaper	53
129	Astronicky	52
130	olliebollie48	51
130	WET_WET_WET	51
130	Russiancat1	51
130	Kyrum2169	51
134	Zythose	50
135	Hiryu27	47
135	Racengan	47
137	Mr_Byzantine	46
137	DaviusMaximoose	46
139	SteveCraftBlocks	45
139	TheDankPlatypus	45
141	monky_irl	44
141	ItsJunoIGuess	44
143	OfficerAnvil	43
144	CoffeeNoir	41
144	Nicky_H225	41
146	TheSecondLord	37
146	IAmTheWalrus910	37
148	zToasty69z	36
149	ItzYaBoiPicard	35
150	BreadBacon	34
150	Jimb0nat0r	34
152	BlancoFlaco	33
152	mimbo1211	33
152	Soplight	33
155	Myszoaz	32
155	heckface	32
155	Renchi19	32
158	PegLegPete93	31
159	lizardfightclub	30
159	ItsDeltaMC	30
161	Merv__	29
161	ShedJr_	29
161	tompup	29
164	HollieDaNugget	28
164	Ravenbie	28
164	Deathkob	28
167	Tommhh	27
167	UncreativeArtist	27
167	Snowflowe	27
167	JollyDroopy52	27
171	smarticuno	26
171	PlasticOtari	26
171	Zoeyfortnite	26
174	Esme_1	25
174	SHAOBADMAN	25
174	Enderxz3	25
177	NotMeanttoChange	24
178	RebelAndroid	23
178	Sleepy_Time_	23
178	c0la_c0ca	23
181	fallingemma	22
181	420BreadLizard	22
181	Vorlice	22
181	ConnorDanky_	22
185	Travasaur	21
185	Ecplosive	21
185	Wowful	21
188	himak1	20
188	ChillenChiggen	20
188	KingMatthew506	20
191	killmeiamtraitor	19
191	camando92	19
193	ApophisNova	18
193	fkGrim	18
193	NYJ	18
193	GravitySaint	18
193	xzvu	18
193	MyNamaSheff	18
199	seanitoo	17
199	CowOfTheNile	17
199	07shiny	17
202	Gundam_Steven	16
202	Bowba123	16
202	Xalithia	16
202	andy_rex	16
202	RobotMinion101	16
202	Jimi7hits	16
208	Frozil20	15
208	calamariclam_I	15
210	SaucyDark	14
210	tuckerdoodle	14
210	Sebaschan__	14
210	Eraza	14
210	TheWildMateo	14
210	Jij0	14
210	SpacesickPrism	14
210	EcksD	14
210	JasmineGK	14
219	Adlair	13
219	MrExplorer	13
219	Inchef	13
219	ADEXTV	13
223	funeralhome	12
223	Wooptey	12
223	Huwulling	12
223	Fullut	12
223	DC_XII	12
223	tyraxxx	12
223	Maenara	12
230	hm947	11
230	ProfessorBee	11
230	_Nuf	11
230	cedric72	11
230	LilLizardWizard	11
230	DarlaMeow	11
230	weabis	11
230	UltraZombie	11
230	xolstoi	11
239	T045RTY	10
239	ivorico	10
239	jessewegottacook	10
239	_Bguette_	10
239	HellsSponge	10
239	claivin	10
239	wwwwinnebagoooo	10
239	jnp_gaming	10
239	Sral7	10
248	PuFY	9
248	Pootis11	9
248	Quinasin	9
248	mawileite	9
248	ZoomieZoomie	9
248	Umbreon900	9
254	FroggoTheDoggo	8
254	Megarboh	8
254	SellyZ	8
254	dendydoom	8
254	ReyTheLegend	8
259	_stets	7
259	M_Patata	7
259	Zielo2017PL	7
259	Kryktal	7
259	IamCL4SSY	7
259	JoeSaysBingBong	7
259	MasterNueve	7
266	PhantomsGhost_	6
266	BilboBaggins23	6
266	Giannism	6
266	CaptainDeadBread	6
266	wobn	6
266	_Wannabe_	6
266	Kubeusz2010	6
266	cichy096	6
274	Yatitay	5
274	MattieHD	5
274	killerzant	5
274	SvenskaSara	5
274	PigDab	5
274	Vetral1	5
274	SingedBread	5
274	sp00ky_ghost977	5
274	ediballbearings	5
274	bitsplease	5
274	Quotary	5
274	The_SlideV5	5
286	Bandito_Roamer	4
286	ganyuganyu	4
286	I_Am_Mushkin	4
286	FirsTimeGamingTV	4
286	Sparky_KT	4
286	Kkanot	4
286	surfinggiraffejp	4
286	eviltunix	4
286	Tjhodskins19	4
286	SlayerCrypto	4
286	fluddd	4
286	Matorz	4
286	brofrickcheaters	4
286	LeeMcGee30	4
286	Winston_Ingram	4
