rank	username	minecraft:picked_up/minecraft:music_disc_cat
1	Blu3beast	202
2	ItsColin11	86
3	HellsSponge	85
4	lcvezra	57
5	Soplight	56
6	Xclax101	53
7	pintsizedrogue	44
8	kekhon	42
9	beeperbeeper5	37
10	eitanzaki	30
11	Inchef	29
11	Inbefour	29
11	Zoeyfortnite	29
14	egglapras	26
14	chipklip	26
16	DarlaMeow	25
17	Kkanot	24
17	_Bguette_	24
17	TechnoNinja64	24
20	PhantomsGhost_	23
21	Ezekson	22
22	joethahobo	21
23	jnp_gaming	19
24	CruncyIsTaken	18
25	H72l9w	17
25	Fullut	17
25	noam464	17
25	ApophisNova	17
25	CalebDHawk	17
25	MyNamaSheff	17
31	Blackberry1310	16
31	12Magner05	16
31	Kamflame10	16
31	kinas45y5	16
35	YungMaki	15
36	Guillemet	14
36	SuperPooch06	14
36	TheTrueClipse	14
36	xorompole	14
40	ROY4LE	13
40	Skylord_Luke	13
40	RobotMinion101	13
40	RodSerlingCringe	13
40	sebastiensaborio	13
45	Mahoose	12
45	SteveCraftBlocks	12
45	500am	12
45	claivin	12
49	Bandito_Roamer	11
49	thescout7	11
49	Hyp3rion_	11
49	NomadicRobin_	11
49	EveryonesUncle	11
54	LovelyDane	10
54	rarrq	10
54	ProfessorBee	10
54	M_Patata	10
54	Werbe	10
54	fred870d	10
54	TheShyPig	10
54	MasterNueve	10
62	bloodbiter	9
62	mwrty	9
62	Freak_Genius	9
62	AssEatrAndLicker	9
62	Eraxa	9
62	Njensen7	9
62	PlasticOtari	9
69	Merv__	8
69	q_wq	8
69	Awyrlas	8
69	Kijiki	8
69	Northernrabbit	8
74	Drlzyy	7
74	6king6colt6	7
74	youhjjhhhjj	7
74	TheSecondLord	7
74	Maenara	7
74	censorsheep	7
74	fluddd	7
74	Smoke____	7
82	SaucyDark	6
82	T045RTY	6
82	Euclidoris	6
82	_Dean_123	6
82	Chromary	6
82	aec9	6
82	Akoot_	6
82	Blaiku	6
82	stellarjay	6
82	Vellu21	6
82	Erased_Identity	6
82	oxfordschool	6
82	BreadBacon	6
82	Powowowow	6
96	ShedJr_	5
96	Cambo5000	5
