rank	username	minecraft:picked_up/minecraft:bamboo_planks
1	lpinfinity	2410
2	_Duckery	2333
3	k_ce	1408
4	Fullbit_	398
5	Merv__	299
6	Caribouse	261
7	Synthoum	230
8	robonya_	185
9	CacheOut	180
10	Mr_Byzantine	167
11	milltesco	164
12	McCakeAh	151
13	Enderxz3	150
14	_witch_craft_	141
15	ee_echo_oo	134
16	TheSecondLord	133
17	Spaghettatron	109
18	Hoid_the_Roamer	90
19	akap47	84
20	Yamdalorian	82
21	Soplight	76
22	Buuck_	63
23	Mr_Froxy	56
24	Napoleonpancake	53
25	FiguraDei	44
26	Mattesco	43
27	SteadyFeather77	41
28	craaaash	34
29	SpacesickPrism	30
30	thewindmillman	29
31	Mr_Sun15	28
32	Kowcio_	23
33	Werbe	19
34	Bambuino	18
35	kalzor	14
36	TheWickedBird	13
37	Niklas20114552	9
38	pintsizedrogue	8
39	MAns_44	6
40	beeperbeeper5	5
41	CLG_Kata	4
41	cutelilreno	4
43	IlkeCookes_	3
44	Lez_	2
44	cyuar	2
44	lordpipe	2
44	Steelynan	2
44	Jimb0nat0r	2
44	00000000-0000-0000-0009-01fe065167f0	2
50	PazinGaming	1
50	PanKarl	1
50	Secret_Canary	1
50	noam464	1
50	bl1ss0	1
50	Pandarus_	1
50	Jackattack53	1
50	ItzClutch_	1
50	EveryonesUncle	1
50	pixelviolin	1
