rank	username	minecraft:picked_up/minecraft:golden_chestplate
1	Hyp3rion_	427
2	oscminus	420
3	thewindmillman	114
4	joethahobo	57
5	Yamdalorian	52
6	Fullut	45
6	FreakGenius	45
8	Mahoose	43
9	beeperbeeper5	37
9	Ezekson	37
11	Enderxz3	36
12	Spacewardharpy7	35
13	PigDab	34
14	pintsizedrogue	32
14	Segotep999	32
16	Kowcio_	31
17	kekhon	30
17	luseis	30
19	StinkyDiplomat	29
20	rarrq	28
20	Blackberry1310	28
20	Akoot_	28
23	Lez_	22
23	PlasticOtari	22
25	TheSecondLord	21
25	Jackattack53	21
25	EveryonesUncle	21
25	TechnoNinja64	21
29	eitanzaki	20
29	noam464	20
29	Di_infiri	20
29	TheShyPig	20
33	4774	19
33	El_Jalapeno	19
33	Blaiku	19
36	censorsheep	18
37	HellsSponge	17
37	fffMike	17
37	ConnorDanky_	17
40	excelsionprime	16
40	SingedBread	16
40	Eraxa	16
43	ImpavidArcher	15
43	lordpipe	15
45	q_wq	14
45	set67	14
45	Arceus1975	14
45	Zythose	14
45	sp00ky_ghost977	14
45	djancak	14
51	CLG_Kata	13
51	Huwulling	13
51	mwrty	13
51	thescout7	13
51	Kakolbus	13
51	Werbe	13
51	doublemaki	13
58	SyntheticSurgeon	12
58	himak1	12
58	Winklepicker279	12
58	thebaddruid	12
58	ebanana	12
58	pixelviolin	12
58	tartanboy	12
65	EMC_	11
65	Secret_Canary	11
65	xxPipperDipperxx	11
65	gcaisawesome	11
65	Lord_Jord	11
65	Deathkob	11
65	Dakar_	11
65	Soplight	11
65	Kubeusz2010	11
65	Legendosh	11
75	fanofbands101	10
75	Frozil20	10
75	ShedJr_	10
75	Saucepeh	10
75	500am	10
75	eviltunix	10
75	Snowflowe	10
75	NomadicRobin_	10
75	Druid95	10
75	Pumpkin_P_Patch	10
75	SammiWolfGirl	10
75	Skippeh	10
87	NatalieTW	9
87	Mr_Byzantine	9
87	Apollo_993	9
87	12Magner05	9
87	_witch_craft_	9
87	M_Patata	9
87	CollinMH06	9
87	yheece	9
