rank	username	minecraft:picked_up/minecraft:glass_pane
1	thescout7	15275
2	joethahobo	3621
3	FreakGenius	3196
4	TheShyPig	2367
5	Di_infiri	1967
6	luseis	1717
7	Ezekson	1602
8	lillips	1484
9	thewindmillman	1445
10	beeperbeeper5	1425
11	AdmiralSmoke	1304
12	Mahoose	1254
13	m_be9	1205
14	Mr_Byzantine	1006
15	Lord_Lollo	892
16	Legendosh	815
17	pintsizedrogue	701
18	Onennon	700
19	Racengan	692
20	Werbe	670
21	Lez_	627
22	PlasticOtari	593
23	EveryonesUncle	588
24	ImpavidArcher	577
25	Xclax101	576
26	MightyWertu	522
27	r123moore	499
28	Toriankel	465
29	xolstoi	429
30	KingMatthew506	424
31	lcvezra	409
32	eiC_	383
33	Krowuss	382
34	Ssor69	371
35	HellsSponge	362
36	_Karmaa	353
37	Awyrlas	336
38	noam464	332
39	diamondgolem35	331
40	Quotary	325
41	Merv__	322
42	rarrq	306
43	ConnorDanky_	296
44	PhantomsGhost_	295
44	Enderxz3	295
46	legal_tax_evader	292
47	TechnoNinja64	289
48	Soplight	286
49	gcaisawesome	284
50	Jovaphobic	266
50	RobotMinion101	266
52	Prodiginus	260
53	El_Jalapeno	254
54	Steelynan	244
55	xxPipperDipperxx	241
56	RedcatVII	240
57	Druid95	234
58	KarlKaek	229
59	Manaateee	227
60	titanlax	220
61	fffMike	212
62	Apollo_993	210
62	hcb238	210
64	Nicserso	208
65	Fullut	207
66	Eraxa	206
67	Sral7	200
68	GoofyBread	192
68	stellarjay	192
68	Nekomin0	192
71	pixelviolin	188
72	cichy096	186
73	SaintJosie	183
74	6king6colt6	179
75	wTXop	175
76	TeenMomTom	173
77	Windo_licker	168
78	Airem_Core	163
79	Blackberry1310	160
80	Kubeusz2010	158
81	LeauVox4921	152
82	Ryan_GEMS	150
83	Kowcio_	148
84	Spacewardharpy7	146
85	Da_Boss_Rani	144
85	madderfall	144
87	himak1	142
87	ogoa	142
89	Arceus1975	139
90	imcombxt	138
91	Inbefour	133
92	Huwulling	128
93	sp00ky_ghost977	126
