rank	username	minecraft:picked_up/minecraft:brewing_stand
1	500am	650
2	lizardfightclub	298
3	noam464	254
4	pintsizedrogue	224
5	SmashingPump	195
6	HellsSponge	188
7	Kowcio_	144
8	Di_infiri	132
8	Hyp3rion_	132
10	diamondgolem35	130
11	FreakGenius	100
12	SammiWolfGirl	99
13	Lez_	95
14	eitanzaki	90
15	Kkanot	86
16	masskedman	80
17	Racengan	77
18	kekhon	75
19	TheSecondLord	70
20	Smoke____	65
21	mwrty	59
21	MineMaster0012	59
23	Snowflowe	55
24	Eraxa	50
25	Historical_Sand	47
26	PhantomsGhost_	41
27	6king6colt6	38
28	Lord_Jord	36
28	djancak	36
30	_Bguette_	32
30	THEKINGLyric10	32
32	Awyrlas	31
33	beeperbeeper5	30
34	SvenskaHugo	28
34	jnp_gaming	28
36	gabriels543	27
36	binman420	27
36	Soplight	27
39	thewindmillman	26
40	Mahoose	25
40	BunkeredTree	25
40	luseis	25
40	YungMaki	25
44	ProfessorBee	24
44	fluddd	24
46	Arceus1975	23
46	claivin	23
46	Skippeh	23
49	Kakolbus	22
49	CollinMH06	22
49	Hoid_the_Roamer	22
52	Apollo_993	21
52	Blaiku	21
54	Jovaphobic	20
54	PigDab	20
56	ROY4LE	19
56	Mythic1130	19
58	sp00ky_ghost977	18
58	stavgod	18
58	Winston_Ingram	18
58	h2p_emrld	18
62	EMC_	17
62	thescout7	17
62	Tyrannosplart	17
62	RoofTyler	17
62	SingedBread	17
62	Ezekson	17
68	gcaisawesome	16
68	HyperCave	16
68	IamCL4SSY	16
68	PartyPhoenix	16
72	LeauVox4921	15
72	33sudo	15
74	joethahobo	14
74	jushykins	14
74	legal_tax_evader	14
74	Legendosh	14
74	PlasticOtari	14
79	fr0stss	13
79	Smashic	13
79	NotMeanttoChange	13
79	Fildyr	13
79	GlitchyPlate810	13
79	Steelynan	13
85	q_wq	12
85	12Magner05	12
85	Rumpletaezer	12
85	TheShyPig	12
85	yulgur1	12
90	T045RTY	11
90	Megarboh	11
90	Guillemet	11
90	Secret_Canary	11
90	r123moore	11
90	LexMakesHistory	11
90	Hisiste	11
90	EngagedGrub41	11
90	Iamthejo	11
90	ConnorDanky_	11
90	Enderxz3	11
101	Groovy_MoonBird	10
101	Bandito_Roamer	10
101	Esme_1	10
101	MattieHD	10
101	4774	10
101	Kubeusz2010	10
101	Quotary	10
101	TechnoNinja64	10
109	SaucyDark	9
109	KingEgg1	9
109	Hiryu27	9
109	SaintJosie	9
109	Akoot_	9
109	EveryonesUncle	9
109	Lutres_Torane	9
109	MightyWertu	9
109	Deguns123	9
118	Wooptey	8
118	RebelAndroid	8
118	Base_Tempest	8
118	Prismyst	8
118	m_be9	8
118	prizm_	8
118	Donutt	8
118	Onennon	8
118	AuroraSkies	8
118	Groundler	8
118	__tomato	8
118	laron58	8
118	bladeefan2009	8
131	H0UNDFRMH3LL	7
131	teslawolf38	7
131	TooManyDuck	7
131	ThiccExotic	7
131	F_Uhre	7
131	Kim_Jong_eel	7
131	Spacewardharpy7	7
131	lordpipe	7
131	pixelviolin	7
131	2bolx_	7
131	xolstoi	7
142	ZaneABrain	6
142	ShedJr_	6
142	Euclidoris	6
142	Koffeeinz	6
142	ratglock	6
142	Cryptacity	6
142	Fullut	6
142	Kamflame10	6
142	M_Patata	6
142	Ecplosive	6
142	PuustaKauasPdnt	6
142	seramalen	6
142	Inbefour	6
142	XxCookiequeenxX	6
142	_Karmaa	6
142	El_Jalapeno	6
142	Blu3beast	6
142	Vorlice	6
142	MasterNueve	6
142	TheDumbHuman	6
142	RealGroot	6
142	Hermanni__	6
142	Jimb0nat0r	6
165	301851	5
165	Auseawesome	5
165	jacxhadow	5
165	corvidpartyfor6	5
165	__TheNorseMan__	5
165	TheDankPlatypus	5
165	Zaridey	5
165	mariominejedi	5
165	Werbe	5
165	stellarjay	5
165	PortlyPete69	5
165	diggydog67	5
177	AuroraValkyrie	4
177	Ailmast	4
177	RatatJuice	4
177	Incinere	4
177	youhjjhhhjj	4
177	titanlax	4
177	crying_wolf_13	4
177	set67	4
177	UncreativeArtist	4
177	Blazebit	4
177	TylerDupree	4
177	eiC_	4
177	fallingemma	4
177	Chromary	4
177	GreedyFern8581	4
177	Kokeech	4
177	ClemenPine	4
177	JESS_THE_RERE	4
177	NameGenerat0r	4
177	ReflexCode	4
177	Xclax101	4
177	OG_Songsee	4
177	Juh1s	4
177	CalebDHawk	4
177	00000000-0000-0000-0009-01ff0c3e5e4f	4
202	ExtraDumb	3
202	livingdaydreams	3
202	H72l9w	3
202	FirsTimeGamingTV	3
202	Stynxy	3
202	bloodbiter	3
202	ThePoliteG	3
202	eclipseboi	3
202	slkiey	3
202	SharpDev	3
202	xxPipperDipperxx	3
202	XboxPanda	3
202	CharlieButt	3
202	Mobstr	3
202	SlayerCrypto	3
202	tobinwilliams	3
202	Rebytre	3
202	ApophisNova	3
202	jewbacaman	3
202	MonitorLizards	3
202	sammidk	3
202	wezzzi	3
202	MrQuanQuan	3
202	fw3xywashere	3
202	Deathkob	3
202	Babushka0430	3
202	MyNameIsDakar	3
202	The_slideV3	3
202	StinkyDiplomat	3
202	MustaLoordi	3
202	LordAurum	3
202	LazySupport00	3
202	MovingFish7	3
202	IdeallyGrey	3
202	starbits140	3
202	Fizznut909	3
202	Dreamdbr14	3
202	striker90333	3
202	EcksD	3
202	BreadBacon	3
202	MyNamaSheff	3
243	gary_	2
243	funeralhome	2
243	NatalieTW	2
243	dudcreeper	2
243	fanofbands101	2
243	Cowison	2
243	FujiBS	2
243	Merv__	2
243	Frozil20	2
243	KarlKaek	2
243	lwyl	2
243	BodaciousCake	2
243	nattybears	2
243	Jahara	2
243	NoHaHeHa	2
243	Alteriity	2
243	ITDV	2
243	QuiCreans	2
243	Prodiginus	2
243	Fuxs_V	2
243	Cruciatur	2
243	G1ldor	2
243	BilboBaggins23	2
243	Tmb1	2
243	fade_emerge78823	2
243	himak1	2
243	PegLegPete93	2
243	Inchef	2
243	surfinggiraffejp	2
243	Mewar	2
243	Xalithia	2
243	SPUDonSTEROIDS	2
