rank	username	minecraft:picked_up/minecraft:purple_banner
1	thewindmillman	632
2	Kowcio_	198
3	k_ce	94
4	Lez_	42
5	Mattesco	40
6	_i_ERROR_i_	34
7	skitzxo	32
8	lordpipe	25
9	beeperbeeper5	23
10	Ssor69	21
11	Merv__	18
12	luseis	16
13	Apollo_993	13
14	Mr_Byzantine	11
14	Blaiku	11
14	Soplight	11
17	6king6colt6	9
17	pixelviolin	9
19	Enderxz3	8
20	Groovy_MoonBird	7
20	Touched_Bread	7
20	TheShyPig	7
20	gustarlep	7
20	YungMaki	7
25	pintsizedrogue	6
25	Huwulling	6
25	SteveCraftBlocks	6
25	Dakar_	6
29	Sleepy_Time_	5
29	Pumpkin_P_Patch	5
29	DairyNickel756	5
32	SaucyDark	4
32	Blackberry1310	4
32	Jimb0nat0r	4
35	Froste131	3
35	ECstardust	3
35	MyNameIsJobo	3
35	Werbe	3
35	Deerfoot	3
35	robonya_	3
35	TheBananaKat	3
35	ConnorDanky_	3
43	Mahoose	2
43	MattieHD	2
43	noam464	2
43	bl1ss0	2
43	crashomon	2
43	Jackattack53	2
43	Zeezap	2
43	AlexxO_o	2
43	BinChickenBrine	2
43	_Purple	2
43	SammiWolfGirl	2
54	Jovaphobic	1
54	LEJKINS	1
54	PazinGaming	1
54	Sleek_Storm_721	1
54	diamondgolem35	1
54	RatatJuice	1
54	ShedJr_	1
54	Alfred603	1
54	m_be9	1
54	Z3braYTIL	1
54	HoltGrim	1
54	hanaryheatwave	1
54	Arceus1975	1
54	ScootOfBoot	1
54	MinerDec	1
54	goldyx	1
54	NomadicRobin_	1
54	Manaateee	1
54	JoCoLi	1
54	LazySupport00	1
54	TheKingK_	1
54	Luigipunch989	1
54	SpacesickPrism	1
54	Steelynan	1
54	ZoomieZoomie	1
54	SamTheDwagon	1
54	00000000-0000-0000-0009-01f3e0064b49	1
