rank	username	minecraft:picked_up/minecraft:purple_banner
1	thewindmillman	632
2	Kowcio_	198
3	SteveCraftBlocks	128
4	k_ce	94
5	Lez_	42
6	Mattesco	40
7	_i_ERROR_i_	34
8	LuvLuvLove	32
9	lordpipe	25
10	beeperbeeper5	23
11	Ssor69	21
12	Merv__	18
13	luseis	16
14	Apollo_993	13
15	Mr_Byzantine	11
15	Blaiku	11
15	Soplight	11
18	6king6colt6	9
18	pixelviolin	9
20	Enderxz3	8
21	Groovy_MoonBird	7
21	Touched_Bread	7
21	TheShyPig	7
21	gustarlep	7
21	doublemaki	7
26	pintsizedrogue	6
26	Huwulling	6
26	Dakar_	6
29	Sleepy_Time_	5
29	Pumpkin_P_Patch	5
29	DairyNickel756	5
32	SaucyDark	4
32	Blackberry1310	4
32	Jimb0nat0r	4
35	Froste131	3
35	ECstardust	3
35	MyNameIsJobo	3
35	Werbe	3
35	Deerfoot	3
35	robonya_	3
35	TheBananaKat	3
35	ConnorDanky_	3
43	Mahoose	2
43	MattieHD	2
43	noam464	2
43	bl1ss0	2
43	craaaash	2
43	Jackattack53	2
43	Zeezap	2
43	AlexxO_o	2
43	CircusKazi	2
43	BinChickenBrine	2
43	_purple	2
43	SammiWolfGirl	2
55	Jovaphobic	1
55	LEJKINS	1
55	PazinGaming	1
55	Sleek_Storm_721	1
55	diamondgolem35	1
55	RatatJuice	1
55	ShedJr_	1
55	Alfred603	1
55	m_be9	1
55	Z3braYTIL	1
55	HoltGrim	1
55	hanaryheatwave	1
55	Arceus1975	1
55	ScootOfBoot	1
55	MinerDec	1
55	goldyx	1
55	NomadicRobin_	1
55	Manaateee	1
55	JoCoLi	1
55	LazySupport00	1
55	TheKingK_	1
55	Luigipunch989	1
55	SpacesickPrism	1
55	Steelynan	1
55	ZoomieZoomie	1
55	SamTheDwagon	1
55	00000000-0000-0000-0009-01f3e0064b49	1
