rank	username	minecraft:picked_up/minecraft:armor_stand
1	EcksD	185
2	joethahobo	166
3	Mahoose	161
4	noam464	160
5	pintsizedrogue	126
6	kekhon	122
7	Freak_Genius	120
8	PlasticOtari	102
9	Spacewardharpy7	93
10	thewindmillman	88
11	eitanzaki	85
12	HellsSponge	83
13	diamondgolem35	76
14	ShedJr_	75
15	Legendosh	74
16	Racengan	72
17	KarlKaek	71
18	EveryonesUncle	65
19	himak1	62
20	500am	59
21	T045RTY	58
22	cichy096	55
23	EMC_	54
24	El_Jalapeno	53
25	Smoke____	51
26	beeperbeeper5	45
26	stahouo	45
28	RobotMinion101	42
29	lillips	40
30	Prismyst	38
31	rarrq	36
32	thescout7	35
32	ediballbearings	35
34	m_be9	34
35	Di_infiri	33
36	Rebytre	32
36	Akoot_	32
38	Soplight	30
39	Minimize501	27
39	_Karmaa	27
41	TheSecondLord	26
41	wezzzi	26
43	Steelynan	25
44	Jackster03	24
44	Fullut	24
44	Hyp3rion_	24
44	masskedman	24
44	Xclax101	24
44	lordpipe	24
50	mwrty	23
50	Kubeusz2010	23
52	fanofbands101	22
52	ImpavidArcher	22
52	Touched_Bread	22
52	Kakolbus	22
52	TheShyPig	22
52	Meatlaugh	22
58	Fuad_R	21
58	fluddd	21
58	Kferno	21
61	Merv__	20
61	jacxhadow	20
63	SteveCraftBlocks	19
63	burbankbuilder28	19
63	Jiminie	19
66	Frozil12	18
67	PhantomsGhost_	17
67	Blackberry1310	17
67	set67	17
67	__Fanda__	17
67	Onennon	17
67	Fildyr	17
67	Kowcio_	17
74	ROY4LE	16
74	fkGrim	16
76	H72l9w	15
76	xxPipperDipperxx	15
76	NameGenerat0r	15
76	__tomato	15
80	SuperPooch06	14
80	RodSerlingCringe	14
80	SvenskaHugo	14
83	Ssor69	13
83	Ezekson	13
83	oxfordschool	13
86	Jovaphobic	12
86	Winklepicker279	12
86	Sky_light_KING	12
86	Enderslayerxz3	12
90	MakeHistory157	11
90	Segotep999	11
92	teslawolf38	10
92	heckface	10
92	Rumpletaezer	10
92	IvarEXE	10
92	YungMaki	10
97	Da_Boss_Rani	9
97	Steven1282598	9
97	Dusk_95	9
97	Quotary	9
97	Powowowow	9
102	Bandito_Roamer	8
102	dopplexd	8
102	_Dean_123	8
102	Lord_Jord	8
106	Inchef	7
106	_Boipl_	7
106	Werbe	7
106	NYJ	7
106	chipklip	7
106	Blu3beast	7
106	Fizznut909	7
106	laron58	7
106	jnp_gaming	7
106	h2p_emrld	7
116	6king6colt6	6
116	I_Am_Mushkin	6
116	Lez_	6
116	fr0stss	6
116	Prodiginus	6
116	Cryptacity	6
116	BobDeBouwer1337	6
116	yulgur1	6
116	CheifJumbo	6
116	KingMatthew506	6
126	Groovy_MoonBird	5
126	seanitoo	5
126	Mr_Byzantine	5
126	Tommhh	5
126	Sleek_Storm_721	5
