rank	username	minecraft:picked_up/minecraft:glistering_melon_slice
1	noam464	2499
2	PigDab	576
3	kekhon	295
4	slkiey	249
5	thewindmillman	133
6	HellsSponge	105
7	diamondgolem35	72
8	jessewegottacook	65
9	Lez_	64
10	fluddd	54
11	Fildyr	34
12	Winklepicker279	33
13	TechnoNinja64	30
14	Manaateee	28
15	Lord_Zacler	27
16	EcksD	25
17	ProfessorBee	21
18	stavgod	20
19	Di_infiri	18
20	DarlaMeow	16
20	PlasticOtari	16
22	F_Uhre	12
22	luseis	12
22	djancak	12
25	EMC_	11
25	Creativebuilder2	11
25	SaucyDark	11
25	TheDankPlatypus	11
25	Homies_R_Us	11
25	Kowcio_	11
31	Mahoose	10
31	rarrq	10
33	PhantomBionic	9
33	AlphaWolfPlaysMC	9
33	El_Jalapeno	9
36	Jindong	8
36	surfinggiraffejp	8
36	Mattesco	8
36	Dakar_	8
36	AstreaTSS	8
41	Apollo_993	6
41	Rumpletaezer	6
43	Quaintster	5
44	TheSecondLord	4
44	zOnlyKroks	4
46	Jimb0nat0r	3
47	youhjjhhhjj	2
47	YungMaki	2
49	pintsizedrogue	1
49	nattybears	1
49	beeperbeeper5	1
49	Blackberry1310	1
49	m_be9	1
49	IceYoung	1
49	corpsecity	1
49	zToasty69z	1
49	SaintJosie	1
49	Fakiuss	1
49	Xclax101	1
49	Soplight	1
