rank	username	minecraft:picked_up/minecraft:deepslate_iron_ore
1	thewindmillman	6238
2	hanaryheatwave	1161
3	Enderxz3	820
4	Nicserso	538
5	EMC_	502
6	Kowcio_	476
7	corvidpartyfor6	467
8	Mahoose	323
9	pintsizedrogue	318
10	LeauVox4921	310
11	PlasticOtari	301
12	SingedBread	259
13	Kakolbus	232
14	Jimb0nat0r	214
15	gcaisawesome	206
16	500am	191
17	Apollo_993	188
17	ITDV	188
19	luseis	184
20	YungMaki	176
21	k_ce	161
22	Hyp3rion_	160
23	Avocadogerms	145
23	calamariclam_I	145
25	bearlystraight	140
26	Snowflowe	131
27	SpacesickPrism	129
28	GooseWithin	128
29	Ryker	126
30	beeperbeeper5	122
31	Iamthejo	120
32	fw3xy74	119
33	masskedman	109
33	pixelviolin	109
35	Ezekson	107
36	Krowuss	101
37	Blackberry1310	98
38	MinttyFressh	91
39	RebelAndroid	82
39	Crowman1	82
41	Mattesco	80
42	dartwaffle	78
43	Jimi7hits	76
44	AdmiralSmoke	74
45	Manaateee	73
46	mihimihimihi	60
47	Secret_Canary	58
47	Smashic	58
49	shadowthemonkey	57
49	MAns_44	57
51	Segotep999	56
52	Marbz_	55
52	PigDab	55
54	KujikawaRisechi	53
55	ApophisNova	49
55	SkinnyBois	49
55	MyNamaSheff	49
58	Fuad_R	45
58	Steelynan	45
60	q_wq	43
61	Lutres_	42
62	MattieHD	41
63	Hermanni__	37
63	WYFYoyo	37
65	H0UNDFRMH3LL	36
66	jessewegottacook	34
67	groofles	32
67	lordpipe	32
69	EngagedGrub41	31
70	Steve897	30
70	PixelatedBoss	30
72	CLG_Kata	29
72	Megarboh	29
74	PazinGaming	25
74	MilleGrug	25
76	TheSecondLord	23
76	FreakGenius	23
76	infiniteQuery	23
79	ShedJr_	22
79	SvenskaAlvar	22
81	BronkerBrum	21
82	PaperCanvas	20
83	itburb	19
83	Lez_	19
83	12Magner05	19
83	ZeroKraken	19
87	Silvo614	18
87	LeonelSalamanca	18
87	Legendosh	18
90	Toriankel	17
90	ZoomieZoomie	17
92	Huwulling	16
92	joethahobo	16
94	Flores991	13
94	excelsionprime	13
94	hcb238	13
94	noam464	13
94	Jackattack53	13
94	wwwwinnebagoooo	13
94	MustardSquid	13
101	ImpavidArcher	11
101	Deathkob	11
103	rarrq	10
103	Jonafrog99	10
105	diamondgolem35	9
105	SyntheticSurgeon	9
107	SmashingPump	8
107	T045RTY	8
107	verynothing	8
107	RadarHz	8
111	RoskobiOne	7
111	Da_Boss_Rani	7
111	Inchef	7
111	Xalithia	7
115	Alteriity	6
115	AlexxO_o	6
115	TheALV	6
115	Eczbek	6
119	Merv__	5
119	eitanzaki	5
119	AltnumberF4	5
122	_stets	4
122	NoHaHeHa	4
122	Awyrlas	4
122	Solar_Power	4
122	Rebytre	4
122	Soplight	4
122	TheBananaKat	4
122	EcksD	4
130	ECstardust	3
130	Sleepy_Time_	3
130	Valoth	3
130	Timfinity4	3
130	Elastiq	3
130	ItsDeltaMC	3
136	6king6colt6	2
136	Creativebuilder2	2
136	nattybears	2
136	CoffeeNoir	2
136	catandmoose	2
136	Winklepicker279	2
136	Di_infiri	2
136	Skylord_Luke	2
136	NomadicRobin_	2
136	Spacewardharpy7	2
136	TheEnderMan548	2
136	SvenskaHugo	2
136	MineMaster0012	2
136	jcool7	2
150	hm947	1
150	tuckerdoodle	1
150	MC_Gamer_Geek	1
150	MrKrabOnCoke	1
150	Pofen	1
150	KGTV	1
150	Cellcorgi649	1
150	corpsecity	1
150	KowcioJr	1
150	Dan_Scha	1
150	EveryonesUncle	1
150	Sorry_Arey	1
150	NameGenerat0r	1
150	fluddd	1
150	sp00ky_ghost977	1
150	IdeallyGrey	1
150	Skippeh	1
