rank	username	minecraft:picked_up/minecraft:polished_diorite_slab
1	joethahobo	10728
2	6king6colt6	2759
3	Freak_Genius	1993
4	_TCARREIRA_	1036
5	Kakolbus	660
6	Hyp3rion_	512
7	Legendosh	468
8	Lord_Jord	437
9	eitanzaki	403
10	jushykins	377
11	Ezekson	362
12	Inbefour	339
13	burbankbuilder28	272
14	Comma__	271
15	Nach0Bear	245
16	Tolhart	242
17	valkam13	238
18	himak1	222
19	Akoot_	182
20	Meatlaugh	167
21	JayToe	158
22	Blackberry1310	155
23	kekhon	154
24	Natofthese	152
25	YoshikageBites	146
26	Ssor69	135
27	HellsSponge	128
28	ShedJr_	127
29	Stiar	126
30	NameGenerat0r	124
31	Mahoose	121
32	Werbe	119
32	AssEatrAndLicker	119
34	seanitoo	115
35	Racengan	111
36	CalebDHawk	108
37	Hoid_the_Roamer	102
38	Snowflowe	99
39	JESS_THE_RERE	98
40	H72l9w	95
41	KarlKaek	89
42	DarlaMeow	79
43	MrExplorer	71
43	SSytex_X	71
45	PlasticOtari	70
46	Blu3beast	67
46	Teebone15	67
48	rarrq	62
49	SyK7	60
50	diggydog67	57
51	Western_1	55
52	titanlax	49
52	AltnumberF4	49
54	ooga47	48
55	LittleBug562	46
56	TechnoNinja64	43
57	Megarboh	40
58	oreee	37
59	Jovaphobic	36
59	teslawolf38	36
61	Optiprimus	35
62	m_be9	33
62	500am	33
62	Onennon	33
65	hm947	32
66	AvaRosey	30
67	sp00ky_ghost977	29
68	Lukeee33	28
69	lilsay	27
70	ImpavidArcher	26
70	Darkgon	26
70	BlankityMcBlank	26
70	Lowjinx	26
74	pintsizedrogue	25
74	Groovy_MoonBird	25
74	ryan521	25
74	12Magner05	25
74	SellyZ	25
79	Xalithia	24
80	Jaka_Saurus_715	23
80	RedcatVII	23
80	Soplight	23
83	ROY4LE	21
84	lordpipe	20
85	Maenara	16
86	Merv__	15
86	slkiey	15
86	07shiny	15
89	_Virify_	14
89	Mr_Byzantine	14
89	Enderslayerxz3	14
92	ApophisNova	12
92	proxivitoid	12
92	MyNamaSheff	12
95	MattieHD	11
95	Rebytre	11
95	TheShyPig	11
95	oxfordschool	11
99	FirsTimeGamingTV	10
99	Conrad139	10
101	ratglock	9
101	mwrty	9
101	YungMaki	9
101	jcool7	9
105	Matorz	8
105	Hermanni__	8
105	00000000-0000-0000-0009-01f898304150	8
108	Froste131	7
108	noam464	7
108	Nekomin0	7
111	Arceus1975	6
111	killmeiamtraitor	6
111	Studyhallsaver	6
111	_Bguette_	6
111	claivin	6
111	Nagasaki_Riku	6
111	Smoke____	6
118	SuperPooch06	5
118	Frozil12	5
118	SammiWolfGirl	5
118	laron58	5
122	hayybails	4
122	Purplehere	4
122	The_slideV3	4
122	fluddd	4
122	MineMaster0012	4
127	Incinere	3
127	T045RTY	3
127	2Stout	3
127	NoxxxxiS	3
127	pappaberg	3
127	rotten_mango	3
127	Sheldor097	3
127	Dreamdbr14	3
127	EcksD	3
136	fingerguns__	2
136	the_fireminer	2
136	_Dean_123	2
136	NotMeanttoChange	2
136	loveseeker	2
136	seramalen	2
136	Ajax6	2
136	Fuhrer_Teemo	2
136	DemTechAlpha	2
136	Deerfoot	2
136	Kijiki	2
136	kinas45y5	2
148	rats_life	1
148	Sabby65	1
148	beeperbeeper5	1
148	jacxhadow	1
148	MinttyFressh	1
148	SteveCraftBlocks	1
148	Cambo5000	1
148	fallingemma	1
148	Chromary	1
148	dendydoom	1
148	NomadicRobin_	1
148	avalan64	1
148	FlashMigma	1
148	geekbird	1
148	bruh072	1
148	stahouo	1
148	EcksDofficial	1
