rank	username	minecraft:picked_up/minecraft:orange_bed
1	mwrty	173
2	Soplight	73
3	Smoke____	48
4	Onennon	45
5	Mahoose	39
6	Groovy_MoonBird	35
7	TechnoNinja64	30
8	YungMaki	26
9	beeperbeeper5	25
10	xxPipperDipperxx	23
11	Blackberry1310	19
12	EcksD	16
13	HellsSponge	13
14	dimondking777	12
15	ChillenChiggen	10
16	TheALV	9
17	kekhon	8
17	Di_infiri	8
17	SkateboardR6	8
17	Ezekson	8
21	Werbe	7
21	420BreadLizard	7
21	PlasticOtari	7
24	gcaisawesome	6
24	thewindmillman	6
24	ormr_kin	6
24	Bumpy419	6
24	xo_Marren_xo	6
24	El_Jalapeno	6
24	Quotary	6
31	Drlzyy	5
31	T045RTY	5
31	Stright_	5
31	SpicyMeatballs	5
31	Karetoko	5
31	TheShyPig	5
31	stellarjay	5
31	Lowjinx	5
39	pintsizedrogue	4
39	RebelAndroid	4
39	joethahobo	4
39	Rebytre	4
39	TheSeismicDuck	4
39	Freak_Genius	4
39	djancak	4
39	SirBreadward	4
39	oxfordschool	4
39	momis24	4
39	Sral7	4
50	strongman951753	3
50	SaucyDark	3
50	slkiey	3
50	UncreativeArtist	3
50	fade_emerge78823	3
50	Kynigito	3
50	Sky_light_KING	3
50	Akoot_	3
50	Groundler	3
50	DeGodz4life	3
50	Kyrum2169	3
50	Enderslayerxz3	3
62	funeralhome	2
62	Paint	2
62	dabloons	2
62	TooManyDuck	2
62	Sabby65	2
62	eitanzaki	2
62	Ssor69	2
62	Prodiginus	2
62	PlasticPrinter	2
62	Cryptacity	2
62	500am	2
62	Fullut	2
62	burbankbuilder28	2
62	pappaberg	2
62	Hiryu27	2
62	CarryLine	2
62	fw3xywashere	2
62	Soap_Bender	2
62	Blaiku	2
62	Racengan	2
62	Dogcorn69420	2
62	RealBuddy	2
62	OfficerAnvil	2
62	JasmineGK	2
86	SugarMyNuggets	1
86	Menthas	1
86	teslawolf38	1
86	Nucket	1
86	Meteora4	1
86	fr0stss	1
86	rarrq	1
86	Koffeeinz	1
86	zombierieger	1
86	noodlepack	1
86	Baozai	1
86	attieroman	1
86	PegLegPete93	1
86	noam464	1
86	mimbo1211	1
86	CollinMH06	1
86	King_Pancake1	1
86	selectrix	1
86	seramalen	1
86	CrumplyBanjo_	1
86	Quincannon	1
86	Juk3b0x	1
86	Blu3beast	1
86	fluddd	1
86	ProfessorDiaper	1
86	CSG_Haru	1
86	Segotep999	1
86	__tomato	1
86	GlitchyPlate810	1
86	PlzNoBM	1
86	fffMike	1
86	MilleGrug	1
86	Steelynan	1
86	laron58	1
86	Aryamanee	1
86	vandmanden	1
86	EcksDofficial	1
